Area,Year,Age,ISOCode,Population
Hong Kong Special Administrative Region of China,2015,15+,344,6434.4
Hungary,2015,15+,348,8369.5
Iceland,2015,15+,352,263.2
India,2015,15+,356,933967.2
Indonesia,2015,15+,360,186261.2
Iran (Islamic Republic of),2015,15+,364,60606.7
Iraq,2015,15+,368,21433.5
Ireland,2015,15+,372,3678.6
Israel,2015,15+,376,5816.4
Italy,2015,15+,380,51336.4
Jamaica,2015,15+,388,2198.1
Japan,2015,15+,392,111346.7
Jordan,2015,15+,400,5859.5
Kazakhstan,2015,15+,398,12995.8
Kenya,2015,15+,404,27711.2
Kiribati,2015,15+,296,73.1
Kuwait,2015,15+,414,3113.9
Kyrgyzstan,2015,15+,417,4041.4
Lao People's Democratic Republic,2015,15+,418,4417.7
Latvia,2015,15+,428,1691.3
Lebanon,2015,15+,422,4447.7
Lesotho,2015,15+,426,1399.3
Liberia,2015,15+,430,2592.5
Libyan Arab Jamahiriya,2015,15+,434,4451.8
Lithuania,2015,15+,440,2504
Luxembourg,2015,15+,442,474
Macao Special Administrative Region of China,2015,15+,446,526.3
Madagascar,2015,15+,450,14142.9
Malawi,2015,15+,454,9725
Malaysia,2015,15+,458,23055
Maldives,2015,15+,462,320.4
Mali,2015,15+,466,9098
Malta,2015,15+,470,366.1
Martinique,2015,15+,474,315
Mauritania,2015,15+,478,2500
Mauritius,2015,15+,480,1015.3
Mayotte,2015,15+,175,140
Mexico,2015,15+,484,91311
Micronesia (Federated States of),2015,15+,583,68.9
Mongolia,2015,15+,496,2119.9
Montenegro,2015,15+,499,512.2
Morocco,2015,15+,504,25175.4
Mozambique,2015,15+,508,15348.6
Myanmar,2015,15+,104,37795
Namibia,2015,15+,516,1527.5
Nepal,2015,15+,524,19329.2
Netherlands,2015,15+,528,14100.4
New Caledonia,2015,15+,540,207.7
New Zealand,2015,15+,554,3693
Nicaragua,2015,15+,558,4255.1
Niger,2015,15+,562,9906.3
Nigeria,2015,15+,566,101253.5
Norway,2015,15+,578,4265.9
Occupied Palestinian Territory,2015,15+,275,2791.4
Oman,2015,15+,512,3268.1
Pakistan,2015,15+,586,123068.2
Panama,2015,15+,591,2863.5
Papua New Guinea,2015,15+,598,5018.9
Paraguay,2015,15+,600,4638.5
Peru,2015,15+,604,22624.1
Philippines,2015,15+,608,68941.1
Poland,2015,15+,616,32567.3
Portugal,2015,15+,620,8950.7
Puerto Rico,2015,15+,630,2988.3
Qatar,2015,15+,634,2138.2
Republic of Korea,2015,15+,410,43553.5
Republic of Moldova,2015,15+,498,3426.4
Reunion,2015,15+,638,653.7
Romania,2015,15+,642,16810.8
Russian Federation,2015,15+,643,119667.7
Rwanda,2015,15+,646,6882.4
Saint Lucia,2015,15+,662,142.2
Saint Vincent and the Grenadines,2015,15+,670,82.6
Samoa,2015,15+,882,121.6
Sao Tome and Principe,2015,15+,678,110.6
Saudi Arabia,2015,15+,682,23350.1
Senegal,2015,15+,686,8529.8
Serbia,2015,15+,688,7374.3
Seychelles,2015,15+,690,73.4
Sierra Leone,2015,15+,694,4145.6
Singapore,2015,15+,702,4677.5
Slovakia,2015,15+,703,4608.1
Slovenia,2015,15+,705,1769.6
Solomon Islands,2015,15+,90,355.1
Somalia,2015,15+,706,7416.5
South Africa,2015,15+,710,39063.4
South Sudan,2015,15+,728,6879.4
Spain,2015,15+,724,39480.9
Sri Lanka,2015,15+,144,15621.3
Sudan,2015,15+,729,22608.8
Suriname,2015,15+,740,404.2
Swaziland,2015,15+,748,822.4
Sweden,2015,15+,752,8074.8
Switzerland,2015,15+,756,7089.8
Syrian Arab Republic,2015,15+,760,11598.7
Taiwan Province of China,2015,15+,158,20249.6
Tajikistan,2015,15+,762,5547.5
Thailand,2015,15+,764,56307.2
The former Yugoslav Republic of Macedonia,2015,15+,807,1729.1
Timor-Leste,2015,15+,626,694.9
Togo,2015,15+,768,4299.5
Tonga,2015,15+,776,67.3
Trinidad and Tobago,2015,15+,780,1077.5
Tunisia,2015,15+,788,8603.6
Turkey,2015,15+,792,58246.9
Turkmenistan,2015,15+,795,3872.8
Uganda,2015,15+,800,20782.4
Ukraine,2015,15+,804,37935.1
United Arab Emirates,2015,15+,784,7891.7
United Kingdom of Great Britain and Northern Ireland,2015,15+,826,53893.6
United Republic of Tanzania,2015,15+,834,29536.4
United States of America,2015,15+,840,258439.3
United States Virgin Islands,2015,15+,850,83.6
Uruguay,2015,15+,858,2696.8
Uzbekistan,2015,15+,860,22286.6
Vanuatu,2015,15+,548,168
Venezuela (Bolivarian Republic of),2015,15+,862,22374.8
Viet Nam,2015,15+,704,71970.7
Western Sahara,2015,15+,732,376.3
World,2015,15+,900,5452450.3
Yemen,2015,15+,887,15996.1
Zambia,2015,15+,894,8793.3
Zimbabwe,2015,15+,716,9233.6
Afghanistan,2015,25+,4,11650.7
Albania,2015,25+,8,1921.2
Algeria,2015,25+,12,21838.3
Angola,2015,25+,24,9414
Antigua and Barbuda,2015,25+,28,58.5
Argentina,2015,25+,32,25578.6
Armenia,2015,25+,51,1918.3
Aruba,2015,25+,533,70
Australia,2015,25+,36,16172.1
Austria,2015,25+,40,6444.9
Azerbaijan,2015,25+,31,5803.4
Bahamas,2015,25+,44,242
Bahrain,2015,25+,48,905.2
Bangladesh,2015,25+,50,82459.8
Barbados,2015,25+,52,192.6
Belarus,2015,25+,112,6880
Belgium,2015,25+,56,8042.9
Belize,2015,25+,84,168.6
Benin,2015,25+,204,3926
Bhutan,2015,25+,64,414.8
Bolivia (Plurinational State of),2015,25+,68,5177.1
Bosnia and Herzegovina,2015,25+,70,2553.6
Botswana,2015,25+,72,1077.3
Brazil,2015,25+,76,124983.4
Brunei Darussalam,2015,25+,96,247.8
Bulgaria,2015,25+,100,5471.5
Burkina Faso,2015,25+,854,6246.9
Burundi,2015,25+,108,3612.7
Cambodia,2015,25+,116,7415.9
Cameroon,2015,25+,120,8484.2
Canada,2015,25+,124,25594
Cape Verde,2015,25+,132,252.5
Central African Republic,2015,25+,140,1632.5
Chad,2015,25+,148,4500.2
Channel Islands,2015,25+,830,121.3
Chile,2015,25+,152,11316.5
China,2015,25+,156,967910.8
Colombia,2015,25+,170,28251.6
Comoros,2015,25+,174,310.9
Congo,2015,25+,178,1975.9
Costa Rica,2015,25+,188,2925.2
Cote d'Ivoire,2015,25+,384,8569.1
Croatia,2015,25+,191,3124.6
Cuba,2015,25+,192,8153.5
Curaçao,2015,25+,531,108.5
Cyprus,2015,25+,196,779.2
Czech Republic,2015,25+,203,7928.2
Democratic People's Republic of Korea,2015,25+,408,15956.7
Democratic Republic of the Congo,2015,25+,180,26492.2
Denmark,2015,25+,208,3981.4
Djibouti,2015,25+,262,439.9
Dominican Republic,2015,25+,214,5456.7
Ecuador,2015,25+,218,8520.5
Egypt,2015,25+,818,46360.3
El Salvador,2015,25+,222,3232.8
Equatorial Guinea,2015,25+,226,525.2
Eritrea,2015,25+,232,1877.3
Estonia,2015,25+,233,968.6
Ethiopia,2015,25+,231,36827.6
Fiji,2015,25+,242,482.4
Finland,2015,25+,246,3933.7
France,2015,25+,250,45168.6
French Guiana,2015,25+,254,132.2
French Polynesia,2015,25+,258,164.8
Gabon,2015,25+,266,880.4
Gambia,2015,25+,270,682.1
Georgia,2015,25+,268,2697.2
Germany,2015,25+,276,62315.7
Ghana,2015,25+,288,11442
Greece,2015,25+,300,8460.9
Grenada,2015,25+,308,58.5
Guadeloupe,2015,25+,312,299
Guam,2015,25+,316,93.1
Guatemala,2015,25+,320,6899.1
Guinea,2015,25+,324,4538.5
Guinea-Bissau,2015,25+,624,677.1
Guyana,2015,25+,328,378.2
Haiti,2015,25+,332,4933.8
Honduras,2015,25+,340,4119.3
Hong Kong Special Administrative Region of China,2015,25+,344,5625.9
Hungary,2015,25+,348,7227.3
Iceland,2015,25+,352,216
India,2015,25+,356,692391.7
Indonesia,2015,25+,360,141903
Iran (Islamic Republic of),2015,25+,364,47999.3
Iraq,2015,25+,368,14328.5
Ireland,2015,25+,372,3154.2
Israel,2015,25+,376,4621.8
Italy,2015,25+,380,45640.7
Jamaica,2015,25+,388,1652.5
Japan,2015,25+,392,99227.9
Jordan,2015,25+,400,4101.5
Kazakhstan,2015,25+,398,10351.2
Kenya,2015,25+,404,18199.7
Kiribati,2015,25+,296,50.9
Kuwait,2015,25+,414,2666.9
Kyrgyzstan,2015,25+,417,2963
Lao People's Democratic Republic,2015,25+,418,3004.9
Latvia,2015,25+,428,1479.6
Lebanon,2015,25+,422,3307.6
Lesotho,2015,25+,426,916.4
Liberia,2015,25+,430,1726.7
Libyan Arab Jamahiriya,2015,25+,434,3371.4
Lithuania,2015,25+,440,2127.7
Luxembourg,2015,25+,442,404.1
Macao Special Administrative Region of China,2015,25+,446,447
Madagascar,2015,25+,450,9190.6
Malawi,2015,25+,454,6041.6
Malaysia,2015,25+,458,17008.2
Maldives,2015,25+,462,243.1
Mali,2015,25+,466,5756.2
Malta,2015,25+,470,312.8
Martinique,2015,25+,474,273.7
Mauritania,2015,25+,478,1688.2
Mauritius,2015,25+,480,817.6
Mayotte,2015,25+,175,96.2
Mexico,2015,25+,484,68279.7
Micronesia (Federated States of),2015,25+,583,44
Mongolia,2015,25+,496,1620.5
Montenegro,2015,25+,499,427.1
Morocco,2015,25+,504,19131.5
Mozambique,2015,25+,508,9825.5
Myanmar,2015,25+,104,28448.5
Namibia,2015,25+,516,1008.5
Nepal,2015,25+,524,13365.2
Netherlands,2015,25+,528,12027.6
New Caledonia,2015,25+,540,164.1
New Zealand,2015,25+,554,3034.7
Nicaragua,2015,25+,558,3060.6
Niger,2015,25+,562,6325
Nigeria,2015,25+,566,66933.1
Norway,2015,25+,578,3591
Occupied Palestinian Territory,2015,25+,275,1777.5
Oman,2015,25+,512,2650.9
Pakistan,2015,25+,586,85377.1
Panama,2015,25+,591,2196.6
Papua New Guinea,2015,25+,598,3486.5
Paraguay,2015,25+,600,3302.2
Peru,2015,25+,604,17037.1
Philippines,2015,25+,608,49112.4
Poland,2015,25+,616,28051.1
Portugal,2015,25+,620,7858.3
Puerto Rico,2015,25+,630,2432.6
Qatar,2015,25+,634,1775.8
Republic of Korea,2015,25+,410,36813.2
Republic of Moldova,2015,25+,498,2851.9
Reunion,2015,25+,638,526.8
Romania,2015,25+,642,14574.4
Russian Federation,2015,25+,643,104409.8
Rwanda,2015,25+,646,4670.3
Saint Lucia,2015,25+,662,109.8
Saint Vincent and the Grenadines,2015,25+,670,63.3
Samoa,2015,25+,882,84
Sao Tome and Principe,2015,25+,678,72.5
Saudi Arabia,2015,25+,682,18470.4
Senegal,2015,25+,686,5573.3
Serbia,2015,25+,688,6258.7
Seychelles,2015,25+,690,61
Sierra Leone,2015,25+,694,2691.7
Singapore,2015,25+,702,3947.7
Slovakia,2015,25+,703,3954
Slovenia,2015,25+,705,1566.8
Solomon Islands,2015,25+,90,239.6
Somalia,2015,25+,706,4650.6
South Africa,2015,25+,710,28767
South Sudan,2015,25+,728,4461.5
Spain,2015,25+,724,35146.4
Sri Lanka,2015,25+,144,12503.3
Sudan,2015,25+,729,14841.1
Suriname,2015,25+,740,306.7
Swaziland,2015,25+,748,523.5
Sweden,2015,25+,752,6871.3
Switzerland,2015,25+,756,6144.5
Syrian Arab Republic,2015,25+,760,7885.9
Taiwan Province of China,2015,25+,158,17120.3
Tajikistan,2015,25+,762,3834.9
Thailand,2015,25+,764,46653.9
The former Yugoslav Republic of Macedonia,2015,25+,807,1443.8
Timor-Leste,2015,25+,626,432.1
Togo,2015,25+,768,2880
Tonga,2015,25+,776,46.1
Trinidad and Tobago,2015,25+,780,894.6
Tunisia,2015,25+,788,6850.1
Turkey,2015,25+,792,45261.6
Turkmenistan,2015,25+,795,2851.4
Uganda,2015,25+,800,12595.5
Ukraine,2015,25+,804,33099.6
United Arab Emirates,2015,25+,784,6957.6
United Kingdom of Great Britain and Northern Ireland,2015,25+,826,45943
United Republic of Tanzania,2015,25+,834,19090.3
United States of America,2015,25+,840,214202.2
United States Virgin Islands,2015,25+,850,70
Uruguay,2015,25+,858,2177.2
Uzbekistan,2015,25+,860,16282.9
Vanuatu,2015,25+,548,119.5
Venezuela (Bolivarian Republic of),2015,25+,862,16849.2
Viet Nam,2015,25+,704,56172.2
Western Sahara,2015,25+,732,281.3
World,2015,25+,900,4257982.1
Yemen,2015,25+,887,10078.7
Zambia,2015,25+,894,5479.8
Zimbabwe,2015,25+,716,5968.4
Afghanistan,2015,20--64,4,13926.9
Albania,2015,20--64,8,1779.8
Algeria,2015,20--64,12,23092.2
Angola,2015,20--64,24,11195.6
Antigua and Barbuda,2015,20--64,28,60.2
Argentina,2015,20--64,32,24288.1
Armenia,2015,20--64,51,1838
Aruba,2015,20--64,533,64.6
Australia,2015,20--64,36,14271.2
Austria,2015,20--64,40,5361.4
Azerbaijan,2015,20--64,31,6142.3
Bahamas,2015,20--64,44,244.1
Bahrain,2015,20--64,48,979.6
Bangladesh,2015,20--64,50,89541.8
Barbados,2015,20--64,52,170.5
Belarus,2015,20--64,112,6132.8
Belgium,2015,20--64,56,6690
Belize,2015,20--64,84,190.8
Benin,2015,20--64,204,4549.5
Bhutan,2015,20--64,64,458.6
Bolivia (Plurinational State of),2015,20--64,68,5469.9
Bosnia and Herzegovina,2015,20--64,70,2234.8
Botswana,2015,20--64,72,1209.7
Brazil,2015,20--64,76,125799.3
Brunei Darussalam,2015,20--64,96,266
Bulgaria,2015,20--64,100,4427.1
Burkina Faso,2015,20--64,854,7451.7
Burundi,2015,20--64,108,4336.3
Cambodia,2015,20--64,116,8407.5
Cameroon,2015,20--64,120,9892.8
Canada,2015,20--64,124,22280.3
Cape Verde,2015,20--64,132,285.4
Central African Republic,2015,20--64,140,1876.2
Chad,2015,20--64,148,5435.1
Channel Islands,2015,20--64,830,102.7
Chile,2015,20--64,152,10878.4
China,2015,20--64,156,934019.4
Colombia,2015,20--64,170,29055
Comoros,2015,20--64,174,361.5
Congo,2015,20--64,178,2216.7
Costa Rica,2015,20--64,188,2909.9
Cote d'Ivoire,2015,20--64,384,10028.4
Croatia,2015,20--64,191,2566.7
Cuba,2015,20--64,192,7300.7
Curaçao,2015,20--64,531,93.2
Cyprus,2015,20--64,196,737.8
Czech Republic,2015,20--64,203,6634
Democratic People's Republic of Korea,2015,20--64,408,15513.4
Democratic Republic of the Congo,2015,20--64,180,30745.7
Denmark,2015,20--64,208,3286.5
Djibouti,2015,20--64,262,495.4
Dominican Republic,2015,20--64,214,5699.1
Ecuador,2015,20--64,218,8879.6
Egypt,2015,20--64,818,49822.2
El Salvador,2015,20--64,222,3352.4
Equatorial Guinea,2015,20--64,226,602.6
Eritrea,2015,20--64,232,2136.3
Estonia,2015,20--64,233,797.4
Ethiopia,2015,20--64,231,43053.4
Fiji,2015,20--64,242,507.1
Finland,2015,20--64,246,3169.9
France,2015,20--64,250,36673.9
French Guiana,2015,20--64,254,140.2
French Polynesia,2015,20--64,258,167.7
Gabon,2015,20--64,266,970.4
Gambia,2015,20--64,270,814.6
Georgia,2015,20--64,268,2398.5
Germany,2015,20--64,276,49632.2
Ghana,2015,20--64,288,13071.4
Greece,2015,20--64,300,6789.4
Grenada,2015,20--64,308,61.2
Guadeloupe,2015,20--64,312,254.8
Guam,2015,20--64,316,92.1
Guatemala,2015,20--64,320,7804.3
Guinea,2015,20--64,324,5273.4
Guinea-Bissau,2015,20--64,624,795.1
Guyana,2015,20--64,328,416.6
Haiti,2015,20--64,332,5479.9
Honduras,2015,20--64,340,4631.7
Hong Kong Special Administrative Region of China,2015,20--64,344,4972.8
Hungary,2015,20--64,348,6144.8
Iceland,2015,20--64,352,196
India,2015,20--64,356,736852.6
Indonesia,2015,20--64,360,150607.7
Iran (Islamic Republic of),2015,20--64,364,51120.6
Iraq,2015,20--64,368,16519.3
Ireland,2015,20--64,372,2786.6
Israel,2015,20--64,376,4287.2
Italy,2015,20--64,380,35241
Jamaica,2015,20--64,388,1654
Japan,2015,20--64,392,72070.8
Jordan,2015,20--64,400,4592.8
Kazakhstan,2015,20--64,398,10667.5
Kenya,2015,20--64,404,21323
Kiribati,2015,20--64,296,57.1
Kuwait,2015,20--64,414,2814.4
Kyrgyzstan,2015,20--64,417,3277.6
Lao People's Democratic Republic,2015,20--64,418,3444.4
Latvia,2015,20--64,428,1219.9
Lebanon,2015,20--64,422,3413.7
Lesotho,2015,20--64,426,1052.7
Liberia,2015,20--64,430,1980.8
Libyan Arab Jamahiriya,2015,20--64,434,3645.8
Lithuania,2015,20--64,440,1786.7
Luxembourg,2015,20--64,442,360.8
Macao Special Administrative Region of China,2015,20--64,446,443.2
Madagascar,2015,20--64,450,10752.2
Malawi,2015,20--64,454,7215.1
Malaysia,2015,20--64,458,18355.5
Maldives,2015,20--64,462,272
Mali,2015,20--64,466,6815.2
Malta,2015,20--64,470,263.4
Martinique,2015,20--64,474,222.7
Mauritania,2015,20--64,478,1939.6
Mauritius,2015,20--64,480,795.4
Mayotte,2015,20--64,175,106
Mexico,2015,20--64,484,71388.7
Micronesia (Federated States of),2015,20--64,583,51.3
Mongolia,2015,20--64,496,1775.7
Montenegro,2015,20--64,499,383.2
Morocco,2015,20--64,504,19991
Mozambique,2015,20--64,508,11443.2
Myanmar,2015,20--64,104,30162.9
Namibia,2015,20--64,516,1176.5
Nepal,2015,20--64,524,14508.7
Netherlands,2015,20--64,528,10055.2
New Caledonia,2015,20--64,540,160.4
New Zealand,2015,20--64,554,2698.2
Nicaragua,2015,20--64,558,3342
Niger,2015,20--64,562,7346.6
Nigeria,2015,20--64,566,77647.1
Norway,2015,20--64,578,3091.5
Occupied Palestinian Territory,2015,20--64,275,2122.6
Oman,2015,20--64,512,2935.2
Pakistan,2015,20--64,586,95229.9
Panama,2015,20--64,591,2220.2
Papua New Guinea,2015,20--64,598,3907.1
Paraguay,2015,20--64,600,3554.7
Peru,2015,20--64,604,17705.6
Philippines,2015,20--64,608,54067.3
Poland,2015,20--64,616,24570.7
Portugal,2015,20--64,620,6241.1
Puerto Rico,2015,20--64,630,2179.8
Qatar,2015,20--64,634,2009.4
Republic of Korea,2015,20--64,410,33824.6
Republic of Moldova,2015,20--64,498,2779.9
Reunion,2015,20--64,638,496.9
Romania,2015,20--64,642,12343.6
Russian Federation,2015,20--64,643,93926.7
Rwanda,2015,20--64,646,5349.6
Saint Lucia,2015,20--64,662,109.6
Saint Vincent and the Grenadines,2015,20--64,670,64.8
Samoa,2015,20--64,882,90.7
Sao Tome and Principe,2015,20--64,678,83.8
Saudi Arabia,2015,20--64,682,20046.8
Senegal,2015,20--64,686,6510.1
Serbia,2015,20--64,688,5392.3
Seychelles,2015,20--64,690,59.9
Sierra Leone,2015,20--64,694,3175.6
Singapore,2015,20--64,702,3677.8
Slovakia,2015,20--64,703,3553.4
Slovenia,2015,20--64,705,1300.5
Solomon Islands,2015,20--64,90,271.8
Somalia,2015,20--64,706,5506.4
South Africa,2015,20--64,710,31113.8
South Sudan,2015,20--64,728,5163.1
Spain,2015,20--64,724,28625.1
Sri Lanka,2015,20--64,144,12111
Sudan,2015,20--64,729,17049.3
Suriname,2015,20--64,740,317.7
Swaziland,2015,20--64,748,631.5
Sweden,2015,20--64,752,5655.7
Switzerland,2015,20--64,756,5157.2
Syrian Arab Republic,2015,20--64,760,8682.6
Taiwan Province of China,2015,20--64,158,15851
Tajikistan,2015,20--64,762,4396.1
Thailand,2015,20--64,764,44232.1
The former Yugoslav Republic of Macedonia,2015,20--64,807,1337.3
Timor-Leste,2015,20--64,626,497.2
Togo,2015,20--64,768,3333.9
Tonga,2015,20--64,776,49.6
Trinidad and Tobago,2015,20--64,780,863.2
Tunisia,2015,20--64,788,6918.1
Turkey,2015,20--64,792,45470.2
Turkmenistan,2015,20--64,795,3179.6
Uganda,2015,20--64,800,15422.3
Ukraine,2015,20--64,804,28726.5
United Arab Emirates,2015,20--64,784,7469.6
United Kingdom of Great Britain and Northern Ireland,2015,20--64,826,38266.6
United Republic of Tanzania,2015,20--64,834,22208.6
United States of America,2015,20--64,840,190303.6
United States Virgin Islands,2015,20--64,850,58.4
Uruguay,2015,20--64,858,1943.6
Uzbekistan,2015,20--64,860,18168.9
Vanuatu,2015,20--64,548,131
Venezuela (Bolivarian Republic of),2015,20--64,862,17637
Viet Nam,2015,20--64,704,58678
Western Sahara,2015,20--64,732,317.2
World,2015,20--64,900,4246989
Yemen,2015,20--64,887,12206.9
Zambia,2015,20--64,894,6576.4
Zimbabwe,2015,20--64,716,7096.6
