"cc","year","age","iso","wic_pop"
"Kiribati",2015,"0--19",296,51.2
"Kuwait",2015,"0--19",414,1040.3
"Kyrgyzstan",2015,"0--19",417,2336.9
"Lao People's Democratic Republic",2015,"0--19",418,2961
"Latvia",2015,"0--19",428,388.7
"Lebanon",2015,"0--19",422,1961.4
"Lesotho",2015,"0--19",426,1025.5
"Liberia",2015,"0--19",430,2382.9
"Libyan Arab Jamahiriya",2015,"0--19",434,2319.8
"Lithuania",2015,"0--19",440,597.5
"Luxembourg",2015,"0--19",442,126.8
"Macao Special Administrative Region of China",2015,"0--19",446,106
"Madagascar",2015,"0--19",450,12795.8
"Malawi",2015,"0--19",454,9828.9
"Malaysia",2015,"0--19",458,10568
"Maldives",2015,"0--19",462,129.2
"Mali",2015,"0--19",466,10212.5
"Malta",2015,"0--19",470,85.7
"Martinique",2015,"0--19",474,94.5
"Mauritania",2015,"0--19",478,2113.6
"Mauritius",2015,"0--19",480,338.9
"Mayotte",2015,"0--19",175,125
"Mexico",2015,"0--19",484,46347.6
"Micronesia (Federated States of)",2015,"0--19",583,48.6
"Mongolia",2015,"0--19",496,1085.4
"Montenegro",2015,"0--19",499,157.7
"Morocco",2015,"0--19",504,12584.8
"Mozambique",2015,"0--19",508,15688.5
"Myanmar",2015,"0--19",104,19453.8
"Namibia",2015,"0--19",516,1164.7
"Nepal",2015,"0--19",524,12580.3
"Netherlands",2015,"0--19",528,3847.9
"New Caledonia",2015,"0--19",540,82.5
"New Zealand",2015,"0--19",554,1240.5
"Nicaragua",2015,"0--19",558,2430.4
"Niger",2015,"0--19",562,12042.6
"Nigeria",2015,"0--19",566,98577.2
"Norway",2015,"0--19",578,1260.7
"Occupied Palestinian Territory",2015,"0--19",275,2401.4
"Oman",2015,"0--19",512,1166.9
"Pakistan",2015,"0--19",586,85664.6
"Panama",2015,"0--19",591,1449.3
"Papua New Guinea",2015,"0--19",598,3723.1
"Paraguay",2015,"0--19",600,2684.7
"Peru",2015,"0--19",604,11529.8
"Philippines",2015,"0--19",608,43005.9
"Poland",2015,"0--19",616,7718.2
"Portugal",2015,"0--19",620,2015.5
"Puerto Rico",2015,"0--19",630,961.3
"Qatar",2015,"0--19",634,444.9
"Republic of Korea",2015,"0--19",410,10204.1
"Republic of Moldova",2015,"0--19",498,881.9
"Reunion",2015,"0--19",638,277.2
"Romania",2015,"0--19",642,4152.5
"Russian Federation",2015,"0--19",643,30552.7
"Rwanda",2015,"0--19",646,5951.1
"Saint Lucia",2015,"0--19",662,51
"Saint Vincent and the Grenadines",2015,"0--19",670,36.7
"Samoa",2015,"0--19",882,92.8
"Sao Tome and Principe",2015,"0--19",678,105.9
"Saudi Arabia",2015,"0--19",682,10544.2
"Senegal",2015,"0--19",686,8020.4
"Serbia",2015,"0--19",688,2014.1
"Seychelles",2015,"0--19",690,26.2
"Sierra Leone",2015,"0--19",694,3881.6
"Singapore",2015,"0--19",702,1211
"Slovakia",2015,"0--19",703,1121.3
"Slovenia",2015,"0--19",705,400.2
"Solomon Islands",2015,"0--19",90,295.4
"Somalia",2015,"0--19",706,8026.9
"South Africa",2015,"0--19",710,21365.4
"South Sudan",2015,"0--19",728,6304.5
"Spain",2015,"0--19",724,9014
"Sri Lanka",2015,"0--19",144,6674.7
"Sudan",2015,"0--19",729,20258.1
"Suriname",2015,"0--19",740,198.6
"Swaziland",2015,"0--19",748,646.4
"Sweden",2015,"0--19",752,2194.5
"Switzerland",2015,"0--19",756,1665.3
"Syrian Arab Republic",2015,"0--19",760,9295.6
"Taiwan Province of China",2015,"0--19",158,4752.9
"Tajikistan",2015,"0--19",762,3869.8
"Thailand",2015,"0--19",764,17174.4
"The former Yugoslav Republic of Macedonia",2015,"0--19",807,481.5
"Timor-Leste",2015,"0--19",626,700.9
"Togo",2015,"0--19",768,3876.1
"Tonga",2015,"0--19",776,50.6
"Trinidad and Tobago",2015,"0--19",780,369
"Tunisia",2015,"0--19",788,3498.6
"Turkey",2015,"0--19",792,26694.8
"Turkmenistan",2015,"0--19",795,2160.8
"Uganda",2015,"0--19",800,23848.1
"Ukraine",2015,"0--19",804,8839.5
"United Arab Emirates",2015,"0--19",784,1590.6
"United Kingdom of Great Britain and Northern Ireland",2015,"0--19",826,15275.8
"United Republic of Tanzania",2015,"0--19",834,30001.9
"United States of America",2015,"0--19",840,82764.5
"United States Virgin Islands",2015,"0--19",850,28.4
"Uruguay",2015,"0--19",858,992.8
"Uzbekistan",2015,"0--19",860,11497.2
"Vanuatu",2015,"0--19",548,122.6
"Venezuela (Bolivarian Republic of)",2015,"0--19",862,11571.5
"Viet Nam",2015,"0--19",704,28590.9
"Western Sahara",2015,"0--19",732,195.7
"World",2015,"0--19",900,2524116.9
"Yemen",2015,"0--19",887,13940.4
"Zambia",2015,"0--19",894,9120.2
"Zimbabwe",2015,"0--19",716,8234.6
"Afghanistan",2015,"65+",4,841.1
"Albania",2015,"65+",8,366.5
"Algeria",2015,"65+",12,2340.4
"Angola",2015,"65+",24,642.5
"Antigua and Barbuda",2015,"65+",28,6.6
"Argentina",2015,"65+",32,4744
"Armenia",2015,"65+",51,318.2
"Aruba",2015,"65+",533,12.7
"Australia",2015,"65+",36,3564.5
"Austria",2015,"65+",40,1635.1
"Azerbaijan",2015,"65+",31,551.9
"Bahamas",2015,"65+",44,32.1
"Bahrain",2015,"65+",48,31.9
"Bangladesh",2015,"65+",50,8121.6
"Barbados",2015,"65+",52,40.3
"Belarus",2015,"65+",112,1359.8
"Belgium",2015,"65+",56,2047.9
"Belize",2015,"65+",84,13.5
"Benin",2015,"65+",204,341.4
"Bhutan",2015,"65+",64,36.9
"Bolivia (Plurinational State of)",2015,"65+",68,693.4
"Bosnia and Herzegovina",2015,"65+",70,555.8
"Botswana",2015,"65+",72,82.3
"Brazil",2015,"65+",76,16395.5
"Brunei Darussalam",2015,"65+",96,17.1
"Bulgaria",2015,"65+",100,1441
"Burkina Faso",2015,"65+",854,436.1
"Burundi",2015,"65+",108,255.2
"Cambodia",2015,"65+",116,639.2
"Cameroon",2015,"65+",120,722
"Canada",2015,"65+",124,5805.1
"Cape Verde",2015,"65+",132,23.8
"Central African Republic",2015,"65+",140,166.4
"Chad",2015,"65+",148,345
"Channel Islands",2015,"65+",830,28.4
"Chile",2015,"65+",152,1850.7
"China",2015,"65+",156,135178.5
"Colombia",2015,"65+",170,3394.8
"Comoros",2015,"65+",174,22.5
"Congo",2015,"65+",178,168.2
"Costa Rica",2015,"65+",188,428
"Cote d'Ivoire",2015,"65+",384,666.7
"Croatia",2015,"65+",191,799.9
"Cuba",2015,"65+",192,1593.8
"Curaçao",2015,"65+",531,24.5
"Cyprus",2015,"65+",196,149
"Czech Republic",2015,"65+",203,1908.1
"Democratic People's Republic of Korea",2015,"65+",408,2447.9
"Democratic Republic of the Congo",2015,"65+",180,2299.4
"Denmark",2015,"65+",208,1083.6
"Djibouti",2015,"65+",262,38
"Dominican Republic",2015,"65+",214,700.4
"Ecuador",2015,"65+",218,1082.3
"Egypt",2015,"65+",818,4748.2
"El Salvador",2015,"65+",222,500.7
"Equatorial Guinea",2015,"65+",226,34
"Eritrea",2015,"65+",232,177.1
"Estonia",2015,"65+",233,247.6
"Ethiopia",2015,"65+",231,3476
"Fiji",2015,"65+",242,52
"Finland",2015,"65+",246,1110.9
"France",2015,"65+",250,12207.2
"French Guiana",2015,"65+",254,12.9
"French Polynesia",2015,"65+",258,20.1
"Gabon",2015,"65+",266,87.1
"Gambia",2015,"65+",270,46.1
"Georgia",2015,"65+",268,577.5
"Germany",2015,"65+",276,17254.7
"Ghana",2015,"65+",288,934.1
"Greece",2015,"65+",300,2237.7
"Grenada",2015,"65+",308,7.7
"Guadeloupe",2015,"65+",312,73.8
"Guam",2015,"65+",316,14.4
"Guatemala",2015,"65+",320,732.6
"Guinea",2015,"65+",324,369.4
"Guinea-Bissau",2015,"65+",624,51
"Guyana",2015,"65+",328,38.7
"Haiti",2015,"65+",332,496
"Honduras",2015,"65+",340,395.6
"Hong Kong Special Administrative Region of China",2015,"65+",344,1102.6
"Hungary",2015,"65+",348,1711.8
"Iceland",2015,"65+",352,45.3
"India",2015,"65+",356,73781.5
"Indonesia",2015,"65+",360,13153.5
"Iran (Islamic Republic of)",2015,"65+",364,3995.5
"Iraq",2015,"65+",368,1110.1
"Ireland",2015,"65+",372,621.8
"Israel",2015,"65+",376,905.1
"Italy",2015,"65+",380,13306.9
"Jamaica",2015,"65+",388,267.2
"Japan",2015,"65+",392,33293.2
"Jordan",2015,"65+",400,344.7
"Kazakhstan",2015,"65+",398,1198.8
"Kenya",2015,"65+",404,1218.9
"Kiribati",2015,"65+",296,4.2
"Kuwait",2015,"65+",414,81.2
"Kyrgyzstan",2015,"65+",417,251
"Lao People's Democratic Republic",2015,"65+",418,258.9
"Latvia",2015,"65+",428,384.3
"Lebanon",2015,"65+",422,476.5
"Lesotho",2015,"65+",426,96.6
"Liberia",2015,"65+",430,136.1
"Libyan Arab Jamahiriya",2015,"65+",434,269.5
"Lithuania",2015,"65+",440,547.8
"Luxembourg",2015,"65+",442,79.3
"Macao Special Administrative Region of China",2015,"65+",446,51.7
"Madagascar",2015,"65+",450,686.8
"Malawi",2015,"65+",454,528
"Malaysia",2015,"65+",458,1801.2
"Maldives",2015,"65+",462,17.2
"Mali",2015,"65+",466,442.6
"Malta",2015,"65+",470,78.6
"Martinique",2015,"65+",474,68.7
"Mauritania",2015,"65+",478,129.7
"Mauritius",2015,"65+",480,125.4
"Mayotte",2015,"65+",175,9
"Mexico",2015,"65+",484,8160
"Micronesia (Federated States of)",2015,"65+",583,4.5
"Mongolia",2015,"65+",496,115.6
"Montenegro",2015,"65+",499,87.3
"Morocco",2015,"65+",504,2226.1
"Mozambique",2015,"65+",508,877.5
"Myanmar",2015,"65+",104,2787.1
"Namibia",2015,"65+",516,84.4
"Nepal",2015,"65+",524,1569.3
"Netherlands",2015,"65+",528,3035.4
"New Caledonia",2015,"65+",540,26.2
"New Zealand",2015,"65+",554,675.9
"Nicaragua",2015,"65+",558,309.3
"Niger",2015,"65+",562,505.8
"Nigeria",2015,"65+",566,4957.5
"Norway",2015,"65+",578,847.8
"Occupied Palestinian Territory",2015,"65+",275,138.7
"Oman",2015,"65+",512,97.2
"Pakistan",2015,"65+",586,8493.5
"Panama",2015,"65+",591,299.9
"Papua New Guinea",2015,"65+",598,288.7
"Paraguay",2015,"65+",600,399.7
"Peru",2015,"65+",604,2141.5
"Philippines",2015,"65+",608,4650.4
"Poland",2015,"65+",616,5973.9
"Portugal",2015,"65+",620,2160.7
"Puerto Rico",2015,"65+",630,532.9
"Qatar",2015,"65+",634,27
"Republic of Korea",2015,"65+",410,6559.7
"Republic of Moldova",2015,"65+",498,404.1
"Reunion",2015,"65+",638,89.3
"Romania",2015,"65+",642,3379
"Russian Federation",2015,"65+",643,19408.5
"Rwanda",2015,"65+",646,326.7
"Saint Lucia",2015,"65+",662,16.6
"Saint Vincent and the Grenadines",2015,"65+",670,8
"Samoa",2015,"65+",882,10.3
"Sao Tome and Principe",2015,"65+",678,5.9
"Saudi Arabia",2015,"65+",682,963.5
"Senegal",2015,"65+",686,448.5
"Serbia",2015,"65+",688,1443.2
"Seychelles",2015,"65+",690,7.7
"Sierra Leone",2015,"65+",694,181.1
"Singapore",2015,"65+",702,646.9
"Slovakia",2015,"65+",703,764.6
"Slovenia",2015,"65+",705,374.2
"Solomon Islands",2015,"65+",90,20.2
"Somalia",2015,"65+",706,373.7
"South Africa",2015,"65+",710,2809.5
"South Sudan",2015,"65+",728,412.3
"Spain",2015,"65+",724,8758.7
"Sri Lanka",2015,"65+",144,1926.2
"Sudan",2015,"65+",729,1335.5
"Suriname",2015,"65+",740,37
"Swaziland",2015,"65+",748,41
"Sweden",2015,"65+",752,1913.5
"Switzerland",2015,"65+",756,1497.3
"Syrian Arab Republic",2015,"65+",760,756.9
"Taiwan Province of China",2015,"65+",158,2879.2
"Tajikistan",2015,"65+",762,284
"Thailand",2015,"65+",764,7253.5
"The former Yugoslav Republic of Macedonia",2015,"65+",807,260.4
"Timor-Leste",2015,"65+",626,42.9
"Togo",2015,"65+",768,206.9
"Tonga",2015,"65+",776,6.2
"Trinidad and Tobago",2015,"65+",780,128
"Tunisia",2015,"65+",788,857.9
"Turkey",2015,"65+",792,6106.6
"Turkmenistan",2015,"65+",795,226.8
"Uganda",2015,"65+",800,873
"Ukraine",2015,"65+",804,7094.6
"United Arab Emirates",2015,"65+",784,93.6
"United Kingdom of Great Britain and Northern Ireland",2015,"65+",826,11851
"United Republic of Tanzania",2015,"65+",834,1675.8
"United States of America",2015,"65+",840,46838.7
"United States Virgin Islands",2015,"65+",850,18.3
"Uruguay",2015,"65+",858,495.3
"Uzbekistan",2015,"65+",860,1310.8
"Vanuatu",2015,"65+",548,11.1
"Venezuela (Bolivarian Republic of)",2015,"65+",862,1949.5
"Viet Nam",2015,"65+",704,6311
"Western Sahara",2015,"65+",732,13.4
"World",2015,"65+",900,611893.9
"Yemen",2015,"65+",887,769
"Zambia",2015,"65+",894,402.9
"Zimbabwe",2015,"65+",716,445.5
"Afghanistan",2015,"20--64",4,13926.9
"Albania",2015,"20--64",8,1779.8
"Algeria",2015,"20--64",12,23092.2
"Angola",2015,"20--64",24,11195.6
"Antigua and Barbuda",2015,"20--64",28,60.2
"Argentina",2015,"20--64",32,24288.1
"Armenia",2015,"20--64",51,1838
"Aruba",2015,"20--64",533,64.6
"Australia",2015,"20--64",36,14271.2
"Austria",2015,"20--64",40,5361.4
"Azerbaijan",2015,"20--64",31,6142.3
"Bahamas",2015,"20--64",44,244.1
"Bahrain",2015,"20--64",48,979.6
"Bangladesh",2015,"20--64",50,89541.8
"Barbados",2015,"20--64",52,170.5
"Belarus",2015,"20--64",112,6132.8
"Belgium",2015,"20--64",56,6690
"Belize",2015,"20--64",84,190.8
"Benin",2015,"20--64",204,4549.5
"Bhutan",2015,"20--64",64,458.6
"Bolivia (Plurinational State of)",2015,"20--64",68,5469.9
"Bosnia and Herzegovina",2015,"20--64",70,2234.8
"Botswana",2015,"20--64",72,1209.7
"Brazil",2015,"20--64",76,125799.3
"Brunei Darussalam",2015,"20--64",96,266
"Bulgaria",2015,"20--64",100,4427.1
"Burkina Faso",2015,"20--64",854,7451.7
"Burundi",2015,"20--64",108,4336.3
"Cambodia",2015,"20--64",116,8407.5
"Cameroon",2015,"20--64",120,9892.8
"Canada",2015,"20--64",124,22280.3
"Cape Verde",2015,"20--64",132,285.4
"Central African Republic",2015,"20--64",140,1876.2
"Chad",2015,"20--64",148,5435.1
"Channel Islands",2015,"20--64",830,102.7
"Chile",2015,"20--64",152,10878.4
"China",2015,"20--64",156,934019.4
"Colombia",2015,"20--64",170,29055
"Comoros",2015,"20--64",174,361.5
"Congo",2015,"20--64",178,2216.7
"Costa Rica",2015,"20--64",188,2909.9
"Cote d'Ivoire",2015,"20--64",384,10028.4
"Croatia",2015,"20--64",191,2566.7
"Cuba",2015,"20--64",192,7300.7
"Curaçao",2015,"20--64",531,93.2
"Cyprus",2015,"20--64",196,737.8
"Czech Republic",2015,"20--64",203,6634
"Democratic People's Republic of Korea",2015,"20--64",408,15513.4
"Democratic Republic of the Congo",2015,"20--64",180,30745.7
"Denmark",2015,"20--64",208,3286.5
"Djibouti",2015,"20--64",262,495.4
"Dominican Republic",2015,"20--64",214,5699.1
"Ecuador",2015,"20--64",218,8879.6
"Egypt",2015,"20--64",818,49822.2
"El Salvador",2015,"20--64",222,3352.4
"Equatorial Guinea",2015,"20--64",226,602.6
"Eritrea",2015,"20--64",232,2136.3
"Estonia",2015,"20--64",233,797.4
"Ethiopia",2015,"20--64",231,43053.4
"Fiji",2015,"20--64",242,507.1
"Finland",2015,"20--64",246,3169.9
"France",2015,"20--64",250,36673.9
"French Guiana",2015,"20--64",254,140.2
"French Polynesia",2015,"20--64",258,167.7
"Gabon",2015,"20--64",266,970.4
"Gambia",2015,"20--64",270,814.6
"Georgia",2015,"20--64",268,2398.5
"Germany",2015,"20--64",276,49632.2
"Ghana",2015,"20--64",288,13071.4
"Greece",2015,"20--64",300,6789.4
"Grenada",2015,"20--64",308,61.2
"Guadeloupe",2015,"20--64",312,254.8
"Guam",2015,"20--64",316,92.1
"Guatemala",2015,"20--64",320,7804.3
"Guinea",2015,"20--64",324,5273.4
"Guinea-Bissau",2015,"20--64",624,795.1
"Guyana",2015,"20--64",328,416.6
"Haiti",2015,"20--64",332,5479.9
"Honduras",2015,"20--64",340,4631.7
"Hong Kong Special Administrative Region of China",2015,"20--64",344,4972.8
"Hungary",2015,"20--64",348,6144.8
"Iceland",2015,"20--64",352,196
"India",2015,"20--64",356,736852.6
"Indonesia",2015,"20--64",360,150607.7
"Iran (Islamic Republic of)",2015,"20--64",364,51120.6
"Iraq",2015,"20--64",368,16519.3
"Ireland",2015,"20--64",372,2786.6
"Israel",2015,"20--64",376,4287.2
"Italy",2015,"20--64",380,35241
"Jamaica",2015,"20--64",388,1654
"Japan",2015,"20--64",392,72070.8
"Jordan",2015,"20--64",400,4592.8
"Kazakhstan",2015,"20--64",398,10667.5
"Kenya",2015,"20--64",404,21323
"Kiribati",2015,"20--64",296,57.1
"Kuwait",2015,"20--64",414,2814.4
"Kyrgyzstan",2015,"20--64",417,3277.6
"Lao People's Democratic Republic",2015,"20--64",418,3444.4
"Latvia",2015,"20--64",428,1219.9
"Lebanon",2015,"20--64",422,3413.7
"Lesotho",2015,"20--64",426,1052.7
"Liberia",2015,"20--64",430,1980.8
"Libyan Arab Jamahiriya",2015,"20--64",434,3645.8
"Lithuania",2015,"20--64",440,1786.7
"Luxembourg",2015,"20--64",442,360.8
"Macao Special Administrative Region of China",2015,"20--64",446,443.2
"Madagascar",2015,"20--64",450,10752.2
"Malawi",2015,"20--64",454,7215.1
"Malaysia",2015,"20--64",458,18355.5
"Maldives",2015,"20--64",462,272
"Mali",2015,"20--64",466,6815.2
"Malta",2015,"20--64",470,263.4
"Martinique",2015,"20--64",474,222.7
"Mauritania",2015,"20--64",478,1939.6
"Mauritius",2015,"20--64",480,795.4
"Mayotte",2015,"20--64",175,106
"Mexico",2015,"20--64",484,71388.7
"Micronesia (Federated States of)",2015,"20--64",583,51.3
"Mongolia",2015,"20--64",496,1775.7
"Montenegro",2015,"20--64",499,383.2
"Morocco",2015,"20--64",504,19991
"Mozambique",2015,"20--64",508,11443.2
"Myanmar",2015,"20--64",104,30162.9
"Namibia",2015,"20--64",516,1176.5
"Nepal",2015,"20--64",524,14508.7
"Netherlands",2015,"20--64",528,10055.2
"New Caledonia",2015,"20--64",540,160.4
"New Zealand",2015,"20--64",554,2698.2
"Nicaragua",2015,"20--64",558,3342
"Niger",2015,"20--64",562,7346.6
"Nigeria",2015,"20--64",566,77647.1
"Norway",2015,"20--64",578,3091.5
"Occupied Palestinian Territory",2015,"20--64",275,2122.6
"Oman",2015,"20--64",512,2935.2
"Pakistan",2015,"20--64",586,95229.9
"Panama",2015,"20--64",591,2220.2
"Papua New Guinea",2015,"20--64",598,3907.1
"Paraguay",2015,"20--64",600,3554.7
"Peru",2015,"20--64",604,17705.6
"Philippines",2015,"20--64",608,54067.3
"Poland",2015,"20--64",616,24570.7
"Portugal",2015,"20--64",620,6241.1
"Puerto Rico",2015,"20--64",630,2179.8
"Qatar",2015,"20--64",634,2009.4
"Republic of Korea",2015,"20--64",410,33824.6
"Republic of Moldova",2015,"20--64",498,2779.9
"Reunion",2015,"20--64",638,496.9
"Romania",2015,"20--64",642,12343.6
"Russian Federation",2015,"20--64",643,93926.7
"Rwanda",2015,"20--64",646,5349.6
"Saint Lucia",2015,"20--64",662,109.6
"Saint Vincent and the Grenadines",2015,"20--64",670,64.8
"Samoa",2015,"20--64",882,90.7
"Sao Tome and Principe",2015,"20--64",678,83.8
"Saudi Arabia",2015,"20--64",682,20046.8
"Senegal",2015,"20--64",686,6510.1
"Serbia",2015,"20--64",688,5392.3
"Seychelles",2015,"20--64",690,59.9
"Sierra Leone",2015,"20--64",694,3175.6
"Singapore",2015,"20--64",702,3677.8
"Slovakia",2015,"20--64",703,3553.4
"Slovenia",2015,"20--64",705,1300.5
"Solomon Islands",2015,"20--64",90,271.8
"Somalia",2015,"20--64",706,5506.4
"South Africa",2015,"20--64",710,31113.8
"South Sudan",2015,"20--64",728,5163.1
"Spain",2015,"20--64",724,28625.1
"Sri Lanka",2015,"20--64",144,12111
"Sudan",2015,"20--64",729,17049.3
"Suriname",2015,"20--64",740,317.7
"Swaziland",2015,"20--64",748,631.5
"Sweden",2015,"20--64",752,5655.7
"Switzerland",2015,"20--64",756,5157.2
"Syrian Arab Republic",2015,"20--64",760,8682.6
"Taiwan Province of China",2015,"20--64",158,15851
"Tajikistan",2015,"20--64",762,4396.1
"Thailand",2015,"20--64",764,44232.1
"The former Yugoslav Republic of Macedonia",2015,"20--64",807,1337.3
"Timor-Leste",2015,"20--64",626,497.2
"Togo",2015,"20--64",768,3333.9
"Tonga",2015,"20--64",776,49.6
"Trinidad and Tobago",2015,"20--64",780,863.2
"Tunisia",2015,"20--64",788,6918.1
"Turkey",2015,"20--64",792,45470.2
"Turkmenistan",2015,"20--64",795,3179.6
"Uganda",2015,"20--64",800,15422.3
"Ukraine",2015,"20--64",804,28726.5
"United Arab Emirates",2015,"20--64",784,7469.6
"United Kingdom of Great Britain and Northern Ireland",2015,"20--64",826,38266.6
"United Republic of Tanzania",2015,"20--64",834,22208.6
"United States of America",2015,"20--64",840,190303.6
"United States Virgin Islands",2015,"20--64",850,58.4
"Uruguay",2015,"20--64",858,1943.6
"Uzbekistan",2015,"20--64",860,18168.9
"Vanuatu",2015,"20--64",548,131
"Venezuela (Bolivarian Republic of)",2015,"20--64",862,17637
"Viet Nam",2015,"20--64",704,58678
"Western Sahara",2015,"20--64",732,317.2
"World",2015,"20--64",900,4246989
"Yemen",2015,"20--64",887,12206.9
"Zambia",2015,"20--64",894,6576.4
"Zimbabwe",2015,"20--64",716,7096.6
