"iso","cc","unesco_caner","est_female","est_male"
428,"Latvia",0.2,0.200000000000003,0.200000000000003
422,"Lebanon",4.93056,10.7171767572333,3.77287729038996
426,"Lesotho",10.09305,2.44650200832999,17.9196505316557
430,"Liberia",51.69864,42.3047177678674,16.0213950451699
434,"Libyan Arab Jamahiriya",9.139324,15.8343731241951,2.71834221216843
440,"Lithuania",0.2439352,0.248655990783669,0.238515687140977
442,"Luxembourg",NA,0.200000000000003,0.201437399192005
446,"Macao Special Administrative Region of China",NA,4.96742999999999,1.81408
450,"Madagascar",25.19568,24.7485530939675,16.7648040500979
454,"Malawi",37.85646,36.7252204614452,17.7058470808769
458,"Malaysia",6.2653,7.05243013960543,4.23488674106463
462,"Maldives",2.26505,1.36601583773932,1.4988208948399
466,"Mali",65.72867,37.6738159626168,27.7989221637697
470,"Malta",5.49681,2.85847991215729,5.03082403494578
474,"Martinique",0.9741606,0.807136853440408,1.15531774508758
478,"Mauritania",46.50241,57.7746996864887,38.3125083897842
480,"Mauritius",7.603056,10.7723416454781,8.27349310689702
175,"Mayotte",NA,NA,NA
484,"Mexico",5.078853,5.93402053103282,3.67269551351075
583,"Micronesia (Federated States of)",NA,NA,NA
496,"Mongolia",NA,1.35111000000001,1.81399
499,"Montenegro",NA,2.00000000000003,1.00718699596002
504,"Morocco",26.24999,45.8962512912362,26.7960186964262
508,"Mozambique",41.65279,46.9439031293276,22.9415294212772
104,"Myanmar",24.4488,12.7496827058059,9.20399228144922
516,"Namibia",8.47273,7.63595667848899,9.54655253743385
524,"Nepal",32.09157,55.320672787768,25.6803018021649
528,"Netherlands",NA,0.400000000000006,0.40287479838401
540,"New Caledonia",NA,NA,NA
554,"New Zealand",NA,NA,NA
558,"Nicaragua",17.38545,23.8438624997173,28.9388684192039
562,"Niger",73.39808,82.6346122396297,63.8601776456483
566,"Nigeria",37.98399,21.1916208275899,12.7844533710555
578,"Norway",NA,0.200000000000003,0.201437399192005
275,"Occupied Palestinian Territory",NA,4.73212333333333,1.41783333333333
512,"Oman",5.208467,16.2409184831535,7.37235598647054
586,"Pakistan",40.86795,50.1491268154795,26.2324571344295
591,"Panama",4.58819,5.30744249028192,4.15656874203309
598,"Papua New Guinea",25.33449,30.0578306960866,20.8583009491422
600,"Paraguay",5.25804,4.05330427195193,3.35645292311462
604,"Peru",5.776527,7.69935449831941,2.65963459566318
608,"Philippines",1.81745,2.13087403217207,2.16607888478279
616,"Poland",0.200688,0.200000000000003,0.201437399192005
620,"Portugal",3.86241,3.06008543399158,1.60123850039748
630,"Puerto Rico",7.61,3.37141255087114,4.29354878966247
634,"Qatar",6.695365,8.3002746502962,14.0075643585771
410,"Republic of Korea",0.6096388,0.901673139379358,0.315327576580829
498,"Republic of Moldova",0.2668939,0.309262913254877,0.219898169241115
638,"Reunion",5.580007,4.12715044131861,7.15422821389976
642,"Romania",1.1555,0.898547134087733,0.563838928892125
643,"Russian Federation",0.2317617,0.245581813469556,0.215407375327788
646,"Rwanda",26.78441,19.6261534881549,14.6634324917306
662,"Saint Lucia",NA,NA,NA
670,"Saint Vincent and the Grenadines",NA,NA,NA
882,"Samoa",0.90423,13.8554828522042,14.3136635980425
678,"Sao Tome and Principe",NA,10.48427,3.83732000000001
682,"Saudi Arabia",4.67137,15.2923379619966,7.8216190007666
686,"Senegal",48.09958,54.7129709164388,38.4182986402185
688,"Serbia",NA,2.00000000000003,1.00718699596002
690,"Seychelles",NA,3.6498,4.58824
694,"Sierra Leone",NA,65.14797,48.35312
702,"Singapore",2.894453,4.39782685859489,1.69884711479974
703,"Slovakia",NA,0.200000000000003,0.201437399192005
705,"Slovenia",0.2711004,0.282971669680655,0.258321973121766
90,"Solomon Islands",NA,NA,NA
706,"Somalia",NA,NA,NA
710,"South Africa",9.292705,9.63363271821222,8.91006855444556
728,"South Sudan",NA,71.13574,59.73519
724,"Spain",1.723243,1.25292362702388,0.685081967822206
144,"Sri Lanka",7.858675,6.22376129625515,3.82309430865657
729,"Sudan",25.88896,32.6930224353461,19.0253630642785
740,"Suriname",NA,7.28794000000001,3.92596
748,"Swaziland",11.23909,11.4141054174888,11.0491027328893
752,"Sweden",NA,0.200000000000003,0.201437399192005
756,"Switzerland",NA,0.200000000000003,0.201437399192005
760,"Syrian Arab Republic",14.98249,24.1268581075241,5.8850077398546
158,"Taiwan Province of China",NA,NA,NA
762,"Tajikistan",0.2668984,0.319667976843822,0.213219260094281
764,"Thailand",7.13169,3.15484836060688,1.41363447857134
807,"The former Yugoslav Republic of Macedonia",NA,2.00000000000003,1.00718699596002
626,"Timor-Leste",NA,35.78906,28.13128
768,"Togo",36.25438,38.5482379255895,12.9712160305831
776,"Tonga",NA,0.524969999999996,0.649019999999993
780,"Trinidad and Tobago",0.6988429,0.876914057702625,0.51387374623127
788,"Tunisia",14.89485,22.2836157522706,7.55949026411036
792,"Turkey",4.026906,12.3041628705281,2.5949929213302
795,"Turkmenistan",NA,NA,NA
800,"Uganda",23.4725,25.2480870000499,13.22044605493
804,"Ukraine",0.2107294,0.231640953862797,0.186549119525774
784,"United Arab Emirates",16.71575,11.171183521425,20.1082922070135
826,"United Kingdom of Great Britain and Northern Ireland",NA,0.200000000000003,0.201437399192005
834,"United Republic of Tanzania",22.11277,14.1631854553197,6.91865159600446
840,"United States of America",NA,NA,NA
850,"United States Virgin Islands",NA,NA,NA
858,"Uruguay",1.39877,0.854396998307534,1.43273308509349
860,"Uzbekistan",0.0148,7.71643642166698,2.93830830158543
548,"Vanuatu",NA,13.29391,11.69365
862,"Venezuela (Bolivarian Republic of)",3.133845,3.41919812004974,3.7591350592554
704,"Viet Nam",4.99962,4.08858297228332,3.25752194483985
732,"Western Sahara",NA,NA,NA
900,"World",NA,NA,NA
887,"Yemen",31.5316,45.9937069935915,17.4745660809385
894,"Zambia",13.25204,14.4311564633143,8.39712520494721
716,"Zimbabwe",3.928073,5.71212754545898,2.13224632106199
