Area,Year,Age,Education,ISOCode,Distribution
Bolivia (Plurinational State of),2015,20--64,Under 15,68,0
Bosnia and Herzegovina,1970,20--64,Under 15,70,0
Bosnia and Herzegovina,1975,20--64,Under 15,70,0
Bosnia and Herzegovina,1980,20--64,Under 15,70,0
Bosnia and Herzegovina,1985,20--64,Under 15,70,0
Bosnia and Herzegovina,1990,20--64,Under 15,70,0
Bosnia and Herzegovina,1995,20--64,Under 15,70,0
Bosnia and Herzegovina,2000,20--64,Under 15,70,0
Bosnia and Herzegovina,2005,20--64,Under 15,70,0
Bosnia and Herzegovina,2010,20--64,Under 15,70,0
Bosnia and Herzegovina,2015,20--64,Under 15,70,0
Botswana,1970,20--64,Under 15,72,0
Botswana,1975,20--64,Under 15,72,0
Botswana,1980,20--64,Under 15,72,0
Botswana,1985,20--64,Under 15,72,0
Botswana,1990,20--64,Under 15,72,0
Botswana,1995,20--64,Under 15,72,0
Botswana,2000,20--64,Under 15,72,0
Botswana,2005,20--64,Under 15,72,0
Botswana,2010,20--64,Under 15,72,0
Botswana,2015,20--64,Under 15,72,0
Brazil,1970,20--64,Under 15,76,0
Brazil,1975,20--64,Under 15,76,0
Brazil,1980,20--64,Under 15,76,0
Brazil,1985,20--64,Under 15,76,0
Brazil,1990,20--64,Under 15,76,0
Brazil,1995,20--64,Under 15,76,0
Brazil,2000,20--64,Under 15,76,0
Brazil,2005,20--64,Under 15,76,0
Brazil,2010,20--64,Under 15,76,0
Brazil,2015,20--64,Under 15,76,0
Brunei Darussalam,2015,20--64,Under 15,96,0
Bulgaria,1970,20--64,Under 15,100,0
Bulgaria,1975,20--64,Under 15,100,0
Bulgaria,1980,20--64,Under 15,100,0
Bulgaria,1985,20--64,Under 15,100,0
Bulgaria,1990,20--64,Under 15,100,0
Bulgaria,1995,20--64,Under 15,100,0
Bulgaria,2000,20--64,Under 15,100,0
Bulgaria,2005,20--64,Under 15,100,0
Bulgaria,2010,20--64,Under 15,100,0
Bulgaria,2015,20--64,Under 15,100,0
Burkina Faso,1970,20--64,Under 15,854,0
Burkina Faso,1975,20--64,Under 15,854,0
Burkina Faso,1980,20--64,Under 15,854,0
Burkina Faso,1985,20--64,Under 15,854,0
Burkina Faso,1990,20--64,Under 15,854,0
Burkina Faso,1995,20--64,Under 15,854,0
Burkina Faso,2000,20--64,Under 15,854,0
Burkina Faso,2005,20--64,Under 15,854,0
Burkina Faso,2010,20--64,Under 15,854,0
Burkina Faso,2015,20--64,Under 15,854,0
Burundi,1970,20--64,Under 15,108,0
Burundi,1975,20--64,Under 15,108,0
Burundi,1980,20--64,Under 15,108,0
Burundi,1985,20--64,Under 15,108,0
Burundi,1990,20--64,Under 15,108,0
Burundi,1995,20--64,Under 15,108,0
Burundi,2000,20--64,Under 15,108,0
Burundi,2005,20--64,Under 15,108,0
Burundi,2010,20--64,Under 15,108,0
Burundi,2015,20--64,Under 15,108,0
Cambodia,1970,20--64,Under 15,116,0
Cambodia,1975,20--64,Under 15,116,0
Cambodia,1980,20--64,Under 15,116,0
Cambodia,1985,20--64,Under 15,116,0
Cambodia,1990,20--64,Under 15,116,0
Cambodia,1995,20--64,Under 15,116,0
Cambodia,2000,20--64,Under 15,116,0
Cambodia,2005,20--64,Under 15,116,0
Cambodia,2010,20--64,Under 15,116,0
Cambodia,2015,20--64,Under 15,116,0
Cameroon,1970,20--64,Under 15,120,0
Cameroon,1975,20--64,Under 15,120,0
Cameroon,1980,20--64,Under 15,120,0
Cameroon,1985,20--64,Under 15,120,0
Cameroon,1990,20--64,Under 15,120,0
Cameroon,1995,20--64,Under 15,120,0
Cameroon,2000,20--64,Under 15,120,0
Cameroon,2005,20--64,Under 15,120,0
Cameroon,2010,20--64,Under 15,120,0
Cameroon,2015,20--64,Under 15,120,0
Canada,1970,20--64,Under 15,124,0
Canada,1975,20--64,Under 15,124,0
Canada,1980,20--64,Under 15,124,0
Canada,1985,20--64,Under 15,124,0
Canada,1990,20--64,Under 15,124,0
Canada,1995,20--64,Under 15,124,0
Canada,2000,20--64,Under 15,124,0
Canada,2005,20--64,Under 15,124,0
Canada,2010,20--64,Under 15,124,0
Canada,2015,20--64,Under 15,124,0
Cape Verde,1970,20--64,Under 15,132,0
Cape Verde,1975,20--64,Under 15,132,0
Cape Verde,1980,20--64,Under 15,132,0
Cape Verde,1985,20--64,Under 15,132,0
Cape Verde,1990,20--64,Under 15,132,0
Cape Verde,1995,20--64,Under 15,132,0
Cape Verde,2000,20--64,Under 15,132,0
Cape Verde,2005,20--64,Under 15,132,0
Cape Verde,2010,20--64,Under 15,132,0
Cape Verde,2015,20--64,Under 15,132,0
Central African Republic,1970,20--64,Under 15,140,0
Central African Republic,1975,20--64,Under 15,140,0
Central African Republic,1980,20--64,Under 15,140,0
Central African Republic,1985,20--64,Under 15,140,0
Central African Republic,1990,20--64,Under 15,140,0
Central African Republic,1995,20--64,Under 15,140,0
Central African Republic,2000,20--64,Under 15,140,0
Central African Republic,2005,20--64,Under 15,140,0
Central African Republic,2010,20--64,Under 15,140,0
Central African Republic,2015,20--64,Under 15,140,0
Chad,1970,20--64,Under 15,148,0
Chad,1975,20--64,Under 15,148,0
Chad,1980,20--64,Under 15,148,0
Chad,1985,20--64,Under 15,148,0
Chad,1990,20--64,Under 15,148,0
Chad,1995,20--64,Under 15,148,0
Chad,2000,20--64,Under 15,148,0
Chad,2005,20--64,Under 15,148,0
Chad,2010,20--64,Under 15,148,0
Chad,2015,20--64,Under 15,148,0
Channel Islands,2015,20--64,Under 15,830,0
Chile,1970,20--64,Under 15,152,0
Chile,1975,20--64,Under 15,152,0
Chile,1980,20--64,Under 15,152,0
Chile,1985,20--64,Under 15,152,0
Chile,1990,20--64,Under 15,152,0
Chile,1995,20--64,Under 15,152,0
Chile,2000,20--64,Under 15,152,0
Chile,2005,20--64,Under 15,152,0
Chile,2010,20--64,Under 15,152,0
Chile,2015,20--64,Under 15,152,0
China,1970,20--64,Under 15,156,0
China,1975,20--64,Under 15,156,0
China,1980,20--64,Under 15,156,0
China,1985,20--64,Under 15,156,0
China,1990,20--64,Under 15,156,0
China,1995,20--64,Under 15,156,0
China,2000,20--64,Under 15,156,0
China,2005,20--64,Under 15,156,0
China,2010,20--64,Under 15,156,0
China,2015,20--64,Under 15,156,0
Colombia,1970,20--64,Under 15,170,0
Colombia,1975,20--64,Under 15,170,0
Colombia,1980,20--64,Under 15,170,0
Colombia,1985,20--64,Under 15,170,0
Colombia,1990,20--64,Under 15,170,0
Colombia,1995,20--64,Under 15,170,0
Colombia,2000,20--64,Under 15,170,0
Colombia,2005,20--64,Under 15,170,0
Colombia,2010,20--64,Under 15,170,0
Colombia,2015,20--64,Under 15,170,0
Comoros,1970,20--64,Under 15,174,0
Comoros,1975,20--64,Under 15,174,0
Comoros,1980,20--64,Under 15,174,0
Comoros,1985,20--64,Under 15,174,0
Comoros,1990,20--64,Under 15,174,0
Comoros,1995,20--64,Under 15,174,0
Comoros,2000,20--64,Under 15,174,0
Comoros,2005,20--64,Under 15,174,0
Comoros,2010,20--64,Under 15,174,0
Comoros,2015,20--64,Under 15,174,0
Congo,1970,20--64,Under 15,178,0
Congo,1975,20--64,Under 15,178,0
Congo,1980,20--64,Under 15,178,0
Congo,1985,20--64,Under 15,178,0
Congo,1990,20--64,Under 15,178,0
Congo,1995,20--64,Under 15,178,0
Congo,2000,20--64,Under 15,178,0
Congo,2005,20--64,Under 15,178,0
Congo,2010,20--64,Under 15,178,0
Congo,2015,20--64,Under 15,178,0
Costa Rica,1970,20--64,Under 15,188,0
Costa Rica,1975,20--64,Under 15,188,0
Costa Rica,1980,20--64,Under 15,188,0
Costa Rica,1985,20--64,Under 15,188,0
Costa Rica,1990,20--64,Under 15,188,0
Costa Rica,1995,20--64,Under 15,188,0
Costa Rica,2000,20--64,Under 15,188,0
Costa Rica,2005,20--64,Under 15,188,0
Costa Rica,2010,20--64,Under 15,188,0
Costa Rica,2015,20--64,Under 15,188,0
Cote d'Ivoire,1970,20--64,Under 15,384,0
Cote d'Ivoire,1975,20--64,Under 15,384,0
Cote d'Ivoire,1980,20--64,Under 15,384,0
Cote d'Ivoire,1985,20--64,Under 15,384,0
Cote d'Ivoire,1990,20--64,Under 15,384,0
Cote d'Ivoire,1995,20--64,Under 15,384,0
Cote d'Ivoire,2000,20--64,Under 15,384,0
Cote d'Ivoire,2005,20--64,Under 15,384,0
Cote d'Ivoire,2010,20--64,Under 15,384,0
Cote d'Ivoire,2015,20--64,Under 15,384,0
Croatia,1970,20--64,Under 15,191,0
Croatia,1975,20--64,Under 15,191,0
Croatia,1980,20--64,Under 15,191,0
Croatia,1985,20--64,Under 15,191,0
Croatia,1990,20--64,Under 15,191,0
Croatia,1995,20--64,Under 15,191,0
Croatia,2000,20--64,Under 15,191,0
Croatia,2005,20--64,Under 15,191,0
Croatia,2010,20--64,Under 15,191,0
Croatia,2015,20--64,Under 15,191,0
Cuba,1970,20--64,Under 15,192,0
Cuba,1975,20--64,Under 15,192,0
Cuba,1980,20--64,Under 15,192,0
Cuba,1985,20--64,Under 15,192,0
Cuba,1990,20--64,Under 15,192,0
Cuba,1995,20--64,Under 15,192,0
Cuba,2000,20--64,Under 15,192,0
Cuba,2005,20--64,Under 15,192,0
Cuba,2010,20--64,Under 15,192,0
Cuba,2015,20--64,Under 15,192,0
Curaçao,1970,20--64,Under 15,531,0
Curaçao,1975,20--64,Under 15,531,0
Curaçao,1980,20--64,Under 15,531,0
Curaçao,1985,20--64,Under 15,531,0
Curaçao,1990,20--64,Under 15,531,0
Curaçao,1995,20--64,Under 15,531,0
Curaçao,2000,20--64,Under 15,531,0
Curaçao,2005,20--64,Under 15,531,0
Curaçao,2010,20--64,Under 15,531,0
Curaçao,2015,20--64,Under 15,531,0
Cyprus,1970,20--64,Under 15,196,0
Cyprus,1975,20--64,Under 15,196,0
Cyprus,1980,20--64,Under 15,196,0
Cyprus,1985,20--64,Under 15,196,0
Cyprus,1990,20--64,Under 15,196,0
Cyprus,1995,20--64,Under 15,196,0
Cyprus,2000,20--64,Under 15,196,0
Cyprus,2005,20--64,Under 15,196,0
Cyprus,2010,20--64,Under 15,196,0
Cyprus,2015,20--64,Under 15,196,0
Czech Republic,1970,20--64,Under 15,203,0
Czech Republic,1975,20--64,Under 15,203,0
Czech Republic,1980,20--64,Under 15,203,0
Czech Republic,1985,20--64,Under 15,203,0
Czech Republic,1990,20--64,Under 15,203,0
Czech Republic,1995,20--64,Under 15,203,0
Czech Republic,2000,20--64,Under 15,203,0
Czech Republic,2005,20--64,Under 15,203,0
Czech Republic,2010,20--64,Under 15,203,0
Czech Republic,2015,20--64,Under 15,203,0
Democratic People's Republic of Korea,1970,20--64,Under 15,408,0
Democratic People's Republic of Korea,1975,20--64,Under 15,408,0
Democratic People's Republic of Korea,1980,20--64,Under 15,408,0
Democratic People's Republic of Korea,1985,20--64,Under 15,408,0
Democratic People's Republic of Korea,1990,20--64,Under 15,408,0
Democratic People's Republic of Korea,1995,20--64,Under 15,408,0
Democratic People's Republic of Korea,2000,20--64,Under 15,408,0
Democratic People's Republic of Korea,2005,20--64,Under 15,408,0
Democratic People's Republic of Korea,2010,20--64,Under 15,408,0
Democratic People's Republic of Korea,2015,20--64,Under 15,408,0
Democratic Republic of the Congo,1970,20--64,Under 15,180,0
Democratic Republic of the Congo,1975,20--64,Under 15,180,0
Democratic Republic of the Congo,1980,20--64,Under 15,180,0
Democratic Republic of the Congo,1985,20--64,Under 15,180,0
Democratic Republic of the Congo,1990,20--64,Under 15,180,0
Democratic Republic of the Congo,1995,20--64,Under 15,180,0
Democratic Republic of the Congo,2000,20--64,Under 15,180,0
Democratic Republic of the Congo,2005,20--64,Under 15,180,0
Democratic Republic of the Congo,2010,20--64,Under 15,180,0
Democratic Republic of the Congo,2015,20--64,Under 15,180,0
Denmark,1970,20--64,Under 15,208,0
Denmark,1975,20--64,Under 15,208,0
Denmark,1980,20--64,Under 15,208,0
Denmark,1985,20--64,Under 15,208,0
Denmark,1990,20--64,Under 15,208,0
Denmark,1995,20--64,Under 15,208,0
Denmark,2000,20--64,Under 15,208,0
Denmark,2005,20--64,Under 15,208,0
Denmark,2010,20--64,Under 15,208,0
Denmark,2015,20--64,Under 15,208,0
Djibouti,2015,20--64,Under 15,262,0
Dominican Republic,1970,20--64,Under 15,214,0
Dominican Republic,1975,20--64,Under 15,214,0
Dominican Republic,1980,20--64,Under 15,214,0
Dominican Republic,1985,20--64,Under 15,214,0
Dominican Republic,1990,20--64,Under 15,214,0
Dominican Republic,1995,20--64,Under 15,214,0
Dominican Republic,2000,20--64,Under 15,214,0
Dominican Republic,2005,20--64,Under 15,214,0
Dominican Republic,2010,20--64,Under 15,214,0
Dominican Republic,2015,20--64,Under 15,214,0
Ecuador,1970,20--64,Under 15,218,0
Ecuador,1975,20--64,Under 15,218,0
Ecuador,1980,20--64,Under 15,218,0
Ecuador,1985,20--64,Under 15,218,0
Ecuador,1990,20--64,Under 15,218,0
Ecuador,1995,20--64,Under 15,218,0
Ecuador,2000,20--64,Under 15,218,0
Ecuador,2005,20--64,Under 15,218,0
Ecuador,2010,20--64,Under 15,218,0
Ecuador,2015,20--64,Under 15,218,0
Egypt,1970,20--64,Under 15,818,0
Egypt,1975,20--64,Under 15,818,0
Egypt,1980,20--64,Under 15,818,0
Egypt,1985,20--64,Under 15,818,0
Egypt,1990,20--64,Under 15,818,0
Egypt,1995,20--64,Under 15,818,0
Egypt,2000,20--64,Under 15,818,0
Egypt,2005,20--64,Under 15,818,0
Egypt,2010,20--64,Under 15,818,0
Egypt,2015,20--64,Under 15,818,0
El Salvador,1970,20--64,Under 15,222,0
El Salvador,1975,20--64,Under 15,222,0
El Salvador,1980,20--64,Under 15,222,0
El Salvador,1985,20--64,Under 15,222,0
El Salvador,1990,20--64,Under 15,222,0
El Salvador,1995,20--64,Under 15,222,0
El Salvador,2000,20--64,Under 15,222,0
El Salvador,2005,20--64,Under 15,222,0
El Salvador,2010,20--64,Under 15,222,0
El Salvador,2015,20--64,Under 15,222,0
Equatorial Guinea,1970,20--64,Under 15,226,0
Equatorial Guinea,1975,20--64,Under 15,226,0
Equatorial Guinea,1980,20--64,Under 15,226,0
Equatorial Guinea,1985,20--64,Under 15,226,0
Equatorial Guinea,1990,20--64,Under 15,226,0
Equatorial Guinea,1995,20--64,Under 15,226,0
Equatorial Guinea,2000,20--64,Under 15,226,0
Equatorial Guinea,2005,20--64,Under 15,226,0
Equatorial Guinea,2010,20--64,Under 15,226,0
Equatorial Guinea,2015,20--64,Under 15,226,0
Eritrea,2015,20--64,Under 15,232,0
Estonia,1970,20--64,Under 15,233,0
Estonia,1975,20--64,Under 15,233,0
Estonia,1980,20--64,Under 15,233,0
Estonia,1985,20--64,Under 15,233,0
Estonia,1990,20--64,Under 15,233,0
Estonia,1995,20--64,Under 15,233,0
Estonia,2000,20--64,Under 15,233,0
Estonia,2005,20--64,Under 15,233,0
Estonia,2010,20--64,Under 15,233,0
Estonia,2015,20--64,Under 15,233,0
Ethiopia,1970,20--64,Under 15,231,0
Ethiopia,1975,20--64,Under 15,231,0
Ethiopia,1980,20--64,Under 15,231,0
Ethiopia,1985,20--64,Under 15,231,0
Ethiopia,1990,20--64,Under 15,231,0
Ethiopia,1995,20--64,Under 15,231,0
Ethiopia,2000,20--64,Under 15,231,0
Ethiopia,2005,20--64,Under 15,231,0
Ethiopia,2010,20--64,Under 15,231,0
Ethiopia,2015,20--64,Under 15,231,0
Fiji,1970,20--64,Under 15,242,0
Fiji,1975,20--64,Under 15,242,0
Fiji,1980,20--64,Under 15,242,0
Fiji,1985,20--64,Under 15,242,0
Fiji,1990,20--64,Under 15,242,0
Fiji,1995,20--64,Under 15,242,0
Fiji,2000,20--64,Under 15,242,0
Fiji,2005,20--64,Under 15,242,0
Fiji,2010,20--64,Under 15,242,0
Fiji,2015,20--64,Under 15,242,0
Finland,1970,20--64,Under 15,246,0
Finland,1975,20--64,Under 15,246,0
Finland,1980,20--64,Under 15,246,0
Finland,1985,20--64,Under 15,246,0
Finland,1990,20--64,Under 15,246,0
Finland,1995,20--64,Under 15,246,0
Finland,2000,20--64,Under 15,246,0
Finland,2005,20--64,Under 15,246,0
Finland,2010,20--64,Under 15,246,0
Finland,2015,20--64,Under 15,246,0
France,1970,20--64,Under 15,250,0
France,1975,20--64,Under 15,250,0
France,1980,20--64,Under 15,250,0
France,1985,20--64,Under 15,250,0
France,1990,20--64,Under 15,250,0
France,1995,20--64,Under 15,250,0
France,2000,20--64,Under 15,250,0
France,2005,20--64,Under 15,250,0
France,2010,20--64,Under 15,250,0
France,2015,20--64,Under 15,250,0
French Guiana,1970,20--64,Under 15,254,0
French Guiana,1975,20--64,Under 15,254,0
French Guiana,1980,20--64,Under 15,254,0
French Guiana,1985,20--64,Under 15,254,0
French Guiana,1990,20--64,Under 15,254,0
French Guiana,1995,20--64,Under 15,254,0
French Guiana,2000,20--64,Under 15,254,0
French Guiana,2005,20--64,Under 15,254,0
French Guiana,2010,20--64,Under 15,254,0
French Guiana,2015,20--64,Under 15,254,0
French Polynesia,1970,20--64,Under 15,258,0
French Polynesia,1975,20--64,Under 15,258,0
French Polynesia,1980,20--64,Under 15,258,0
French Polynesia,1985,20--64,Under 15,258,0
French Polynesia,1990,20--64,Under 15,258,0
French Polynesia,1995,20--64,Under 15,258,0
French Polynesia,2000,20--64,Under 15,258,0
French Polynesia,2005,20--64,Under 15,258,0
French Polynesia,2010,20--64,Under 15,258,0
French Polynesia,2015,20--64,Under 15,258,0
Gabon,1970,20--64,Under 15,266,0
Gabon,1975,20--64,Under 15,266,0
Gabon,1980,20--64,Under 15,266,0
Gabon,1985,20--64,Under 15,266,0
Gabon,1990,20--64,Under 15,266,0
Gabon,1995,20--64,Under 15,266,0
Gabon,2000,20--64,Under 15,266,0
Gabon,2005,20--64,Under 15,266,0
Gabon,2010,20--64,Under 15,266,0
Gabon,2015,20--64,Under 15,266,0
Gambia,1970,20--64,Under 15,270,0
Gambia,1975,20--64,Under 15,270,0
Gambia,1980,20--64,Under 15,270,0
Gambia,1985,20--64,Under 15,270,0
Gambia,1990,20--64,Under 15,270,0
Gambia,1995,20--64,Under 15,270,0
Gambia,2000,20--64,Under 15,270,0
Gambia,2005,20--64,Under 15,270,0
Gambia,2010,20--64,Under 15,270,0
Gambia,2015,20--64,Under 15,270,0
Georgia,1970,20--64,Under 15,268,0
Georgia,1975,20--64,Under 15,268,0
Georgia,1980,20--64,Under 15,268,0
Georgia,1985,20--64,Under 15,268,0
Georgia,1990,20--64,Under 15,268,0
Georgia,1995,20--64,Under 15,268,0
Georgia,2000,20--64,Under 15,268,0
Georgia,2005,20--64,Under 15,268,0
Georgia,2010,20--64,Under 15,268,0
Georgia,2015,20--64,Under 15,268,0
Germany,1970,20--64,Under 15,276,0
Germany,1975,20--64,Under 15,276,0
Germany,1980,20--64,Under 15,276,0
Germany,1985,20--64,Under 15,276,0
Germany,1990,20--64,Under 15,276,0
Germany,1995,20--64,Under 15,276,0
Germany,2000,20--64,Under 15,276,0
Germany,2005,20--64,Under 15,276,0
Germany,2010,20--64,Under 15,276,0
Germany,2015,20--64,Under 15,276,0
Ghana,1970,20--64,Under 15,288,0
Ghana,1975,20--64,Under 15,288,0
Ghana,1980,20--64,Under 15,288,0
Ghana,1985,20--64,Under 15,288,0
Ghana,1990,20--64,Under 15,288,0
Ghana,1995,20--64,Under 15,288,0
Ghana,2000,20--64,Under 15,288,0
