Area,Year,Age,ISOCode,Population
Azerbaijan,1980,0--19,31,2952.6
Azerbaijan,1985,0--19,31,2887.8
Azerbaijan,1990,0--19,31,3106.1
Azerbaijan,1995,0--19,31,3301.5
Azerbaijan,2000,0--19,31,3333
Azerbaijan,2005,0--19,31,3184.8
Azerbaijan,2010,0--19,31,2974.8
Azerbaijan,2015,0--19,31,2922.9
Bahamas,1970,0--19,44,87.7
Bahamas,1975,0--19,44,95.6
Bahamas,1980,0--19,44,104.4
Bahamas,1985,0--19,44,107.6
Bahamas,1990,0--19,44,110.1
Bahamas,1995,0--19,44,113.4
Bahamas,2000,0--19,44,115.2
Bahamas,2005,0--19,44,114.5
Bahamas,2010,0--19,44,113.9
Bahamas,2015,0--19,44,110.6
Bahrain,1970,0--19,48,117.5
Bahrain,1975,0--19,48,137.6
Bahrain,1980,0--19,48,160.1
Bahrain,1985,0--19,48,170.9
Bahrain,1990,0--19,48,199.5
Bahrain,1995,0--19,48,212
Bahrain,2000,0--19,48,249.4
Bahrain,2005,0--19,48,288.7
Bahrain,2010,0--19,48,326.1
Bahrain,2015,0--19,48,360.5
Bangladesh,1970,0--19,50,35189
Bangladesh,1975,0--19,50,38774.6
Bangladesh,1980,0--19,50,45492.7
Bangladesh,1985,0--19,50,51318.9
Bangladesh,1990,0--19,50,56388.1
Bangladesh,1995,0--19,50,60524.2
Bangladesh,2000,0--19,50,63393.4
Bangladesh,2005,0--19,50,64851.6
Bangladesh,2010,0--19,50,64522.3
Bangladesh,2015,0--19,50,63536.9
Barbados,1970,0--19,52,114.8
Barbados,1975,0--19,52,105.7
Barbados,1980,0--19,52,103.4
Barbados,1985,0--19,52,94.4
Barbados,1990,0--19,52,88
Barbados,1995,0--19,52,80.9
Barbados,2000,0--19,52,79.4
Barbados,2005,0--19,52,76.1
Barbados,2010,0--19,52,74.8
Barbados,2015,0--19,52,73.5
Belarus,1970,0--19,112,3339
Belarus,1975,0--19,112,3255.7
Belarus,1980,0--19,112,3046.7
Belarus,1985,0--19,112,3005
Belarus,1990,0--19,112,3069.7
Belarus,1995,0--19,112,2935.7
Belarus,2000,0--19,112,2640.6
Belarus,2005,0--19,112,2264
Belarus,2010,0--19,112,2013.3
Belarus,2015,0--19,112,1992.3
Belgium,1970,0--19,56,2991.4
Belgium,1975,0--19,56,2961.8
Belgium,1980,0--19,56,2788.6
Belgium,1985,0--19,56,2571.3
Belgium,1990,0--19,56,2444.4
Belgium,1995,0--19,56,2431.4
Belgium,2000,0--19,56,2415.8
Belgium,2005,0--19,56,2436.5
Belgium,2010,0--19,56,2499.7
Belgium,2015,0--19,56,2550
Belize,1970,0--19,84,70.8
Belize,1975,0--19,84,79.6
Belize,1980,0--19,84,85
Belize,1985,0--19,84,93.3
Belize,1990,0--19,84,102.5
Belize,1995,0--19,84,110.4
Belize,2000,0--19,84,128
Belize,2005,0--19,84,140.3
Belize,2010,0--19,84,149.3
Belize,2015,0--19,84,155
Benin,1970,0--19,204,1508.7
Benin,1975,0--19,204,1745.2
Benin,1980,0--19,204,2038.7
Benin,1985,0--19,204,2385.2
Benin,1990,0--19,204,2798.9
Benin,1995,0--19,204,3302.4
Benin,2000,0--19,204,3828
Benin,2005,0--19,204,4414.7
Benin,2010,0--19,204,5052.2
Benin,2015,0--19,204,5685.5
Bhutan,1970,0--19,64,154.7
Bhutan,1975,0--19,64,185.7
Bhutan,1980,0--19,64,218.1
Bhutan,1985,0--19,64,250.9
Bhutan,1990,0--19,64,290.3
Bhutan,1995,0--19,64,284.2
Bhutan,2000,0--19,64,302.3
Bhutan,2005,0--19,64,306.1
Bhutan,2010,0--19,64,302.1
Bhutan,2015,0--19,64,292
Bolivia (Plurinational State of),1970,0--19,68,2402.7
Bolivia (Plurinational State of),1975,0--19,68,2652.4
Bolivia (Plurinational State of),1980,0--19,68,2950.4
Bolivia (Plurinational State of),1985,0--19,68,3259.2
Bolivia (Plurinational State of),1990,0--19,68,3550.9
Bolivia (Plurinational State of),1995,0--19,68,3835.4
Bolivia (Plurinational State of),2000,0--19,68,4090.2
Bolivia (Plurinational State of),2005,0--19,68,4292.8
Bolivia (Plurinational State of),2010,0--19,68,4453.6
Bolivia (Plurinational State of),2015,0--19,68,4561.4
Bosnia and Herzegovina,1970,0--19,70,1717.9
Bosnia and Herzegovina,1975,0--19,70,1704.2
Bosnia and Herzegovina,1980,0--19,70,1642.9
Bosnia and Herzegovina,1985,0--19,70,1563.4
Bosnia and Herzegovina,1990,0--19,70,1468.1
Bosnia and Herzegovina,1995,0--19,70,1137.8
Bosnia and Herzegovina,2000,0--19,70,1086.4
Bosnia and Herzegovina,2005,0--19,70,955.3
Bosnia and Herzegovina,2010,0--19,70,814.1
Bosnia and Herzegovina,2015,0--19,70,745.4
Botswana,1970,0--19,72,413.5
Botswana,1975,0--19,72,483
Botswana,1980,0--19,72,573.8
Botswana,1985,0--19,72,676.2
Botswana,1990,0--19,72,761.4
Botswana,1995,0--19,72,827.6
Botswana,2000,0--19,72,861
Botswana,2005,0--19,72,872.2
Botswana,2010,0--19,72,884.2
Botswana,2015,0--19,72,917.1
Brazil,1970,0--19,76,50475.8
Brazil,1975,0--19,76,55285.2
Brazil,1980,0--19,76,60310.5
Brazil,1985,0--19,76,64547.6
Brazil,1990,0--19,76,68087.9
Brazil,1995,0--19,76,70462.5
Brazil,2000,0--19,76,71045
Brazil,2005,0--19,76,68944.5
Brazil,2010,0--19,76,65770.9
Brazil,2015,0--19,76,63750.1
Brunei Darussalam,1970,0--19,96,69
Brunei Darussalam,1975,0--19,96,82.1
Brunei Darussalam,1980,0--19,96,95.9
Brunei Darussalam,1985,0--19,96,107.1
Brunei Darussalam,1990,0--19,96,113.1
Brunei Darussalam,1995,0--19,96,125.5
Brunei Darussalam,2000,0--19,96,130.6
Brunei Darussalam,2005,0--19,96,133.4
Brunei Darussalam,2010,0--19,96,135.9
Brunei Darussalam,2015,0--19,96,134.5
Bulgaria,1970,0--19,100,2625
Bulgaria,1975,0--19,100,2594.4
Bulgaria,1980,0--19,100,2588.7
Bulgaria,1985,0--19,100,2558.7
Bulgaria,1990,0--19,100,2439.6
Bulgaria,1995,0--19,100,2114.3
Bulgaria,2000,0--19,100,1796.9
Bulgaria,2005,0--19,100,1545.7
Bulgaria,2010,0--19,100,1368
Bulgaria,2015,0--19,100,1310.4
Burkina Faso,1970,0--19,854,3012
Burkina Faso,1975,0--19,854,3366.9
Burkina Faso,1980,0--19,854,3827.3
Burkina Faso,1985,0--19,854,4426.2
Burkina Faso,1990,0--19,854,5099.9
Burkina Faso,1995,0--19,854,5868.3
Burkina Faso,2000,0--19,854,6726.9
Burkina Faso,2005,0--19,854,7710.4
Burkina Faso,2010,0--19,854,8902.9
Burkina Faso,2015,0--19,854,10222.1
Burundi,1970,0--19,108,1934.1
Burundi,1975,0--19,108,2067.3
Burundi,1980,0--19,108,2269.2
Burundi,1985,0--19,108,2612.5
Burundi,1990,0--19,108,3083
Burundi,1995,0--19,108,3587.4
Burundi,2000,0--19,108,3945.4
Burundi,2005,0--19,108,4362.1
Burundi,2010,0--19,108,4921.6
Burundi,2015,0--19,108,5608.1
Cambodia,1970,0--19,116,3978.9
Cambodia,1975,0--19,116,4163.5
Cambodia,1980,0--19,116,3482.2
Cambodia,1985,0--19,116,4111.4
Cambodia,1990,0--19,116,4873.9
Cambodia,1995,0--19,116,5778.1
Cambodia,2000,0--19,116,6684.2
Cambodia,2005,0--19,116,6523.4
Cambodia,2010,0--19,116,6447.4
Cambodia,2015,0--19,116,6472.7
Cameroon,1970,0--19,120,3396.5
Cameroon,1975,0--19,120,3977
Cameroon,1980,0--19,120,4721.8
Cameroon,1985,0--19,120,5632.4
Cameroon,1990,0--19,120,6655.3
Cameroon,1995,0--19,120,7659.1
Cameroon,2000,0--19,120,8625.2
Cameroon,2005,0--19,120,9702
Cameroon,2010,0--19,120,10847.7
Cameroon,2015,0--19,120,12223
Canada,1970,0--19,124,8544.9
Canada,1975,0--19,124,8410
Canada,1980,0--19,124,7995.3
Canada,1985,0--19,124,7535.8
Canada,1990,0--19,124,7668.5
Canada,1995,0--19,124,7961
Canada,2000,0--19,124,7985.1
Canada,2005,0--19,124,7881.9
Canada,2010,0--19,124,7852.6
Canada,2015,0--19,124,7861.8
Cape Verde,1970,0--19,132,161.3
Cape Verde,1975,0--19,132,162
Cape Verde,1980,0--19,132,175.8
Cape Verde,1985,0--19,132,181.4
Cape Verde,1990,0--19,132,193.7
Cape Verde,1995,0--19,132,216.2
Cape Verde,2000,0--19,132,238.3
Cape Verde,2005,0--19,132,241.2
Cape Verde,2010,0--19,132,229.5
Cape Verde,2015,0--19,132,223.7
Central African Republic,1970,0--19,140,913
Central African Republic,1975,0--19,140,1036.3
Central African Republic,1980,0--19,140,1187.5
Central African Republic,1985,0--19,140,1377.2
Central African Republic,1990,0--19,140,1566.3
Central African Republic,1995,0--19,140,1774
Central African Republic,2000,0--19,140,1986.3
Central African Republic,2005,0--19,140,2188.2
Central African Republic,2010,0--19,140,2370.6
Central African Republic,2015,0--19,140,2503.3
Chad,1970,0--19,148,1927.1
Chad,1975,0--19,148,2195.2
Chad,1980,0--19,148,2474.7
Chad,1985,0--19,148,2862.1
Chad,1990,0--19,148,3428.2
Chad,1995,0--19,148,4099
Chad,2000,0--19,148,4947.9
Chad,2005,0--19,148,6010.6
Chad,2010,0--19,148,7074.5
Chad,2015,0--19,148,8229.3
Channel Islands,1970,0--19,830,33.7
Channel Islands,1975,0--19,830,34.6
Channel Islands,1980,0--19,830,33.5
Channel Islands,1985,0--19,830,31.8
Channel Islands,1990,0--19,830,31.3
Channel Islands,1995,0--19,830,32.1
Channel Islands,2000,0--19,830,33.7
Channel Islands,2005,0--19,830,33.7
Channel Islands,2010,0--19,830,33.5
Channel Islands,2015,0--19,830,32.8
Chile,1970,0--19,152,4670.9
Chile,1975,0--19,152,4907.3
Chile,1980,0--19,152,5006.7
Chile,1985,0--19,152,5084.9
Chile,1990,0--19,152,5199.3
Chile,1995,0--19,152,5335.2
Chile,2000,0--19,152,5404
Chile,2005,0--19,152,5391.5
Chile,2010,0--19,152,5219.3
Chile,2015,0--19,152,5032.2
China,1970,0--19,156,423480.2
China,1975,0--19,156,453128.8
China,1980,0--19,156,460853.1
China,1985,0--19,156,457890.9
China,1990,0--19,156,460480
China,1995,0--19,156,437830.3
China,2000,0--19,156,417525
China,2005,0--19,156,393468.7
China,2010,0--19,156,349409.3
China,2015,0--19,156,327860.5
Colombia,1970,0--19,170,12601.9
Colombia,1975,0--19,170,13608.9
Colombia,1980,0--19,170,14574.2
Colombia,1985,0--19,170,15398.2
Colombia,1990,0--19,170,15968.7
Colombia,1995,0--19,170,16693.8
Colombia,2000,0--19,170,16895.8
Colombia,2005,0--19,170,16759.8
Colombia,2010,0--19,170,16375.3
Colombia,2015,0--19,170,15785.1
Comoros,1970,0--19,174,125.7
Comoros,1975,0--19,174,142.2
Comoros,1980,0--19,174,170.7
Comoros,1985,0--19,174,198.7
Comoros,1990,0--19,174,231.8
Comoros,1995,0--19,174,267.7
Comoros,2000,0--19,174,300.6
Comoros,2005,0--19,174,328.6
Comoros,2010,0--19,174,358.5
Comoros,2015,0--19,174,393.5
Congo,1970,0--19,178,722.9
Congo,1975,0--19,178,857
Congo,1980,0--19,178,1008.3
Congo,1985,0--19,178,1166.1
Congo,1990,0--19,178,1323.5
Congo,1995,0--19,178,1486.3
Congo,2000,0--19,178,1676.3
Congo,2005,0--19,178,1909.9
Congo,2010,0--19,178,2234.8
Congo,2015,0--19,178,2610.6
Costa Rica,1970,0--19,188,992.8
Costa Rica,1975,0--19,188,1082
Costa Rica,1980,0--19,188,1163.9
Costa Rica,1985,0--19,188,1252.7
Costa Rica,1990,0--19,188,1365.6
Costa Rica,1995,0--19,188,1505.7
Costa Rica,2000,0--19,188,1589.1
Costa Rica,2005,0--19,188,1574.1
Costa Rica,2010,0--19,188,1528.7
Costa Rica,2015,0--19,188,1469.6
Cote d'Ivoire,1970,0--19,384,2810.5
Cote d'Ivoire,1975,0--19,384,3566
Cote d'Ivoire,1980,0--19,384,4532
Cote d'Ivoire,1985,0--19,384,5620.5
Cote d'Ivoire,1990,0--19,384,6748.8
Cote d'Ivoire,1995,0--19,384,7901.6
Cote d'Ivoire,2000,0--19,384,8994.3
Cote d'Ivoire,2005,0--19,384,9968.8
Cote d'Ivoire,2010,0--19,384,11075.3
Cote d'Ivoire,2015,0--19,384,12410
Croatia,1970,0--19,191,1424.7
Croatia,1975,0--19,191,1353.1
Croatia,1980,0--19,191,1313.1
Croatia,1985,0--19,191,1302.2
Croatia,1990,0--19,191,1279.2
Croatia,1995,0--19,191,1168.3
Croatia,2000,0--19,191,1069.1
Croatia,2005,0--19,191,971.9
Croatia,2010,0--19,191,905.9
Croatia,2015,0--19,191,869.8
Cuba,1970,0--19,192,4100.8
Cuba,1975,0--19,192,4357.5
Cuba,1980,0--19,192,4288
Cuba,1985,0--19,192,3833.3
Cuba,1990,0--19,192,3544.8
Cuba,1995,0--19,192,3221.6
Cuba,2000,0--19,192,3173.5
Cuba,2005,0--19,192,3041.7
Cuba,2010,0--19,192,2718.3
Cuba,2015,0--19,192,2567.4
Curaçao,1970,0--19,531,72.8
Curaçao,1975,0--19,531,73.3
Curaçao,1980,0--19,531,64
Curaçao,1985,0--19,531,57.4
Curaçao,1990,0--19,531,52.6
Curaçao,1995,0--19,531,49.5
Curaçao,2000,0--19,531,43.3
Curaçao,2005,0--19,531,37.4
Curaçao,2010,0--19,531,40.6
Curaçao,2015,0--19,531,40.3
Cyprus,1970,0--19,196,247.9
Cyprus,1975,0--19,196,239.9
Cyprus,1980,0--19,196,231.8
Cyprus,1985,0--19,196,233.3
Cyprus,1990,0--19,196,252.8
Cyprus,1995,0--19,196,272.8
Cyprus,2000,0--19,196,288.2
Cyprus,2005,0--19,196,283.6
Cyprus,2010,0--19,196,282.6
Cyprus,2015,0--19,196,274.1
Czech Republic,1970,0--19,203,2930.7
Czech Republic,1975,0--19,203,2926.7
Czech Republic,1980,0--19,203,3101.6
Czech Republic,1985,0--19,203,3107.6
Czech Republic,1990,0--19,203,3070.3
Czech Republic,1995,0--19,203,2820.8
Czech Republic,2000,0--19,203,2380.9
Czech Republic,2005,0--19,203,2161.1
Czech Republic,2010,0--19,203,2106.2
Czech Republic,2015,0--19,203,2060
Democratic People's Republic of Korea,1970,0--19,408,6948.7
Democratic People's Republic of Korea,1975,0--19,408,8295.4
Democratic People's Republic of Korea,1980,0--19,408,8097.3
Democratic People's Republic of Korea,1985,0--19,408,8265.4
Democratic People's Republic of Korea,1990,0--19,408,7829.5
Democratic People's Republic of Korea,1995,0--19,408,7453.3
Democratic People's Republic of Korea,2000,0--19,408,7822
Democratic People's Republic of Korea,2005,0--19,408,7819.7
Democratic People's Republic of Korea,2010,0--19,408,7621.3
Democratic People's Republic of Korea,2015,0--19,408,7281.8
Democratic Republic of the Congo,1970,0--19,180,10782.8
Democratic Republic of the Congo,1975,0--19,180,12453.6
Democratic Republic of the Congo,1980,0--19,180,14438.2
Democratic Republic of the Congo,1985,0--19,180,16469.6
Democratic Republic of the Congo,1990,0--19,180,19170.5
Democratic Republic of the Congo,1995,0--19,180,23160.4
Democratic Republic of the Congo,2000,0--19,180,26398.6
Democratic Republic of the Congo,2005,0--19,180,30960.3
Democratic Republic of the Congo,2010,0--19,180,36750.5
Democratic Republic of the Congo,2015,0--19,180,43151.5
Denmark,1970,0--19,208,1521.2
Denmark,1975,0--19,208,1513.3
Denmark,1980,0--19,208,1463.1
Denmark,1985,0--19,208,1333.2
Denmark,1990,0--19,208,1242.4
Denmark,1995,0--19,208,1230.4
Denmark,2000,0--19,208,1265.9
Denmark,2005,0--19,208,1324.1
Denmark,2010,0--19,208,1350.2
Denmark,2015,0--19,208,1318.5
Djibouti,1970,0--19,262,87.5
Djibouti,1975,0--19,262,126.6
Djibouti,1980,0--19,262,208.1
Djibouti,1985,0--19,262,238.6
Djibouti,1990,0--19,262,327.7
Djibouti,1995,0--19,262,342.1
Djibouti,2000,0--19,262,370.2
Djibouti,2005,0--19,262,389.6
Djibouti,2010,0--19,262,390.2
Djibouti,2015,0--19,262,393.9
Dominican Republic,1970,0--19,214,2634.8
Dominican Republic,1975,0--19,214,2929
Dominican Republic,1980,0--19,214,3159.2
Dominican Republic,1985,0--19,214,3367.4
Dominican Republic,1990,0--19,214,3562.3
Dominican Republic,1995,0--19,214,3752.8
Dominican Republic,2000,0--19,214,3895.3
Dominican Republic,2005,0--19,214,4009.1
Dominican Republic,2010,0--19,214,4090.4
Dominican Republic,2015,0--19,214,4128.8
Ecuador,1970,0--19,218,3335.7
Ecuador,1975,0--19,218,3779.4
Ecuador,1980,0--19,218,4203.9
Ecuador,1985,0--19,218,4612
Ecuador,1990,0--19,218,5007.7
Ecuador,1995,0--19,218,5362.1
Ecuador,2000,0--19,218,5669.9
Ecuador,2005,0--19,218,5880.6
Ecuador,2010,0--19,218,6046
Ecuador,2015,0--19,218,6185.3
Egypt,1970,0--19,818,18180.5
Egypt,1975,0--19,818,20243.6
Egypt,1980,0--19,818,22584.6
Egypt,1985,0--19,818,25441.2
Egypt,1990,0--19,818,28817.7
Egypt,1995,0--19,818,31628
Egypt,2000,0--19,818,33244.1
Egypt,2005,0--19,818,34253.2
Egypt,2010,0--19,818,35350.4
Egypt,2015,0--19,818,39212.4
El Salvador,1970,0--19,222,2061.7
El Salvador,1975,0--19,222,2299.9
El Salvador,1980,0--19,222,2494.1
El Salvador,1985,0--19,222,2607.7
El Salvador,1990,0--19,222,2663.8
El Salvador,1995,0--19,222,2703.8
El Salvador,2000,0--19,222,2726.3
El Salvador,2005,0--19,222,2702.6
El Salvador,2010,0--19,222,2618.1
El Salvador,2015,0--19,222,2460.3
Equatorial Guinea,1970,0--19,226,148.2
Equatorial Guinea,1975,0--19,226,126.9
Equatorial Guinea,1980,0--19,226,130.3
Equatorial Guinea,1985,0--19,226,185.2
Equatorial Guinea,1990,0--19,226,215.6
Equatorial Guinea,1995,0--19,226,244.8
Equatorial Guinea,2000,0--19,226,293.9
Equatorial Guinea,2005,0--19,226,368.8
Equatorial Guinea,2010,0--19,226,446.5
Equatorial Guinea,2015,0--19,226,538.9
Eritrea,1970,0--19,232,971.4
Eritrea,1975,0--19,232,1126.9
Eritrea,1980,0--19,232,1300.6
Eritrea,1985,0--19,232,1507.4
Eritrea,1990,0--19,232,1717.7
Eritrea,1995,0--19,232,1802.3
Eritrea,2000,0--19,232,1940.8
Eritrea,2005,0--19,232,2131.6
Eritrea,2010,0--19,232,2299.6
Eritrea,2015,0--19,232,2533
Estonia,1970,0--19,233,400
Estonia,1975,0--19,233,415.2
Estonia,1980,0--19,233,422.5
Estonia,1985,0--19,233,439.5
Estonia,1990,0--19,233,456.1
Estonia,1995,0--19,233,394.4
Estonia,2000,0--19,233,348.3
Estonia,2005,0--19,233,308.2
Estonia,2010,0--19,233,279.1
Estonia,2015,0--19,233,270.4
Ethiopia,1970,0--19,231,15335.9
Ethiopia,1975,0--19,231,17826.3
Ethiopia,1980,0--19,231,19260.2
Ethiopia,1985,0--19,231,22790.9
Ethiopia,1990,0--19,231,27168.4
Ethiopia,1995,0--19,231,32543.3
Ethiopia,2000,0--19,231,38148.8
Ethiopia,2005,0--19,231,43591.2
Ethiopia,2010,0--19,231,48834.1
Ethiopia,2015,0--19,231,53322.5
Fiji,1970,0--19,242,287.8
Fiji,1975,0--19,242,303.9
Fiji,1980,0--19,242,325
Fiji,1985,0--19,242,351.5
Fiji,1990,0--19,242,352.9
Fiji,1995,0--19,242,365.7
Fiji,2000,0--19,242,372.9
Fiji,2005,0--19,242,328.2
Fiji,2010,0--19,242,330.7
Fiji,2015,0--19,242,333
Finland,1970,0--19,246,1561.5
Finland,1975,0--19,246,1437
Finland,1980,0--19,246,1353.6
Finland,1985,0--19,246,1303.7
Finland,1990,0--19,246,1266.9
Finland,1995,0--19,246,1300.8
Finland,2000,0--19,246,1272.9
Finland,2005,0--19,246,1231.3
Finland,2010,0--19,246,1222.9
Finland,2015,0--19,246,1201.4
France,1970,0--19,250,16726.4
France,1975,0--19,250,16835.3
France,1980,0--19,250,16262.3
France,1985,0--19,250,15887.8
France,1990,0--19,250,15538.3
France,1995,0--19,250,15051.4
France,2000,0--19,250,15086.2
France,2005,0--19,250,15216.1
France,2010,0--19,250,15390.3
France,2015,0--19,250,15574.1
French Guiana,1970,0--19,254,22.7
French Guiana,1975,0--19,254,27.2
French Guiana,1980,0--19,254,29.5
French Guiana,1985,0--19,254,36.7
French Guiana,1990,0--19,254,50.3
French Guiana,1995,0--19,254,61.1
French Guiana,2000,0--19,254,72
French Guiana,2005,0--19,254,92
French Guiana,2010,0--19,254,102.7
French Guiana,2015,0--19,254,115.7
French Polynesia,1970,0--19,258,61.4
French Polynesia,1975,0--19,258,70.8
French Polynesia,1980,0--19,258,77.6
French Polynesia,1985,0--19,258,84.6
French Polynesia,1990,0--19,258,91
French Polynesia,1995,0--19,258,93.6
French Polynesia,2000,0--19,258,98.1
French Polynesia,2005,0--19,258,97.6
French Polynesia,2010,0--19,258,92.5
French Polynesia,2015,0--19,258,89.9
Gabon,1970,0--19,266,249.6
Gabon,1975,0--19,266,293
Gabon,1980,0--19,266,348.5
Gabon,1985,0--19,266,414.7
Gabon,1990,0--19,266,487.3
Gabon,1995,0--19,266,561.4
Gabon,2000,0--19,266,630.5
Gabon,2005,0--19,266,695.1
Gabon,2010,0--19,266,770.1
Gabon,2015,0--19,266,872.8
Gambia,1970,0--19,270,221
Gambia,1975,0--19,270,273.2
Gambia,1980,0--19,270,325
Gambia,1985,0--19,270,415.4
Gambia,1990,0--19,270,513.3
Gambia,1995,0--19,270,610.3
Gambia,2000,0--19,270,703.1
Gambia,2005,0--19,270,820.5
Gambia,2010,0--19,270,960.3
Gambia,2015,0--19,270,1116.9
Georgia,1970,0--19,268,1853.3
Georgia,1975,0--19,268,1837
Georgia,1980,0--19,268,1760.1
Georgia,1985,0--19,268,1716.8
Georgia,1990,0--19,268,1757.9
Georgia,1995,0--19,268,1611.3
Georgia,2000,0--19,268,1441.6
Georgia,2005,0--19,268,1265.9
Georgia,2010,0--19,268,1086.4
Georgia,2015,0--19,268,975.5
Germany,1970,0--19,276,23598.5
Germany,1975,0--19,276,22977.1
Germany,1980,0--19,276,21138.4
Germany,1985,0--19,276,18614.6
Germany,1990,0--19,276,17116.7
Germany,1995,0--19,276,17498.8
Germany,2000,0--19,276,17376.7
Germany,2005,0--19,276,16528.5
Germany,2010,0--19,276,15184.8
Germany,2015,0--19,276,14821
Ghana,1970,0--19,288,4755.8
Ghana,1975,0--19,288,5523.8
Ghana,1980,0--19,288,6083.4
Ghana,1985,0--19,288,7090.5
Ghana,1990,0--19,288,8005.8
Ghana,1995,0--19,288,8973.6
Ghana,2000,0--19,288,9967.3
Ghana,2005,0--19,288,11078.3
Ghana,2010,0--19,288,12312.5
Ghana,2015,0--19,288,13578.6
Greece,1970,0--19,300,2907.8
Greece,1975,0--19,300,2947.8
Greece,1980,0--19,300,3000.9
Greece,1985,0--19,300,2980.7
Greece,1990,0--19,300,2780.9
Greece,1995,0--19,300,2652.5
Greece,2000,0--19,300,2454.8
Greece,2005,0--19,300,2332
Greece,2010,0--19,300,2292.4
Greece,2015,0--19,300,2190.7
Grenada,1970,0--19,308,56.4
Grenada,1975,0--19,308,51.8
Grenada,1980,0--19,308,47.2
Grenada,1985,0--19,308,49.9
Grenada,1990,0--19,308,47.5
Grenada,1995,0--19,308,48.6
Grenada,2000,0--19,308,47.5
Grenada,2005,0--19,308,44.1
Grenada,2010,0--19,308,39.9
Grenada,2015,0--19,308,38.1
Guadeloupe,1970,0--19,312,172.7
Guadeloupe,1975,0--19,312,174.1
Guadeloupe,1980,0--19,312,152.9
