Area,Year,Age,Population
Bangladesh,2005,0--19,64851.6
Bangladesh,2010,0--19,64522.3
Bangladesh,2015,0--19,63536.9
Barbados,1970,0--19,114.8
Barbados,1975,0--19,105.7
Barbados,1980,0--19,103.4
Barbados,1985,0--19,94.4
Barbados,1990,0--19,88
Barbados,1995,0--19,80.9
Barbados,2000,0--19,79.4
Barbados,2005,0--19,76.1
Barbados,2010,0--19,74.8
Barbados,2015,0--19,73.5
Belarus,1970,0--19,3339
Belarus,1975,0--19,3255.7
Belarus,1980,0--19,3046.7
Belarus,1985,0--19,3005
Belarus,1990,0--19,3069.7
Belarus,1995,0--19,2935.7
Belarus,2000,0--19,2640.6
Belarus,2005,0--19,2264
Belarus,2010,0--19,2013.3
Belarus,2015,0--19,1992.3
Belgium,1970,0--19,2991.4
Belgium,1975,0--19,2961.8
Belgium,1980,0--19,2788.6
Belgium,1985,0--19,2571.3
Belgium,1990,0--19,2444.4
Belgium,1995,0--19,2431.4
Belgium,2000,0--19,2415.8
Belgium,2005,0--19,2436.5
Belgium,2010,0--19,2499.7
Belgium,2015,0--19,2550
Belize,1970,0--19,70.8
Belize,1975,0--19,79.6
Belize,1980,0--19,85
Belize,1985,0--19,93.3
Belize,1990,0--19,102.5
Belize,1995,0--19,110.4
Belize,2000,0--19,128
Belize,2005,0--19,140.3
Belize,2010,0--19,149.3
Belize,2015,0--19,155
Benin,1970,0--19,1508.7
Benin,1975,0--19,1745.2
Benin,1980,0--19,2038.7
Benin,1985,0--19,2385.2
Benin,1990,0--19,2798.9
Benin,1995,0--19,3302.4
Benin,2000,0--19,3828
Benin,2005,0--19,4414.7
Benin,2010,0--19,5052.2
Benin,2015,0--19,5685.5
Bhutan,1970,0--19,154.7
Bhutan,1975,0--19,185.7
Bhutan,1980,0--19,218.1
Bhutan,1985,0--19,250.9
Bhutan,1990,0--19,290.3
Bhutan,1995,0--19,284.2
Bhutan,2000,0--19,302.3
Bhutan,2005,0--19,306.1
Bhutan,2010,0--19,302.1
Bhutan,2015,0--19,292
Bolivia (Plurinational State of),1970,0--19,2402.7
Bolivia (Plurinational State of),1975,0--19,2652.4
Bolivia (Plurinational State of),1980,0--19,2950.4
Bolivia (Plurinational State of),1985,0--19,3259.2
Bolivia (Plurinational State of),1990,0--19,3550.9
Bolivia (Plurinational State of),1995,0--19,3835.4
Bolivia (Plurinational State of),2000,0--19,4090.2
Bolivia (Plurinational State of),2005,0--19,4292.8
Bolivia (Plurinational State of),2010,0--19,4453.6
Bolivia (Plurinational State of),2015,0--19,4561.4
Bosnia and Herzegovina,1970,0--19,1717.9
Bosnia and Herzegovina,1975,0--19,1704.2
Bosnia and Herzegovina,1980,0--19,1642.9
Bosnia and Herzegovina,1985,0--19,1563.4
Bosnia and Herzegovina,1990,0--19,1468.1
Bosnia and Herzegovina,1995,0--19,1137.8
Bosnia and Herzegovina,2000,0--19,1086.4
Bosnia and Herzegovina,2005,0--19,955.3
Bosnia and Herzegovina,2010,0--19,814.1
Bosnia and Herzegovina,2015,0--19,745.4
Botswana,1970,0--19,413.5
Botswana,1975,0--19,483
Botswana,1980,0--19,573.8
Botswana,1985,0--19,676.2
Botswana,1990,0--19,761.4
Botswana,1995,0--19,827.6
Botswana,2000,0--19,861
Botswana,2005,0--19,872.2
Botswana,2010,0--19,884.2
Botswana,2015,0--19,917.1
Brazil,1970,0--19,50475.8
Brazil,1975,0--19,55285.2
Brazil,1980,0--19,60310.5
Brazil,1985,0--19,64547.6
Brazil,1990,0--19,68087.9
Brazil,1995,0--19,70462.5
Brazil,2000,0--19,71045
Brazil,2005,0--19,68944.5
Brazil,2010,0--19,65770.9
Brazil,2015,0--19,63750.1
Brunei Darussalam,1970,0--19,69
Brunei Darussalam,1975,0--19,82.1
Brunei Darussalam,1980,0--19,95.9
Brunei Darussalam,1985,0--19,107.1
Brunei Darussalam,1990,0--19,113.1
Brunei Darussalam,1995,0--19,125.5
Brunei Darussalam,2000,0--19,130.6
Brunei Darussalam,2005,0--19,133.4
Brunei Darussalam,2010,0--19,135.9
Brunei Darussalam,2015,0--19,134.5
Bulgaria,1970,0--19,2625
Bulgaria,1975,0--19,2594.4
Bulgaria,1980,0--19,2588.7
Bulgaria,1985,0--19,2558.7
Bulgaria,1990,0--19,2439.6
Bulgaria,1995,0--19,2114.3
Bulgaria,2000,0--19,1796.9
Bulgaria,2005,0--19,1545.7
Bulgaria,2010,0--19,1368
Bulgaria,2015,0--19,1310.4
Burkina Faso,1970,0--19,3012
Burkina Faso,1975,0--19,3366.9
Burkina Faso,1980,0--19,3827.3
Burkina Faso,1985,0--19,4426.2
Burkina Faso,1990,0--19,5099.9
Burkina Faso,1995,0--19,5868.3
Burkina Faso,2000,0--19,6726.9
Burkina Faso,2005,0--19,7710.4
Burkina Faso,2010,0--19,8902.9
Burkina Faso,2015,0--19,10222.1
Burundi,1970,0--19,1934.1
Burundi,1975,0--19,2067.3
Burundi,1980,0--19,2269.2
Burundi,1985,0--19,2612.5
Burundi,1990,0--19,3083
Burundi,1995,0--19,3587.4
Burundi,2000,0--19,3945.4
Burundi,2005,0--19,4362.1
Burundi,2010,0--19,4921.6
Burundi,2015,0--19,5608.1
Cambodia,1970,0--19,3978.9
Cambodia,1975,0--19,4163.5
Cambodia,1980,0--19,3482.2
Cambodia,1985,0--19,4111.4
Cambodia,1990,0--19,4873.9
Cambodia,1995,0--19,5778.1
Cambodia,2000,0--19,6684.2
Cambodia,2005,0--19,6523.4
Cambodia,2010,0--19,6447.4
Cambodia,2015,0--19,6472.7
Cameroon,1970,0--19,3396.5
Cameroon,1975,0--19,3977
Cameroon,1980,0--19,4721.8
Cameroon,1985,0--19,5632.4
Cameroon,1990,0--19,6655.3
Cameroon,1995,0--19,7659.1
Cameroon,2000,0--19,8625.2
Cameroon,2005,0--19,9702
Cameroon,2010,0--19,10847.7
Cameroon,2015,0--19,12223
Canada,1970,0--19,8544.9
Canada,1975,0--19,8410
Canada,1980,0--19,7995.3
Canada,1985,0--19,7535.8
Canada,1990,0--19,7668.5
Canada,1995,0--19,7961
Canada,2000,0--19,7985.1
Canada,2005,0--19,7881.9
Canada,2010,0--19,7852.6
Canada,2015,0--19,7861.8
Cape Verde,1970,0--19,161.3
Cape Verde,1975,0--19,162
Cape Verde,1980,0--19,175.8
Cape Verde,1985,0--19,181.4
Cape Verde,1990,0--19,193.7
Cape Verde,1995,0--19,216.2
Cape Verde,2000,0--19,238.3
Cape Verde,2005,0--19,241.2
Cape Verde,2010,0--19,229.5
Cape Verde,2015,0--19,223.7
Central African Republic,1970,0--19,913
Central African Republic,1975,0--19,1036.3
Central African Republic,1980,0--19,1187.5
Central African Republic,1985,0--19,1377.2
Central African Republic,1990,0--19,1566.3
Central African Republic,1995,0--19,1774
Central African Republic,2000,0--19,1986.3
Central African Republic,2005,0--19,2188.2
Central African Republic,2010,0--19,2370.6
Central African Republic,2015,0--19,2503.3
Chad,1970,0--19,1927.1
Chad,1975,0--19,2195.2
Chad,1980,0--19,2474.7
Chad,1985,0--19,2862.1
Chad,1990,0--19,3428.2
Chad,1995,0--19,4099
Chad,2000,0--19,4947.9
Chad,2005,0--19,6010.6
Chad,2010,0--19,7074.5
Chad,2015,0--19,8229.3
Channel Islands,1970,0--19,33.7
Channel Islands,1975,0--19,34.6
Channel Islands,1980,0--19,33.5
Channel Islands,1985,0--19,31.8
Channel Islands,1990,0--19,31.3
Channel Islands,1995,0--19,32.1
Channel Islands,2000,0--19,33.7
Channel Islands,2005,0--19,33.7
Channel Islands,2010,0--19,33.5
Channel Islands,2015,0--19,32.8
Chile,1970,0--19,4670.9
Chile,1975,0--19,4907.3
Chile,1980,0--19,5006.7
Chile,1985,0--19,5084.9
Chile,1990,0--19,5199.3
Chile,1995,0--19,5335.2
Chile,2000,0--19,5404
Chile,2005,0--19,5391.5
Chile,2010,0--19,5219.3
Chile,2015,0--19,5032.2
China,1970,0--19,423480.2
China,1975,0--19,453128.8
China,1980,0--19,460853.1
China,1985,0--19,457890.9
China,1990,0--19,460480
China,1995,0--19,437830.3
China,2000,0--19,417525
China,2005,0--19,393468.7
China,2010,0--19,349409.3
China,2015,0--19,327860.5
Colombia,1970,0--19,12601.9
Colombia,1975,0--19,13608.9
Colombia,1980,0--19,14574.2
Colombia,1985,0--19,15398.2
Colombia,1990,0--19,15968.7
Colombia,1995,0--19,16693.8
Colombia,2000,0--19,16895.8
Colombia,2005,0--19,16759.8
Colombia,2010,0--19,16375.3
Colombia,2015,0--19,15785.1
Comoros,1970,0--19,125.7
Comoros,1975,0--19,142.2
Comoros,1980,0--19,170.7
Comoros,1985,0--19,198.7
Comoros,1990,0--19,231.8
Comoros,1995,0--19,267.7
Comoros,2000,0--19,300.6
Comoros,2005,0--19,328.6
Comoros,2010,0--19,358.5
Comoros,2015,0--19,393.5
Congo,1970,0--19,722.9
Congo,1975,0--19,857
Congo,1980,0--19,1008.3
Congo,1985,0--19,1166.1
Congo,1990,0--19,1323.5
Congo,1995,0--19,1486.3
Congo,2000,0--19,1676.3
Congo,2005,0--19,1909.9
Congo,2010,0--19,2234.8
Congo,2015,0--19,2610.6
Costa Rica,1970,0--19,992.8
Costa Rica,1975,0--19,1082
Costa Rica,1980,0--19,1163.9
Costa Rica,1985,0--19,1252.7
Costa Rica,1990,0--19,1365.6
Costa Rica,1995,0--19,1505.7
Costa Rica,2000,0--19,1589.1
Costa Rica,2005,0--19,1574.1
Costa Rica,2010,0--19,1528.7
Costa Rica,2015,0--19,1469.6
Cote d'Ivoire,1970,0--19,2810.5
Cote d'Ivoire,1975,0--19,3566
Cote d'Ivoire,1980,0--19,4532
Cote d'Ivoire,1985,0--19,5620.5
Cote d'Ivoire,1990,0--19,6748.8
Cote d'Ivoire,1995,0--19,7901.6
Cote d'Ivoire,2000,0--19,8994.3
Cote d'Ivoire,2005,0--19,9968.8
Cote d'Ivoire,2010,0--19,11075.3
Cote d'Ivoire,2015,0--19,12410
Croatia,1970,0--19,1424.7
Croatia,1975,0--19,1353.1
Croatia,1980,0--19,1313.1
Croatia,1985,0--19,1302.2
Croatia,1990,0--19,1279.2
Croatia,1995,0--19,1168.3
Croatia,2000,0--19,1069.1
Croatia,2005,0--19,971.9
Croatia,2010,0--19,905.9
Croatia,2015,0--19,869.8
Cuba,1970,0--19,4100.8
Cuba,1975,0--19,4357.5
Cuba,1980,0--19,4288
Cuba,1985,0--19,3833.3
Cuba,1990,0--19,3544.8
Cuba,1995,0--19,3221.6
Cuba,2000,0--19,3173.5
Cuba,2005,0--19,3041.7
Cuba,2010,0--19,2718.3
Cuba,2015,0--19,2567.4
Curaçao,1970,0--19,72.8
Curaçao,1975,0--19,73.3
Curaçao,1980,0--19,64
Curaçao,1985,0--19,57.4
Curaçao,1990,0--19,52.6
Curaçao,1995,0--19,49.5
Curaçao,2000,0--19,43.3
Curaçao,2005,0--19,37.4
Curaçao,2010,0--19,40.6
Curaçao,2015,0--19,40.3
Cyprus,1970,0--19,247.9
Cyprus,1975,0--19,239.9
Cyprus,1980,0--19,231.8
Cyprus,1985,0--19,233.3
Cyprus,1990,0--19,252.8
Cyprus,1995,0--19,272.8
Cyprus,2000,0--19,288.2
Cyprus,2005,0--19,283.6
Cyprus,2010,0--19,282.6
Cyprus,2015,0--19,274.1
Czech Republic,1970,0--19,2930.7
Czech Republic,1975,0--19,2926.7
Czech Republic,1980,0--19,3101.6
Czech Republic,1985,0--19,3107.6
Czech Republic,1990,0--19,3070.3
Czech Republic,1995,0--19,2820.8
Czech Republic,2000,0--19,2380.9
Czech Republic,2005,0--19,2161.1
Czech Republic,2010,0--19,2106.2
Czech Republic,2015,0--19,2060
Democratic People's Republic of Korea,1970,0--19,6948.7
Democratic People's Republic of Korea,1975,0--19,8295.4
Democratic People's Republic of Korea,1980,0--19,8097.3
Democratic People's Republic of Korea,1985,0--19,8265.4
Democratic People's Republic of Korea,1990,0--19,7829.5
Democratic People's Republic of Korea,1995,0--19,7453.3
Democratic People's Republic of Korea,2000,0--19,7822
Democratic People's Republic of Korea,2005,0--19,7819.7
Democratic People's Republic of Korea,2010,0--19,7621.3
Democratic People's Republic of Korea,2015,0--19,7281.8
Democratic Republic of the Congo,1970,0--19,10782.8
Democratic Republic of the Congo,1975,0--19,12453.6
Democratic Republic of the Congo,1980,0--19,14438.2
Democratic Republic of the Congo,1985,0--19,16469.6
Democratic Republic of the Congo,1990,0--19,19170.5
Democratic Republic of the Congo,1995,0--19,23160.4
Democratic Republic of the Congo,2000,0--19,26398.6
Democratic Republic of the Congo,2005,0--19,30960.3
Democratic Republic of the Congo,2010,0--19,36750.5
Democratic Republic of the Congo,2015,0--19,43151.5
Denmark,1970,0--19,1521.2
Denmark,1975,0--19,1513.3
Denmark,1980,0--19,1463.1
Denmark,1985,0--19,1333.2
Denmark,1990,0--19,1242.4
Denmark,1995,0--19,1230.4
Denmark,2000,0--19,1265.9
Denmark,2005,0--19,1324.1
Denmark,2010,0--19,1350.2
Denmark,2015,0--19,1318.5
Djibouti,1970,0--19,87.5
Djibouti,1975,0--19,126.6
Djibouti,1980,0--19,208.1
Djibouti,1985,0--19,238.6
Djibouti,1990,0--19,327.7
Djibouti,1995,0--19,342.1
Djibouti,2000,0--19,370.2
Djibouti,2005,0--19,389.6
Djibouti,2010,0--19,390.2
Djibouti,2015,0--19,393.9
Dominican Republic,1970,0--19,2634.8
Dominican Republic,1975,0--19,2929
Dominican Republic,1980,0--19,3159.2
Dominican Republic,1985,0--19,3367.4
Dominican Republic,1990,0--19,3562.3
Dominican Republic,1995,0--19,3752.8
Dominican Republic,2000,0--19,3895.3
Dominican Republic,2005,0--19,4009.1
Dominican Republic,2010,0--19,4090.4
Dominican Republic,2015,0--19,4128.8
Ecuador,1970,0--19,3335.7
Ecuador,1975,0--19,3779.4
Ecuador,1980,0--19,4203.9
Ecuador,1985,0--19,4612
Ecuador,1990,0--19,5007.7
Ecuador,1995,0--19,5362.1
Ecuador,2000,0--19,5669.9
Ecuador,2005,0--19,5880.6
Ecuador,2010,0--19,6046
Ecuador,2015,0--19,6185.3
Egypt,1970,0--19,18180.5
Egypt,1975,0--19,20243.6
Egypt,1980,0--19,22584.6
Egypt,1985,0--19,25441.2
Egypt,1990,0--19,28817.7
Egypt,1995,0--19,31628
Egypt,2000,0--19,33244.1
Egypt,2005,0--19,34253.2
Egypt,2010,0--19,35350.4
Egypt,2015,0--19,39212.4
El Salvador,1970,0--19,2061.7
El Salvador,1975,0--19,2299.9
El Salvador,1980,0--19,2494.1
El Salvador,1985,0--19,2607.7
El Salvador,1990,0--19,2663.8
El Salvador,1995,0--19,2703.8
El Salvador,2000,0--19,2726.3
El Salvador,2005,0--19,2702.6
El Salvador,2010,0--19,2618.1
El Salvador,2015,0--19,2460.3
Equatorial Guinea,1970,0--19,148.2
Equatorial Guinea,1975,0--19,126.9
Equatorial Guinea,1980,0--19,130.3
Equatorial Guinea,1985,0--19,185.2
Equatorial Guinea,1990,0--19,215.6
Equatorial Guinea,1995,0--19,244.8
Equatorial Guinea,2000,0--19,293.9
Equatorial Guinea,2005,0--19,368.8
Equatorial Guinea,2010,0--19,446.5
Equatorial Guinea,2015,0--19,538.9
Eritrea,1970,0--19,971.4
Eritrea,1975,0--19,1126.9
Eritrea,1980,0--19,1300.6
Eritrea,1985,0--19,1507.4
Eritrea,1990,0--19,1717.7
Eritrea,1995,0--19,1802.3
Eritrea,2000,0--19,1940.8
Eritrea,2005,0--19,2131.6
Eritrea,2010,0--19,2299.6
Eritrea,2015,0--19,2533
Estonia,1970,0--19,400
Estonia,1975,0--19,415.2
Estonia,1980,0--19,422.5
Estonia,1985,0--19,439.5
Estonia,1990,0--19,456.1
Estonia,1995,0--19,394.4
Estonia,2000,0--19,348.3
Estonia,2005,0--19,308.2
Estonia,2010,0--19,279.1
Estonia,2015,0--19,270.4
Ethiopia,1970,0--19,15335.9
Ethiopia,1975,0--19,17826.3
Ethiopia,1980,0--19,19260.2
Ethiopia,1985,0--19,22790.9
Ethiopia,1990,0--19,27168.4
Ethiopia,1995,0--19,32543.3
Ethiopia,2000,0--19,38148.8
Ethiopia,2005,0--19,43591.2
Ethiopia,2010,0--19,48834.1
Ethiopia,2015,0--19,53322.5
Fiji,1970,0--19,287.8
Fiji,1975,0--19,303.9
Fiji,1980,0--19,325
Fiji,1985,0--19,351.5
Fiji,1990,0--19,352.9
Fiji,1995,0--19,365.7
Fiji,2000,0--19,372.9
Fiji,2005,0--19,328.2
Fiji,2010,0--19,330.7
Fiji,2015,0--19,333
Finland,1970,0--19,1561.5
Finland,1975,0--19,1437
Finland,1980,0--19,1353.6
Finland,1985,0--19,1303.7
Finland,1990,0--19,1266.9
Finland,1995,0--19,1300.8
Finland,2000,0--19,1272.9
Finland,2005,0--19,1231.3
Finland,2010,0--19,1222.9
Finland,2015,0--19,1201.4
France,1970,0--19,16726.4
France,1975,0--19,16835.3
France,1980,0--19,16262.3
France,1985,0--19,15887.8
France,1990,0--19,15538.3
France,1995,0--19,15051.4
France,2000,0--19,15086.2
France,2005,0--19,15216.1
France,2010,0--19,15390.3
France,2015,0--19,15574.1
French Guiana,1970,0--19,22.7
French Guiana,1975,0--19,27.2
French Guiana,1980,0--19,29.5
French Guiana,1985,0--19,36.7
French Guiana,1990,0--19,50.3
French Guiana,1995,0--19,61.1
French Guiana,2000,0--19,72
French Guiana,2005,0--19,92
French Guiana,2010,0--19,102.7
French Guiana,2015,0--19,115.7
French Polynesia,1970,0--19,61.4
French Polynesia,1975,0--19,70.8
French Polynesia,1980,0--19,77.6
French Polynesia,1985,0--19,84.6
French Polynesia,1990,0--19,91
French Polynesia,1995,0--19,93.6
French Polynesia,2000,0--19,98.1
French Polynesia,2005,0--19,97.6
French Polynesia,2010,0--19,92.5
French Polynesia,2015,0--19,89.9
Gabon,1970,0--19,249.6
Gabon,1975,0--19,293
Gabon,1980,0--19,348.5
Gabon,1985,0--19,414.7
Gabon,1990,0--19,487.3
Gabon,1995,0--19,561.4
Gabon,2000,0--19,630.5
Gabon,2005,0--19,695.1
Gabon,2010,0--19,770.1
Gabon,2015,0--19,872.8
Gambia,1970,0--19,221
Gambia,1975,0--19,273.2
Gambia,1980,0--19,325
Gambia,1985,0--19,415.4
Gambia,1990,0--19,513.3
Gambia,1995,0--19,610.3
Gambia,2000,0--19,703.1
Gambia,2005,0--19,820.5
Gambia,2010,0--19,960.3
Gambia,2015,0--19,1116.9
Georgia,1970,0--19,1853.3
Georgia,1975,0--19,1837
Georgia,1980,0--19,1760.1
Georgia,1985,0--19,1716.8
Georgia,1990,0--19,1757.9
Georgia,1995,0--19,1611.3
Georgia,2000,0--19,1441.6
Georgia,2005,0--19,1265.9
Georgia,2010,0--19,1086.4
Georgia,2015,0--19,975.5
Germany,1970,0--19,23598.5
Germany,1975,0--19,22977.1
Germany,1980,0--19,21138.4
Germany,1985,0--19,18614.6
Germany,1990,0--19,17116.7
Germany,1995,0--19,17498.8
Germany,2000,0--19,17376.7
Germany,2005,0--19,16528.5
Germany,2010,0--19,15184.8
Germany,2015,0--19,14821
Ghana,1970,0--19,4755.8
Ghana,1975,0--19,5523.8
Ghana,1980,0--19,6083.4
Ghana,1985,0--19,7090.5
Ghana,1990,0--19,8005.8
Ghana,1995,0--19,8973.6
Ghana,2000,0--19,9967.3
Ghana,2005,0--19,11078.3
Ghana,2010,0--19,12312.5
Ghana,2015,0--19,13578.6
Greece,1970,0--19,2907.8
Greece,1975,0--19,2947.8
Greece,1980,0--19,3000.9
Greece,1985,0--19,2980.7
Greece,1990,0--19,2780.9
Greece,1995,0--19,2652.5
Greece,2000,0--19,2454.8
Greece,2005,0--19,2332
Greece,2010,0--19,2292.4
Greece,2015,0--19,2190.7
Grenada,1970,0--19,56.4
Grenada,1975,0--19,51.8
Grenada,1980,0--19,47.2
Grenada,1985,0--19,49.9
Grenada,1990,0--19,47.5
Grenada,1995,0--19,48.6
Grenada,2000,0--19,47.5
Grenada,2005,0--19,44.1
Grenada,2010,0--19,39.9
Grenada,2015,0--19,38.1
Guadeloupe,1970,0--19,172.7
Guadeloupe,1975,0--19,174.1
Guadeloupe,1980,0--19,152.9
Guadeloupe,1985,0--19,150.1
Guadeloupe,1990,0--19,146.3
Guadeloupe,1995,0--19,141.3
Guadeloupe,2000,0--19,135.5
Guadeloupe,2005,0--19,138.3
Guadeloupe,2010,0--19,132.3
Guadeloupe,2015,0--19,121.8
Guam,1970,0--19,40.4
Guam,1975,0--19,43.4
Guam,1980,0--19,46.5
Guam,1985,0--19,48.6
Guam,1990,0--19,50.8
Guam,1995,0--19,56.7
Guam,2000,0--19,59.8
Guam,2005,0--19,60.2
Guam,2010,0--19,58
Guam,2015,0--19,55.3
Guatemala,1970,0--19,3161.2
Guatemala,1975,0--19,3582.1
Guatemala,1980,0--19,4105.2
Guatemala,1985,0--19,4679.2
Guatemala,1990,0--19,5239
Guatemala,1995,0--19,5843.5
Guatemala,2000,0--19,6430
Guatemala,2005,0--19,6977.8
Guatemala,2010,0--19,7422.6
Guatemala,2015,0--19,7715.5
Guinea,1970,0--19,2180.6
Guinea,1975,0--19,2247.4
Guinea,1980,0--19,2337.3
Guinea,1985,0--19,2673.7
Guinea,1990,0--19,3233
Guinea,1995,0--19,4265.7
Guinea,2000,0--19,4803.8
Guinea,2005,0--19,5279.4
Guinea,2010,0--19,5870.5
Guinea,2015,0--19,6447.9
Guinea-Bissau,1970,0--19,361.1
Guinea-Bissau,1975,0--19,393.9
Guinea-Bissau,1980,0--19,429.7
Guinea-Bissau,1985,0--19,498.7
Guinea-Bissau,1990,0--19,570
Guinea-Bissau,1995,0--19,639.6
Guinea-Bissau,2000,0--19,705.5
Guinea-Bissau,2005,0--19,761.8
Guinea-Bissau,2010,0--19,835.6
Guinea-Bissau,2015,0--19,924.5
Guyana,1970,0--19,410.1
Guyana,1975,0--19,418.9
Guyana,1980,0--19,425.6
Guyana,1985,0--19,393
Guyana,1990,0--19,350.1
Guyana,1995,0--19,355.2
Guyana,2000,0--19,339.8
Guyana,2005,0--19,343.5
Guyana,2010,0--19,327.1
Guyana,2015,0--19,313.3
Haiti,1970,0--19,2453.2
Haiti,1975,0--19,2666.1
Haiti,1980,0--19,2950.5
Haiti,1985,0--19,3349.8
Haiti,1990,0--19,3752.2
Haiti,1995,0--19,4147.4
Haiti,2000,0--19,4447.4
Haiti,2005,0--19,4573.4
Haiti,2010,0--19,4673.9
Haiti,2015,0--19,4733.5
Honduras,1970,0--19,1580.2
Honduras,1975,0--19,1834.5
Honduras,1980,0--19,2143.5
Honduras,1985,0--19,2474.5
Honduras,1990,0--19,2803.3
Honduras,1995,0--19,3153.3
Honduras,2000,0--19,3465.9
Honduras,2005,0--19,3720.2
Honduras,2010,0--19,3861.8
Honduras,2015,0--19,3933.5
Hong Kong Special Administrative Region of China,1970,0--19,1848.1
Hong Kong Special Administrative Region of China,1975,0--19,1851.1
Hong Kong Special Administrative Region of China,1980,0--19,1849.5
Hong Kong Special Administrative Region of China,1985,0--19,1707.6
