"iso","cc","above_sec","bach_n_higher","master_n_above"
50,"Bangladesh",0.054,0,0
504,"Morocco",0.097,0,0
508,"Mozambique",0.008,0,0
51,"Armenia",0.268,0,0
512,"Oman",0.204,0,0
516,"Namibia",0.086,0,0
52,"Barbados",0.192,0,0
524,"Nepal",0.043,0,0
528,"Netherlands",0.668,0.308,0.11
531,"Curaçao",0.189,0,0
533,"Aruba",0.264,0,0
540,"New Caledonia",0.288,0,0
548,"Vanuatu",0.043,0,0
554,"New Zealand",0.911,0.247,0.074
558,"Nicaragua",0.117,0,0
56,"Belgium",0.637,0.1,0.091
562,"Niger",0.014,0,0
566,"Nigeria",0.125,0,0
578,"Norway",0.81,0.278,0.1
583,"Micronesia (Federated States of)",0.117,0,0
586,"Pakistan",0.067,0,0
591,"Panama",0.464,0.218,0.033
598,"Papua New Guinea",0.07,0,0
600,"Paraguay",0.147,0,0
604,"Peru",0.258,0,0
608,"Philippines",0.19,0,0
616,"Poland",0.592,0.262,0.186
620,"Portugal",0.461,0.049,0.023
624,"Guinea-Bissau",0.016,0,0
626,"Timor-Leste",0.104,0,0
630,"Puerto Rico",0.748,0.262,0.064
634,"Qatar",0.178,0,0
638,"Reunion",0.175,0,0
64,"Bhutan",0.082,0,0
642,"Romania",0.497,0.214,0.029
643,"Russian Federation",0.297,0,0
646,"Rwanda",0.025,0,0
662,"Saint Lucia",0.396,0.078,0.02
670,"Saint Vincent and the Grenadines",0.145,0,0
678,"Sao Tome and Principe",0.014,0,0
68,"Bolivia (Plurinational State of)",0.389,0.146,0.016
682,"Saudi Arabia",0.609,0.233,0.011
686,"Senegal",0.04,0,0
688,"Serbia",0.214,0,0
690,"Seychelles",0.181,0,0
694,"Sierra Leone",0.038,0,0
70,"Bosnia and Herzegovina",0.311,0.114,0.015
702,"Singapore",0.602,0,0
703,"Slovakia",0.482,0.222,0.179
704,"Viet Nam",0.089,0,0
705,"Slovenia",0.488,0.137,0.021
706,"Somalia",0.024,0,0
710,"South Africa",0.162,0.047,0.017
716,"Zimbabwe",0.099,0,0
72,"Botswana",0.38,0.073,0.01
724,"Spain",0.709,0.26,0.14
728,"South Sudan",0.027,0,0
729,"Sudan",0.091,0,0
732,"Western Sahara",0.042,0,0
740,"Suriname",0.073,0,0
748,"Swaziland",0.128,0,0
752,"Sweden",0.8,0.252,0.11
756,"Switzerland",0.68,0.234,0.133
76,"Brazil",0.25,0.125,0.007
760,"Syrian Arab Republic",0.282,0.064,0.001
762,"Tajikistan",0.223,0,0
764,"Thailand",0.185,0,0
768,"Togo",0.048,0,0
776,"Tonga",0.151,0,0
780,"Trinidad and Tobago",0.262,0,0
784,"United Arab Emirates",0.23,0,0
788,"Tunisia",0.15,0,0
792,"Turkey",0.193,0,0
795,"Turkmenistan",0.143,0,0
8,"Albania",0.158,0,0
800,"Uganda",0.04,0,0
804,"Ukraine",0.205,0,0
807,"The former Yugoslav Republic of Macedonia",0.133,0,0
818,"Egypt",0.472,0.182,0.003
826,"United Kingdom of Great Britain and Northern Ireland",0.768,0.232,0.079
830,"Channel Islands",0.382,0,0
834,"United Republic of Tanzania",0.037,0,0
84,"Belize",0.332,0.061,0.014
840,"United States of America",0.758,0.295,0.096
850,"United States Virgin Islands",0.187,0,0
854,"Burkina Faso",0.017,0,0
858,"Uruguay",0.251,0.079,0.009
860,"Uzbekistan",0.212,0,0
862,"Venezuela (Bolivarian Republic of)",0.228,0,0
882,"Samoa",0.161,0,0
887,"Yemen",0.004,0,0
894,"Zambia",0.121,0,0
90,"Solomon Islands",0.07,0,0
900,"World",0.172,0,0
96,"Brunei Darussalam",0.1,0,0
