Area,Year,Age,Education,ISOCode,Distribution
Sudan,2015,15+,Under 15,729,0
Suriname,2015,15+,Under 15,740,0
Swaziland,2015,15+,Under 15,748,0
Sweden,2015,15+,Under 15,752,0
Switzerland,2015,15+,Under 15,756,0
Syrian Arab Republic,2015,15+,Under 15,760,0
Taiwan Province of China,2015,15+,Under 15,158,0
Tajikistan,2015,15+,Under 15,762,0
Thailand,2015,15+,Under 15,764,0
The former Yugoslav Republic of Macedonia,2015,15+,Under 15,807,0
Timor-Leste,2015,15+,Under 15,626,0
Togo,2015,15+,Under 15,768,0
Tonga,2015,15+,Under 15,776,0
Trinidad and Tobago,2015,15+,Under 15,780,0
Tunisia,2015,15+,Under 15,788,0
Turkey,2015,15+,Under 15,792,0
Turkmenistan,2015,15+,Under 15,795,0
Uganda,2015,15+,Under 15,800,0
Ukraine,2015,15+,Under 15,804,0
United Arab Emirates,2015,15+,Under 15,784,0
United Kingdom of Great Britain and Northern Ireland,2015,15+,Under 15,826,0
United Republic of Tanzania,2015,15+,Under 15,834,0
United States of America,2015,15+,Under 15,840,0
United States Virgin Islands,2015,15+,Under 15,850,0
Uruguay,2015,15+,Under 15,858,0
Uzbekistan,2015,15+,Under 15,860,0
Vanuatu,2015,15+,Under 15,548,0
Venezuela (Bolivarian Republic of),2015,15+,Under 15,862,0
Viet Nam,2015,15+,Under 15,704,0
Western Sahara,2015,15+,Under 15,732,0
World,2015,15+,Under 15,900,0
Yemen,2015,15+,Under 15,887,0
Zambia,2015,15+,Under 15,894,0
Zimbabwe,2015,15+,Under 15,716,0
Afghanistan,2015,25+,Under 15,4,0
Albania,2015,25+,Under 15,8,0
Algeria,2015,25+,Under 15,12,0
Angola,2015,25+,Under 15,24,0
Antigua and Barbuda,2015,25+,Under 15,28,0
Argentina,2015,25+,Under 15,32,0
Armenia,2015,25+,Under 15,51,0
Aruba,2015,25+,Under 15,533,0
Australia,2015,25+,Under 15,36,0
Austria,2015,25+,Under 15,40,0
Azerbaijan,2015,25+,Under 15,31,0
Bahamas,2015,25+,Under 15,44,0
Bahrain,2015,25+,Under 15,48,0
Bangladesh,2015,25+,Under 15,50,0
Barbados,2015,25+,Under 15,52,0
Belarus,2015,25+,Under 15,112,0
Belgium,2015,25+,Under 15,56,0
Belize,2015,25+,Under 15,84,0
Benin,2015,25+,Under 15,204,0
Bhutan,2015,25+,Under 15,64,0
Bolivia (Plurinational State of),2015,25+,Under 15,68,0
Bosnia and Herzegovina,2015,25+,Under 15,70,0
Botswana,2015,25+,Under 15,72,0
Brazil,2015,25+,Under 15,76,0
Brunei Darussalam,2015,25+,Under 15,96,0
Bulgaria,2015,25+,Under 15,100,0
Burkina Faso,2015,25+,Under 15,854,0
Burundi,2015,25+,Under 15,108,0
Cambodia,2015,25+,Under 15,116,0
Cameroon,2015,25+,Under 15,120,0
Canada,2015,25+,Under 15,124,0
Cape Verde,2015,25+,Under 15,132,0
Central African Republic,2015,25+,Under 15,140,0
Chad,2015,25+,Under 15,148,0
Channel Islands,2015,25+,Under 15,830,0
Chile,2015,25+,Under 15,152,0
China,2015,25+,Under 15,156,0
Colombia,2015,25+,Under 15,170,0
Comoros,2015,25+,Under 15,174,0
Congo,2015,25+,Under 15,178,0
Costa Rica,2015,25+,Under 15,188,0
Cote d'Ivoire,2015,25+,Under 15,384,0
Croatia,2015,25+,Under 15,191,0
Cuba,2015,25+,Under 15,192,0
Curaçao,2015,25+,Under 15,531,0
Cyprus,2015,25+,Under 15,196,0
Czech Republic,2015,25+,Under 15,203,0
Democratic People's Republic of Korea,2015,25+,Under 15,408,0
Democratic Republic of the Congo,2015,25+,Under 15,180,0
Denmark,2015,25+,Under 15,208,0
Djibouti,2015,25+,Under 15,262,0
Dominican Republic,2015,25+,Under 15,214,0
Ecuador,2015,25+,Under 15,218,0
Egypt,2015,25+,Under 15,818,0
El Salvador,2015,25+,Under 15,222,0
Equatorial Guinea,2015,25+,Under 15,226,0
Eritrea,2015,25+,Under 15,232,0
Estonia,2015,25+,Under 15,233,0
Ethiopia,2015,25+,Under 15,231,0
Fiji,2015,25+,Under 15,242,0
Finland,2015,25+,Under 15,246,0
France,2015,25+,Under 15,250,0
French Guiana,2015,25+,Under 15,254,0
French Polynesia,2015,25+,Under 15,258,0
Gabon,2015,25+,Under 15,266,0
Gambia,2015,25+,Under 15,270,0
Georgia,2015,25+,Under 15,268,0
Germany,2015,25+,Under 15,276,0
Ghana,2015,25+,Under 15,288,0
Greece,2015,25+,Under 15,300,0
Grenada,2015,25+,Under 15,308,0
Guadeloupe,2015,25+,Under 15,312,0
Guam,2015,25+,Under 15,316,0
Guatemala,2015,25+,Under 15,320,0
Guinea,2015,25+,Under 15,324,0
Guinea-Bissau,2015,25+,Under 15,624,0
Guyana,2015,25+,Under 15,328,0
Haiti,2015,25+,Under 15,332,0
Honduras,2015,25+,Under 15,340,0
Hong Kong Special Administrative Region of China,2015,25+,Under 15,344,0
Hungary,2015,25+,Under 15,348,0
Iceland,2015,25+,Under 15,352,0
India,2015,25+,Under 15,356,0
Indonesia,2015,25+,Under 15,360,0
Iran (Islamic Republic of),2015,25+,Under 15,364,0
Iraq,2015,25+,Under 15,368,0
Ireland,2015,25+,Under 15,372,0
Israel,2015,25+,Under 15,376,0
Italy,2015,25+,Under 15,380,0
Jamaica,2015,25+,Under 15,388,0
Japan,2015,25+,Under 15,392,0
Jordan,2015,25+,Under 15,400,0
Kazakhstan,2015,25+,Under 15,398,0
Kenya,2015,25+,Under 15,404,0
Kiribati,2015,25+,Under 15,296,0
Kuwait,2015,25+,Under 15,414,0
Kyrgyzstan,2015,25+,Under 15,417,0
Lao People's Democratic Republic,2015,25+,Under 15,418,0
Latvia,2015,25+,Under 15,428,0
Lebanon,2015,25+,Under 15,422,0
Lesotho,2015,25+,Under 15,426,0
Liberia,2015,25+,Under 15,430,0
Libyan Arab Jamahiriya,2015,25+,Under 15,434,0
Lithuania,2015,25+,Under 15,440,0
Luxembourg,2015,25+,Under 15,442,0
Macao Special Administrative Region of China,2015,25+,Under 15,446,0
Madagascar,2015,25+,Under 15,450,0
Malawi,2015,25+,Under 15,454,0
Malaysia,2015,25+,Under 15,458,0
Maldives,2015,25+,Under 15,462,0
Mali,2015,25+,Under 15,466,0
Malta,2015,25+,Under 15,470,0
Martinique,2015,25+,Under 15,474,0
Mauritania,2015,25+,Under 15,478,0
Mauritius,2015,25+,Under 15,480,0
Mayotte,2015,25+,Under 15,175,0
Mexico,2015,25+,Under 15,484,0
Micronesia (Federated States of),2015,25+,Under 15,583,0
Mongolia,2015,25+,Under 15,496,0
Montenegro,2015,25+,Under 15,499,0
Morocco,2015,25+,Under 15,504,0
Mozambique,2015,25+,Under 15,508,0
Myanmar,2015,25+,Under 15,104,0
Namibia,2015,25+,Under 15,516,0
Nepal,2015,25+,Under 15,524,0
Netherlands,2015,25+,Under 15,528,0
New Caledonia,2015,25+,Under 15,540,0
New Zealand,2015,25+,Under 15,554,0
Nicaragua,2015,25+,Under 15,558,0
Niger,2015,25+,Under 15,562,0
Nigeria,2015,25+,Under 15,566,0
Norway,2015,25+,Under 15,578,0
Occupied Palestinian Territory,2015,25+,Under 15,275,0
Oman,2015,25+,Under 15,512,0
Pakistan,2015,25+,Under 15,586,0
Panama,2015,25+,Under 15,591,0
Papua New Guinea,2015,25+,Under 15,598,0
Paraguay,2015,25+,Under 15,600,0
Peru,2015,25+,Under 15,604,0
Philippines,2015,25+,Under 15,608,0
Poland,2015,25+,Under 15,616,0
Portugal,2015,25+,Under 15,620,0
Puerto Rico,2015,25+,Under 15,630,0
Qatar,2015,25+,Under 15,634,0
Republic of Korea,2015,25+,Under 15,410,0
Republic of Moldova,2015,25+,Under 15,498,0
Reunion,2015,25+,Under 15,638,0
Romania,2015,25+,Under 15,642,0
Russian Federation,2015,25+,Under 15,643,0
Rwanda,2015,25+,Under 15,646,0
Saint Lucia,2015,25+,Under 15,662,0
Saint Vincent and the Grenadines,2015,25+,Under 15,670,0
Samoa,2015,25+,Under 15,882,0
Sao Tome and Principe,2015,25+,Under 15,678,0
Saudi Arabia,2015,25+,Under 15,682,0
Senegal,2015,25+,Under 15,686,0
Serbia,2015,25+,Under 15,688,0
Seychelles,2015,25+,Under 15,690,0
Sierra Leone,2015,25+,Under 15,694,0
Singapore,2015,25+,Under 15,702,0
Slovakia,2015,25+,Under 15,703,0
Slovenia,2015,25+,Under 15,705,0
Solomon Islands,2015,25+,Under 15,90,0
Somalia,2015,25+,Under 15,706,0
South Africa,2015,25+,Under 15,710,0
South Sudan,2015,25+,Under 15,728,0
Spain,2015,25+,Under 15,724,0
Sri Lanka,2015,25+,Under 15,144,0
Sudan,2015,25+,Under 15,729,0
Suriname,2015,25+,Under 15,740,0
Swaziland,2015,25+,Under 15,748,0
Sweden,2015,25+,Under 15,752,0
Switzerland,2015,25+,Under 15,756,0
Syrian Arab Republic,2015,25+,Under 15,760,0
Taiwan Province of China,2015,25+,Under 15,158,0
Tajikistan,2015,25+,Under 15,762,0
Thailand,2015,25+,Under 15,764,0
The former Yugoslav Republic of Macedonia,2015,25+,Under 15,807,0
Timor-Leste,2015,25+,Under 15,626,0
Togo,2015,25+,Under 15,768,0
Tonga,2015,25+,Under 15,776,0
Trinidad and Tobago,2015,25+,Under 15,780,0
Tunisia,2015,25+,Under 15,788,0
Turkey,2015,25+,Under 15,792,0
Turkmenistan,2015,25+,Under 15,795,0
Uganda,2015,25+,Under 15,800,0
Ukraine,2015,25+,Under 15,804,0
United Arab Emirates,2015,25+,Under 15,784,0
United Kingdom of Great Britain and Northern Ireland,2015,25+,Under 15,826,0
United Republic of Tanzania,2015,25+,Under 15,834,0
United States of America,2015,25+,Under 15,840,0
United States Virgin Islands,2015,25+,Under 15,850,0
Uruguay,2015,25+,Under 15,858,0
Uzbekistan,2015,25+,Under 15,860,0
Vanuatu,2015,25+,Under 15,548,0
Venezuela (Bolivarian Republic of),2015,25+,Under 15,862,0
Viet Nam,2015,25+,Under 15,704,0
Western Sahara,2015,25+,Under 15,732,0
World,2015,25+,Under 15,900,0
Yemen,2015,25+,Under 15,887,0
Zambia,2015,25+,Under 15,894,0
Zimbabwe,2015,25+,Under 15,716,0
Afghanistan,2015,20--64,Under 15,4,0
Albania,2015,20--64,Under 15,8,0
Algeria,2015,20--64,Under 15,12,0
Angola,2015,20--64,Under 15,24,0
Antigua and Barbuda,2015,20--64,Under 15,28,0
Argentina,2015,20--64,Under 15,32,0
Armenia,2015,20--64,Under 15,51,0
Aruba,2015,20--64,Under 15,533,0
Australia,2015,20--64,Under 15,36,0
Austria,2015,20--64,Under 15,40,0
Azerbaijan,2015,20--64,Under 15,31,0
Bahamas,2015,20--64,Under 15,44,0
Bahrain,2015,20--64,Under 15,48,0
Bangladesh,2015,20--64,Under 15,50,0
Barbados,2015,20--64,Under 15,52,0
Belarus,2015,20--64,Under 15,112,0
Belgium,2015,20--64,Under 15,56,0
Belize,2015,20--64,Under 15,84,0
Benin,2015,20--64,Under 15,204,0
Bhutan,2015,20--64,Under 15,64,0
Bolivia (Plurinational State of),2015,20--64,Under 15,68,0
Bosnia and Herzegovina,2015,20--64,Under 15,70,0
Botswana,2015,20--64,Under 15,72,0
Brazil,2015,20--64,Under 15,76,0
Brunei Darussalam,2015,20--64,Under 15,96,0
Bulgaria,2015,20--64,Under 15,100,0
Burkina Faso,2015,20--64,Under 15,854,0
Burundi,2015,20--64,Under 15,108,0
Cambodia,2015,20--64,Under 15,116,0
Cameroon,2015,20--64,Under 15,120,0
Canada,2015,20--64,Under 15,124,0
Cape Verde,2015,20--64,Under 15,132,0
Central African Republic,2015,20--64,Under 15,140,0
Chad,2015,20--64,Under 15,148,0
Channel Islands,2015,20--64,Under 15,830,0
Chile,2015,20--64,Under 15,152,0
China,2015,20--64,Under 15,156,0
Colombia,2015,20--64,Under 15,170,0
Comoros,2015,20--64,Under 15,174,0
Congo,2015,20--64,Under 15,178,0
Costa Rica,2015,20--64,Under 15,188,0
Cote d'Ivoire,2015,20--64,Under 15,384,0
Croatia,2015,20--64,Under 15,191,0
Cuba,2015,20--64,Under 15,192,0
Curaçao,2015,20--64,Under 15,531,0
Cyprus,2015,20--64,Under 15,196,0
Czech Republic,2015,20--64,Under 15,203,0
Democratic People's Republic of Korea,2015,20--64,Under 15,408,0
Democratic Republic of the Congo,2015,20--64,Under 15,180,0
Denmark,2015,20--64,Under 15,208,0
Djibouti,2015,20--64,Under 15,262,0
Dominican Republic,2015,20--64,Under 15,214,0
Ecuador,2015,20--64,Under 15,218,0
Egypt,2015,20--64,Under 15,818,0
El Salvador,2015,20--64,Under 15,222,0
Equatorial Guinea,2015,20--64,Under 15,226,0
Eritrea,2015,20--64,Under 15,232,0
Estonia,2015,20--64,Under 15,233,0
Ethiopia,2015,20--64,Under 15,231,0
Fiji,2015,20--64,Under 15,242,0
Finland,2015,20--64,Under 15,246,0
France,2015,20--64,Under 15,250,0
French Guiana,2015,20--64,Under 15,254,0
French Polynesia,2015,20--64,Under 15,258,0
Gabon,2015,20--64,Under 15,266,0
Gambia,2015,20--64,Under 15,270,0
Georgia,2015,20--64,Under 15,268,0
Germany,2015,20--64,Under 15,276,0
Ghana,2015,20--64,Under 15,288,0
Greece,2015,20--64,Under 15,300,0
Grenada,2015,20--64,Under 15,308,0
Guadeloupe,2015,20--64,Under 15,312,0
Guam,2015,20--64,Under 15,316,0
Guatemala,2015,20--64,Under 15,320,0
Guinea,2015,20--64,Under 15,324,0
Guinea-Bissau,2015,20--64,Under 15,624,0
Guyana,2015,20--64,Under 15,328,0
Haiti,2015,20--64,Under 15,332,0
Honduras,2015,20--64,Under 15,340,0
Hong Kong Special Administrative Region of China,2015,20--64,Under 15,344,0
Hungary,2015,20--64,Under 15,348,0
Iceland,2015,20--64,Under 15,352,0
India,2015,20--64,Under 15,356,0
Indonesia,2015,20--64,Under 15,360,0
Iran (Islamic Republic of),2015,20--64,Under 15,364,0
Iraq,2015,20--64,Under 15,368,0
Ireland,2015,20--64,Under 15,372,0
Israel,2015,20--64,Under 15,376,0
Italy,2015,20--64,Under 15,380,0
Jamaica,2015,20--64,Under 15,388,0
Japan,2015,20--64,Under 15,392,0
Jordan,2015,20--64,Under 15,400,0
Kazakhstan,2015,20--64,Under 15,398,0
Kenya,2015,20--64,Under 15,404,0
Kiribati,2015,20--64,Under 15,296,0
Kuwait,2015,20--64,Under 15,414,0
Kyrgyzstan,2015,20--64,Under 15,417,0
Lao People's Democratic Republic,2015,20--64,Under 15,418,0
Latvia,2015,20--64,Under 15,428,0
Lebanon,2015,20--64,Under 15,422,0
Lesotho,2015,20--64,Under 15,426,0
Liberia,2015,20--64,Under 15,430,0
Libyan Arab Jamahiriya,2015,20--64,Under 15,434,0
Lithuania,2015,20--64,Under 15,440,0
Luxembourg,2015,20--64,Under 15,442,0
Macao Special Administrative Region of China,2015,20--64,Under 15,446,0
Madagascar,2015,20--64,Under 15,450,0
Malawi,2015,20--64,Under 15,454,0
Malaysia,2015,20--64,Under 15,458,0
Maldives,2015,20--64,Under 15,462,0
Mali,2015,20--64,Under 15,466,0
Malta,2015,20--64,Under 15,470,0
Martinique,2015,20--64,Under 15,474,0
Mauritania,2015,20--64,Under 15,478,0
Mauritius,2015,20--64,Under 15,480,0
Mayotte,2015,20--64,Under 15,175,0
Mexico,2015,20--64,Under 15,484,0
Micronesia (Federated States of),2015,20--64,Under 15,583,0
Mongolia,2015,20--64,Under 15,496,0
Montenegro,2015,20--64,Under 15,499,0
Morocco,2015,20--64,Under 15,504,0
Mozambique,2015,20--64,Under 15,508,0
Myanmar,2015,20--64,Under 15,104,0
Namibia,2015,20--64,Under 15,516,0
Nepal,2015,20--64,Under 15,524,0
Netherlands,2015,20--64,Under 15,528,0
New Caledonia,2015,20--64,Under 15,540,0
New Zealand,2015,20--64,Under 15,554,0
Nicaragua,2015,20--64,Under 15,558,0
Niger,2015,20--64,Under 15,562,0
Nigeria,2015,20--64,Under 15,566,0
Norway,2015,20--64,Under 15,578,0
Occupied Palestinian Territory,2015,20--64,Under 15,275,0
Oman,2015,20--64,Under 15,512,0
Pakistan,2015,20--64,Under 15,586,0
Panama,2015,20--64,Under 15,591,0
Papua New Guinea,2015,20--64,Under 15,598,0
Paraguay,2015,20--64,Under 15,600,0
Peru,2015,20--64,Under 15,604,0
Philippines,2015,20--64,Under 15,608,0
Poland,2015,20--64,Under 15,616,0
Portugal,2015,20--64,Under 15,620,0
Puerto Rico,2015,20--64,Under 15,630,0
Qatar,2015,20--64,Under 15,634,0
Republic of Korea,2015,20--64,Under 15,410,0
Republic of Moldova,2015,20--64,Under 15,498,0
Reunion,2015,20--64,Under 15,638,0
Romania,2015,20--64,Under 15,642,0
Russian Federation,2015,20--64,Under 15,643,0
Rwanda,2015,20--64,Under 15,646,0
Saint Lucia,2015,20--64,Under 15,662,0
Saint Vincent and the Grenadines,2015,20--64,Under 15,670,0
Samoa,2015,20--64,Under 15,882,0
Sao Tome and Principe,2015,20--64,Under 15,678,0
Saudi Arabia,2015,20--64,Under 15,682,0
Senegal,2015,20--64,Under 15,686,0
Serbia,2015,20--64,Under 15,688,0
Seychelles,2015,20--64,Under 15,690,0
Sierra Leone,2015,20--64,Under 15,694,0
Singapore,2015,20--64,Under 15,702,0
Slovakia,2015,20--64,Under 15,703,0
Slovenia,2015,20--64,Under 15,705,0
Solomon Islands,2015,20--64,Under 15,90,0
Somalia,2015,20--64,Under 15,706,0
South Africa,2015,20--64,Under 15,710,0
South Sudan,2015,20--64,Under 15,728,0
Spain,2015,20--64,Under 15,724,0
Sri Lanka,2015,20--64,Under 15,144,0
Sudan,2015,20--64,Under 15,729,0
Suriname,2015,20--64,Under 15,740,0
Swaziland,2015,20--64,Under 15,748,0
Sweden,2015,20--64,Under 15,752,0
Switzerland,2015,20--64,Under 15,756,0
Syrian Arab Republic,2015,20--64,Under 15,760,0
Taiwan Province of China,2015,20--64,Under 15,158,0
Tajikistan,2015,20--64,Under 15,762,0
Thailand,2015,20--64,Under 15,764,0
The former Yugoslav Republic of Macedonia,2015,20--64,Under 15,807,0
Timor-Leste,2015,20--64,Under 15,626,0
Togo,2015,20--64,Under 15,768,0
Tonga,2015,20--64,Under 15,776,0
Trinidad and Tobago,2015,20--64,Under 15,780,0
Tunisia,2015,20--64,Under 15,788,0
Turkey,2015,20--64,Under 15,792,0
Turkmenistan,2015,20--64,Under 15,795,0
Uganda,2015,20--64,Under 15,800,0
Ukraine,2015,20--64,Under 15,804,0
United Arab Emirates,2015,20--64,Under 15,784,0
United Kingdom of Great Britain and Northern Ireland,2015,20--64,Under 15,826,0
United Republic of Tanzania,2015,20--64,Under 15,834,0
United States of America,2015,20--64,Under 15,840,0
United States Virgin Islands,2015,20--64,Under 15,850,0
Uruguay,2015,20--64,Under 15,858,0
Uzbekistan,2015,20--64,Under 15,860,0
Vanuatu,2015,20--64,Under 15,548,0
Venezuela (Bolivarian Republic of),2015,20--64,Under 15,862,0
Viet Nam,2015,20--64,Under 15,704,0
Western Sahara,2015,20--64,Under 15,732,0
World,2015,20--64,Under 15,900,0
Yemen,2015,20--64,Under 15,887,0
Zambia,2015,20--64,Under 15,894,0
Zimbabwe,2015,20--64,Under 15,716,0
Afghanistan,2015,15+,No Education,4,62.3
Albania,2015,15+,No Education,8,2.8
Algeria,2015,15+,No Education,12,16.4
Angola,2015,15+,No Education,24,44.2
Antigua and Barbuda,2015,15+,No Education,28,3.2
Argentina,2015,15+,No Education,32,1.5
Armenia,2015,15+,No Education,51,0.5
Aruba,2015,15+,No Education,533,6.3
Australia,2015,15+,No Education,36,0.7
Austria,2015,15+,No Education,40,0
Azerbaijan,2015,15+,No Education,31,0.2
Bahamas,2015,15+,No Education,44,1.5
Bahrain,2015,15+,No Education,48,4
Bangladesh,2015,15+,No Education,50,31.9
Barbados,2015,15+,No Education,52,4.5
Belarus,2015,15+,No Education,112,0.3
Belgium,2015,15+,No Education,56,2.3
Belize,2015,15+,No Education,84,3.9
Benin,2015,15+,No Education,204,43.5
Bhutan,2015,15+,No Education,64,43.5
Bolivia (Plurinational State of),2015,15+,No Education,68,5
Bosnia and Herzegovina,2015,15+,No Education,70,6.4
Botswana,2015,15+,No Education,72,9.5
Brazil,2015,15+,No Education,76,7.6
Brunei Darussalam,2015,15+,No Education,96,5.6
Bulgaria,2015,15+,No Education,100,1
Burkina Faso,2015,15+,No Education,854,67.1
Burundi,2015,15+,No Education,108,36.6
Cambodia,2015,15+,No Education,116,21.9
Cameroon,2015,15+,No Education,120,21.9
Canada,2015,15+,No Education,124,0.3
