"cc","year","iso","age","highLS"
"Bulgaria",2015,100,"20--64",79.8
"Bulgaria",2015,100,"25+",74.5
"Burkina Faso",2015,854,"15+",5.80000000000001
"Burkina Faso",2015,854,"20--64",6.5
"Burkina Faso",2015,854,"25+",5.7
"Burundi",2015,108,"15+",4.7
"Burundi",2015,108,"20--64",5.5
"Burundi",2015,108,"25+",4.80000000000001
"Cambodia",2015,116,"15+",11.1
"Cambodia",2015,116,"20--64",11.8
"Cambodia",2015,116,"25+",9.40000000000001
"Cameroon",2015,120,"15+",17.9
"Cameroon",2015,120,"20--64",20.8
"Cameroon",2015,120,"25+",17.1
"Canada",2015,124,"15+",81.6
"Canada",2015,124,"20--64",88.6
"Canada",2015,124,"25+",85.2
"Cape Verde",2015,132,"15+",12.3
"Cape Verde",2015,132,"20--64",13
"Cape Verde",2015,132,"25+",11
"Central African Republic",2015,140,"15+",7.80000000000001
"Central African Republic",2015,140,"20--64",9.10000000000001
"Central African Republic",2015,140,"25+",7.3
"Chad",2015,148,"15+",5.09999999999999
"Chad",2015,148,"20--64",6.19999999999999
"Chad",2015,148,"25+",5.39999999999999
"Channel Islands",2015,830,"15+",67.2
"Channel Islands",2015,830,"20--64",73.7
"Channel Islands",2015,830,"25+",66.9
"Chile",2015,152,"15+",55.6
"Chile",2015,152,"20--64",62.6
"Chile",2015,152,"25+",56.9
"China",2015,156,"15+",30
"China",2015,156,"20--64",31.8
"China",2015,156,"25+",26.5
"Colombia",2015,170,"15+",44
"Colombia",2015,170,"20--64",49.1
"Colombia",2015,170,"25+",43
"Comoros",2015,174,"15+",21.2
"Comoros",2015,174,"20--64",24.9
"Comoros",2015,174,"25+",22.6
"Congo",2015,178,"15+",16.5
"Congo",2015,178,"20--64",19.4
"Congo",2015,178,"25+",18.1
"Costa Rica",2015,188,"15+",37.3
"Costa Rica",2015,188,"20--64",41.6
"Costa Rica",2015,188,"25+",37.9
"Cote d'Ivoire",2015,384,"15+",10.4
"Cote d'Ivoire",2015,384,"20--64",12.2
"Cote d'Ivoire",2015,384,"25+",10.8
"Croatia",2015,191,"15+",73.2
"Croatia",2015,191,"20--64",84.7
"Croatia",2015,191,"25+",76
"Cuba",2015,192,"15+",52.4
"Cuba",2015,192,"20--64",59.7
"Cuba",2015,192,"25+",53.2
"Curaçao",2015,531,"15+",41.2
"Curaçao",2015,531,"20--64",48.6
"Curaçao",2015,531,"25+",43.1
"Cyprus",2015,196,"15+",72.8
"Cyprus",2015,196,"20--64",82.9
"Cyprus",2015,196,"25+",74.7
"Czech Republic",2015,203,"15+",83.8
"Czech Republic",2015,203,"20--64",90.7
"Czech Republic",2015,203,"25+",87.6
"Democratic People's Republic of Korea",2015,408,"15+",95.9
"Democratic People's Republic of Korea",2015,408,"20--64",99.9
"Democratic People's Republic of Korea",2015,408,"25+",96.8
"Democratic Republic of the Congo",2015,180,"15+",18.9
"Democratic Republic of the Congo",2015,180,"20--64",21.7
"Democratic Republic of the Congo",2015,180,"25+",19.4
"Denmark",2015,208,"15+",69.7
"Denmark",2015,208,"20--64",78.5
"Denmark",2015,208,"25+",75
"Djibouti",2015,262,"15+",13.2
"Djibouti",2015,262,"20--64",14.6
"Djibouti",2015,262,"25+",12.5
"Dominican Republic",2015,214,"15+",36.2
"Dominican Republic",2015,214,"20--64",41.4
"Dominican Republic",2015,214,"25+",35.4
"Ecuador",2015,218,"15+",38.3
"Ecuador",2015,218,"20--64",43.5
"Ecuador",2015,218,"25+",37.9
"Egypt",2015,818,"15+",53.8
"Egypt",2015,818,"20--64",60.6
"Egypt",2015,818,"25+",53.6
"El Salvador",2015,222,"15+",28.3
"El Salvador",2015,222,"20--64",33.4
"El Salvador",2015,222,"25+",29
"Equatorial Guinea",2015,226,"15+",15.5
"Equatorial Guinea",2015,226,"20--64",17.2
"Equatorial Guinea",2015,226,"25+",15.7
"Eritrea",2015,232,"15+",13.4
"Eritrea",2015,232,"20--64",15.1
"Eritrea",2015,232,"25+",12.8
"Estonia",2015,233,"15+",78
"Estonia",2015,233,"20--64",84.7
"Estonia",2015,233,"25+",82.4
"Ethiopia",2015,231,"15+",7.99999999999999
"Ethiopia",2015,231,"20--64",9.3
"Ethiopia",2015,231,"25+",7.7
"Fiji",2015,242,"15+",43
"Fiji",2015,242,"20--64",49.1
"Fiji",2015,242,"25+",43.4
"Finland",2015,246,"15+",75.1
"Finland",2015,246,"20--64",86.4
"Finland",2015,246,"25+",80.3
"France",2015,250,"15+",68.8
"France",2015,250,"20--64",79.9
"France",2015,250,"25+",70.8
"French Guiana",2015,254,"15+",42.8
"French Guiana",2015,254,"20--64",46.5
"French Guiana",2015,254,"25+",44.7
"French Polynesia",2015,258,"15+",61.7
"French Polynesia",2015,258,"20--64",66.5
"French Polynesia",2015,258,"25+",60.5
"Gabon",2015,266,"15+",18.7
"Gabon",2015,266,"20--64",21.7
"Gabon",2015,266,"25+",20.7
"Gambia",2015,270,"15+",16.6
"Gambia",2015,270,"20--64",18.3
"Gambia",2015,270,"25+",15.2
"Georgia",2015,268,"15+",87.8
"Georgia",2015,268,"20--64",94
"Georgia",2015,268,"25+",91.2
"Germany",2015,276,"15+",78.6
"Germany",2015,276,"20--64",86
"Germany",2015,276,"25+",82.2
"Ghana",2015,288,"15+",20.1
"Ghana",2015,288,"20--64",23.4
"Ghana",2015,288,"25+",20.7
"Greece",2015,300,"15+",60.3
"Greece",2015,300,"20--64",73
"Greece",2015,300,"25+",61.1
"Grenada",2015,308,"15+",49.8
"Grenada",2015,308,"20--64",56.4
"Grenada",2015,308,"25+",47.9
"Guadeloupe",2015,312,"15+",50.1
"Guadeloupe",2015,312,"20--64",59.7
"Guadeloupe",2015,312,"25+",48.2
"Guam",2015,316,"15+",40.3
"Guam",2015,316,"20--64",47.3
"Guam",2015,316,"25+",40.1
"Guatemala",2015,320,"15+",19.8
"Guatemala",2015,320,"20--64",22.9
"Guatemala",2015,320,"25+",20.1
"Guinea",2015,324,"15+",13.3
"Guinea",2015,324,"20--64",15.7
"Guinea",2015,324,"25+",14.2
"Guinea-Bissau",2015,624,"15+",11.4
"Guinea-Bissau",2015,624,"20--64",13.8
"Guinea-Bissau",2015,624,"25+",12.7
"Guyana",2015,328,"15+",47.9
"Guyana",2015,328,"20--64",54.1
"Guyana",2015,328,"25+",50.7
"Haiti",2015,332,"15+",21.1
"Haiti",2015,332,"20--64",23.7
"Haiti",2015,332,"25+",19.9
"Honduras",2015,340,"15+",16.5
"Honduras",2015,340,"20--64",17.7
"Honduras",2015,340,"25+",15.4
"Hong Kong Special Administrative Region of China",2015,344,"15+",57.7
"Hong Kong Special Administrative Region of China",2015,344,"20--64",67
"Hong Kong Special Administrative Region of China",2015,344,"25+",56.9
"Hungary",2015,348,"15+",73.3
"Hungary",2015,348,"20--64",83.5
"Hungary",2015,348,"25+",76.4
"Iceland",2015,352,"15+",62.5
"Iceland",2015,352,"20--64",69.7
"Iceland",2015,352,"25+",67.5
"India",2015,356,"15+",33.9
"India",2015,356,"20--64",35.6
"India",2015,356,"25+",31.2
"Indonesia",2015,360,"15+",35.2
"Indonesia",2015,360,"20--64",39.6
"Indonesia",2015,360,"25+",34
"Iran (Islamic Republic of)",2015,364,"15+",42.7
"Iran (Islamic Republic of)",2015,364,"20--64",47.1
"Iran (Islamic Republic of)",2015,364,"25+",43.3
"Iraq",2015,368,"15+",22.7
"Iraq",2015,368,"20--64",26.4
"Iraq",2015,368,"25+",25.1
"Ireland",2015,372,"15+",68.2
"Ireland",2015,372,"20--64",78.6
"Ireland",2015,372,"25+",69.3
"Israel",2015,376,"15+",61.1
"Israel",2015,376,"20--64",65.6
"Israel",2015,376,"25+",60.8
"Italy",2015,380,"15+",50.1
"Italy",2015,380,"20--64",62.1
"Italy",2015,380,"25+",50.2
"Jamaica",2015,388,"15+",30.7
"Jamaica",2015,388,"20--64",34.7
"Jamaica",2015,388,"25+",29.7
"Japan",2015,392,"15+",81.6
"Japan",2015,392,"20--64",93.6
"Japan",2015,392,"25+",83.7
"Jordan",2015,400,"15+",47.7
"Jordan",2015,400,"20--64",53.2
"Jordan",2015,400,"25+",50.7
"Kazakhstan",2015,398,"15+",85.2
"Kazakhstan",2015,398,"20--64",91.4
"Kazakhstan",2015,398,"25+",87.4
"Kenya",2015,404,"15+",27.5
"Kenya",2015,404,"20--64",32.5
"Kenya",2015,404,"25+",30.4
"Kiribati",2015,296,"15+",40.8
"Kiribati",2015,296,"20--64",43.8
"Kiribati",2015,296,"25+",37
"Kuwait",2015,414,"15+",31
"Kuwait",2015,414,"20--64",32.6
"Kuwait",2015,414,"25+",32.1
"Kyrgyzstan",2015,417,"15+",78.7
"Kyrgyzstan",2015,417,"20--64",86.9
"Kyrgyzstan",2015,417,"25+",85.1
"Lao People's Democratic Republic",2015,418,"15+",23.3
"Lao People's Democratic Republic",2015,418,"20--64",26
"Lao People's Democratic Republic",2015,418,"25+",21.7
"Latvia",2015,428,"15+",80.1
"Latvia",2015,428,"20--64",86.9
"Latvia",2015,428,"25+",84.1
"Lebanon",2015,422,"15+",39.4
"Lebanon",2015,422,"20--64",46.1
"Lebanon",2015,422,"25+",39.8
"Lesotho",2015,426,"15+",16.3
"Lesotho",2015,426,"20--64",19.4
"Lesotho",2015,426,"25+",16.6
"Liberia",2015,430,"15+",18.1
"Liberia",2015,430,"20--64",21
"Liberia",2015,430,"25+",20
"Libyan Arab Jamahiriya",2015,434,"15+",35.5
"Libyan Arab Jamahiriya",2015,434,"20--64",39.5
"Libyan Arab Jamahiriya",2015,434,"25+",34.6
"Lithuania",2015,440,"15+",79.4
"Lithuania",2015,440,"20--64",89.8
"Lithuania",2015,440,"25+",83.8
"Luxembourg",2015,442,"15+",66.7
"Luxembourg",2015,442,"20--64",73.8
"Luxembourg",2015,442,"25+",68.7
"Macao Special Administrative Region of China",2015,446,"15+",53.1
"Macao Special Administrative Region of China",2015,446,"20--64",59.4
"Macao Special Administrative Region of China",2015,446,"25+",52.3
"Madagascar",2015,450,"15+",6.39999999999999
"Madagascar",2015,450,"20--64",7
"Madagascar",2015,450,"25+",6.3
"Malawi",2015,454,"15+",13.1
"Malawi",2015,454,"20--64",14.6
"Malawi",2015,454,"25+",12.1
"Malaysia",2015,458,"15+",57.8
"Malaysia",2015,458,"20--64",63.3
"Malaysia",2015,458,"25+",55.1
"Maldives",2015,462,"15+",11.5
"Maldives",2015,462,"20--64",12.6
"Maldives",2015,462,"25+",10.6
"Mali",2015,466,"15+",5.80000000000001
"Mali",2015,466,"20--64",6.5
"Mali",2015,466,"25+",5.40000000000001
"Malta",2015,470,"15+",41.6
"Malta",2015,470,"20--64",48.3
"Malta",2015,470,"25+",38.3
"Martinique",2015,474,"15+",52.3
"Martinique",2015,474,"20--64",62.4
"Martinique",2015,474,"25+",51.1
"Mauritania",2015,478,"15+",10.6
"Mauritania",2015,478,"20--64",11.7
"Mauritania",2015,478,"25+",10.4
"Mauritius",2015,480,"15+",36.7
"Mauritius",2015,480,"20--64",40.7
"Mauritius",2015,480,"25+",34.4
"Mayotte",2015,175,"15+",52.2
"Mayotte",2015,175,"20--64",57.9
"Mayotte",2015,175,"25+",51.6
"Mexico",2015,484,"15+",31.2
"Mexico",2015,484,"20--64",35.7
"Mexico",2015,484,"25+",30.8
"Micronesia (Federated States of)",2015,583,"15+",42
"Micronesia (Federated States of)",2015,583,"20--64",50.3
"Micronesia (Federated States of)",2015,583,"25+",46.2
"Mongolia",2015,496,"15+",69.1
"Mongolia",2015,496,"20--64",73.9
"Mongolia",2015,496,"25+",70.7
"Montenegro",2015,499,"15+",73
"Montenegro",2015,499,"20--64",83.2
"Montenegro",2015,499,"25+",76.8
"Morocco",2015,504,"15+",20.2
"Morocco",2015,504,"20--64",22.6
"Morocco",2015,504,"25+",18.1
"Mozambique",2015,508,"15+",6.90000000000001
"Mozambique",2015,508,"20--64",7.8
"Mozambique",2015,508,"25+",6.40000000000001
"Myanmar",2015,104,"15+",18.2
"Myanmar",2015,104,"20--64",17.2
"Myanmar",2015,104,"25+",13.9
"Namibia",2015,516,"15+",25.9
"Namibia",2015,516,"20--64",28.8
"Namibia",2015,516,"25+",26.3
"Nepal",2015,524,"15+",28
"Nepal",2015,524,"20--64",31.5
"Nepal",2015,524,"25+",25.6
"Netherlands",2015,528,"15+",66.2
"Netherlands",2015,528,"20--64",76.4
"Netherlands",2015,528,"25+",69
"New Caledonia",2015,540,"15+",61.2
"New Caledonia",2015,540,"20--64",66.8
"New Caledonia",2015,540,"25+",58.3
"New Zealand",2015,554,"15+",77.5
"New Zealand",2015,554,"20--64",82.8
"New Zealand",2015,554,"25+",76.1
"Nicaragua",2015,558,"15+",25.6
"Nicaragua",2015,558,"20--64",28.6
"Nicaragua",2015,558,"25+",24.9
"Niger",2015,562,"15+",2.2
"Niger",2015,562,"20--64",2.7
"Niger",2015,562,"25+",2.5
"Nigeria",2015,566,"15+",32.3
"Nigeria",2015,566,"20--64",35.3
"Nigeria",2015,566,"25+",31.2
"Norway",2015,578,"15+",72.3
"Norway",2015,578,"20--64",78.9
"Norway",2015,578,"25+",76.9
"Occupied Palestinian Territory",2015,275,"15+",41.2
"Occupied Palestinian Territory",2015,275,"20--64",47.6
"Occupied Palestinian Territory",2015,275,"25+",43.6
"Oman",2015,512,"15+",41.7
"Oman",2015,512,"20--64",43.7
"Oman",2015,512,"25+",40.4
"Pakistan",2015,586,"15+",23.8
"Pakistan",2015,586,"20--64",25.9
"Pakistan",2015,586,"25+",21.8
"Panama",2015,591,"15+",47.1
"Panama",2015,591,"20--64",53.5
"Panama",2015,591,"25+",48.4
"Papua New Guinea",2015,598,"15+",18.1
"Papua New Guinea",2015,598,"20--64",20.5
"Papua New Guinea",2015,598,"25+",17.1
"Paraguay",2015,600,"15+",30.9
"Paraguay",2015,600,"20--64",35.5
"Paraguay",2015,600,"25+",31.2
"Peru",2015,604,"15+",60
"Peru",2015,604,"20--64",66.8
"Peru",2015,604,"25+",62.5
"Philippines",2015,608,"15+",60.4
"Philippines",2015,608,"20--64",66.8
"Philippines",2015,608,"25+",61.3
"Poland",2015,616,"15+",80.4
"Poland",2015,616,"20--64",90.1
"Poland",2015,616,"25+",84.6
"Portugal",2015,620,"15+",35.6
"Portugal",2015,620,"20--64",45.3
"Portugal",2015,620,"25+",34.9
"Puerto Rico",2015,630,"15+",73.8
"Puerto Rico",2015,630,"20--64",83.5
"Puerto Rico",2015,630,"25+",76.1
"Qatar",2015,634,"15+",41.5
"Qatar",2015,634,"20--64",42.1
"Qatar",2015,634,"25+",41.7
"Republic of Korea",2015,410,"15+",75.7
"Republic of Korea",2015,410,"20--64",88.6
"Republic of Korea",2015,410,"25+",77.4
"Republic of Moldova",2015,498,"15+",66.5
"Republic of Moldova",2015,498,"20--64",73.6
"Republic of Moldova",2015,498,"25+",67.8
"Reunion",2015,638,"15+",45.4
"Reunion",2015,638,"20--64",51.3
"Reunion",2015,638,"25+",43.1
"Romania",2015,642,"15+",63.6
"Romania",2015,642,"20--64",73.7
"Romania",2015,642,"25+",66.1
"Russian Federation",2015,643,"15+",85.2
"Russian Federation",2015,643,"20--64",92.9
"Russian Federation",2015,643,"25+",86.9
"Rwanda",2015,646,"15+",8.19999999999999
"Rwanda",2015,646,"20--64",8.90000000000001
"Rwanda",2015,646,"25+",7.59999999999999
"Saint Lucia",2015,662,"15+",46.7
"Saint Lucia",2015,662,"20--64",53.3
"Saint Lucia",2015,662,"25+",44.4
"Saint Vincent and the Grenadines",2015,670,"15+",36
"Saint Vincent and the Grenadines",2015,670,"20--64",39.6
"Saint Vincent and the Grenadines",2015,670,"25+",34.2
"Samoa",2015,882,"15+",28.1
"Samoa",2015,882,"20--64",32.2
"Samoa",2015,882,"25+",27.5
"Sao Tome and Principe",2015,678,"15+",7.2
"Sao Tome and Principe",2015,678,"20--64",8.3
"Sao Tome and Principe",2015,678,"25+",6.7
"Saudi Arabia",2015,682,"15+",50.1
"Saudi Arabia",2015,682,"20--64",54.3
"Saudi Arabia",2015,682,"25+",50
"Senegal",2015,686,"15+",10.5
"Senegal",2015,686,"20--64",11.8
"Senegal",2015,686,"25+",10.3
"Serbia",2015,688,"15+",70.6
"Serbia",2015,688,"20--64",81.1
"Serbia",2015,688,"25+",73.3
"Seychelles",2015,690,"15+",48
"Seychelles",2015,690,"20--64",53
"Seychelles",2015,690,"25+",46.2
"Sierra Leone",2015,694,"15+",12.4
"Sierra Leone",2015,694,"20--64",14
"Sierra Leone",2015,694,"25+",12.4
"Singapore",2015,702,"15+",71.4
"Singapore",2015,702,"20--64",80.4
"Singapore",2015,702,"25+",70.6
"Slovakia",2015,703,"15+",83.9
"Slovakia",2015,703,"20--64",91.2
"Slovakia",2015,703,"25+",88
"Slovenia",2015,705,"15+",75.2
"Slovenia",2015,705,"20--64",81.8
"Slovenia",2015,705,"25+",77.1
"Solomon Islands",2015,90,"15+",18.2
"Solomon Islands",2015,90,"20--64",20.6
"Solomon Islands",2015,90,"25+",17.1
"Somalia",2015,706,"15+",8.8
"Somalia",2015,706,"20--64",10.1
"Somalia",2015,706,"25+",8.99999999999999
"South Africa",2015,710,"15+",43
"South Africa",2015,710,"20--64",48.9
"South Africa",2015,710,"25+",45.5
"South Sudan",2015,728,"15+",16.1
"South Sudan",2015,728,"20--64",16
"South Sudan",2015,728,"25+",13.2
"Spain",2015,724,"15+",49.7
"Spain",2015,724,"20--64",59.8
"Spain",2015,724,"25+",49.7
"Sri Lanka",2015,144,"15+",47.2
"Sri Lanka",2015,144,"20--64",51.9
"Sri Lanka",2015,144,"25+",46.7
"Sudan",2015,729,"15+",22.5
"Sudan",2015,729,"20--64",24.9
"Sudan",2015,729,"25+",20.2
"Suriname",2015,740,"15+",26.1
"Suriname",2015,740,"20--64",28.7
"Suriname",2015,740,"25+",25.1
"Swaziland",2015,748,"15+",35
"Swaziland",2015,748,"20--64",41.1
"Swaziland",2015,748,"25+",37.2
"Sweden",2015,752,"15+",72.2
"Sweden",2015,752,"20--64",81.6
"Sweden",2015,752,"25+",73.8
"Switzerland",2015,756,"15+",75.2
"Switzerland",2015,756,"20--64",82.1
"Switzerland",2015,756,"25+",77.7
"Syrian Arab Republic",2015,760,"15+",23.9
"Syrian Arab Republic",2015,760,"20--64",26.9
"Syrian Arab Republic",2015,760,"25+",23.6
"Taiwan Province of China",2015,158,"15+",66.4
"Taiwan Province of China",2015,158,"20--64",77.7
"Taiwan Province of China",2015,158,"25+",66.6
"Tajikistan",2015,762,"15+",83
"Tajikistan",2015,762,"20--64",93
"Tajikistan",2015,762,"25+",90
"Thailand",2015,764,"15+",38.5
"Thailand",2015,764,"20--64",44.7
"Thailand",2015,764,"25+",37.3
"The former Yugoslav Republic of Macedonia",2015,807,"15+",56.3
"The former Yugoslav Republic of Macedonia",2015,807,"20--64",63.4
"The former Yugoslav Republic of Macedonia",2015,807,"25+",55.3
"Timor-Leste",2015,626,"15+",32.7
"Timor-Leste",2015,626,"20--64",37
"Timor-Leste",2015,626,"25+",28.8
"Togo",2015,768,"15+",12.3
"Togo",2015,768,"20--64",12.8
"Togo",2015,768,"25+",10.7
"Tonga",2015,776,"15+",30.5
"Tonga",2015,776,"20--64",35.8
"Tonga",2015,776,"25+",30.7
"Trinidad and Tobago",2015,780,"15+",51.3
"Trinidad and Tobago",2015,780,"20--64",57
"Trinidad and Tobago",2015,780,"25+",50.6
"Tunisia",2015,788,"15+",27.3
"Tunisia",2015,788,"20--64",31.5
"Tunisia",2015,788,"25+",25.4
"Turkey",2015,792,"15+",37.8
"Turkey",2015,792,"20--64",43.9
"Turkey",2015,792,"25+",37.5
"Turkmenistan",2015,795,"15+",86.5
"Turkmenistan",2015,795,"20--64",94.8
"Turkmenistan",2015,795,"25+",91.7
"Uganda",2015,800,"15+",8.69999999999999
"Uganda",2015,800,"20--64",9.90000000000001
"Uganda",2015,800,"25+",8.39999999999999
"Ukraine",2015,804,"15+",85.3
"Ukraine",2015,804,"20--64",93
"Ukraine",2015,804,"25+",87.8
"United Arab Emirates",2015,784,"15+",51.6
"United Arab Emirates",2015,784,"20--64",52.4
"United Arab Emirates",2015,784,"25+",51.3
"United Kingdom of Great Britain and Northern Ireland",2015,826,"15+",66.8
"United Kingdom of Great Britain and Northern Ireland",2015,826,"20--64",74.2
"United Kingdom of Great Britain and Northern Ireland",2015,826,"25+",66.5
"United Republic of Tanzania",2015,834,"15+",5.7
"United Republic of Tanzania",2015,834,"20--64",6.7
"United Republic of Tanzania",2015,834,"25+",5.8
"United States of America",2015,840,"15+",84.1
"United States of America",2015,840,"20--64",89.7
"United States of America",2015,840,"25+",88.4
"United States Virgin Islands",2015,850,"15+",39.7
"United States Virgin Islands",2015,850,"20--64",47.8
"United States Virgin Islands",2015,850,"25+",36.7
"Uruguay",2015,858,"15+",31
"Uruguay",2015,858,"20--64",36
"Uruguay",2015,858,"25+",32.2
"Uzbekistan",2015,860,"15+",82.5
"Uzbekistan",2015,860,"20--64",90.4
"Uzbekistan",2015,860,"25+",87.8
"Vanuatu",2015,548,"15+",17.4
"Vanuatu",2015,548,"20--64",18.8
"Vanuatu",2015,548,"25+",16.3
"Venezuela (Bolivarian Republic of)",2015,862,"15+",49.7
"Venezuela (Bolivarian Republic of)",2015,862,"20--64",54.5
"Venezuela (Bolivarian Republic of)",2015,862,"25+",50
"Viet Nam",2015,704,"15+",21.6
"Viet Nam",2015,704,"20--64",22.9
"Viet Nam",2015,704,"25+",19.1
"Western Sahara",2015,732,"15+",10.9
"Western Sahara",2015,732,"20--64",11.6
"Western Sahara",2015,732,"25+",10.6
"World",2015,900,"15+",41.4
"World",2015,900,"20--64",44.9
"World",2015,900,"25+",41.8
"Yemen",2015,887,"15+",21.5
"Yemen",2015,887,"20--64",19
"Yemen",2015,887,"25+",13.4
"Zambia",2015,894,"15+",21.5
"Zambia",2015,894,"20--64",25.2
"Zambia",2015,894,"25+",23.4
"Zimbabwe",2015,716,"15+",49
"Zimbabwe",2015,716,"20--64",59.8
"Zimbabwe",2015,716,"25+",58.6
