cnt,country,year,survey,sex,literacy,agegr,percentage
AO,Angola,2015,2015-16 DHS,male,illiterate,25-29,12.9
AO,Angola,2015,2015-16 DHS,male,illiterate,30-34,20.9
AO,Angola,2015,2015-16 DHS,male,illiterate,35-39,18.5
AO,Angola,2015,2015-16 DHS,male,illiterate,40-44,14.6
AO,Angola,2015,2015-16 DHS,male,illiterate,45-49,12.0
AO,Angola,2006,2006-07 MIS,female,illiterate,15-19,25.5
AO,Angola,2006,2006-07 MIS,female,illiterate,20-24,35.9
AO,Angola,2006,2006-07 MIS,female,illiterate,25-29,41.2
AO,Angola,2006,2006-07 MIS,female,illiterate,30-34,47.9
AO,Angola,2006,2006-07 MIS,female,illiterate,35-39,47.0
AO,Angola,2006,2006-07 MIS,female,illiterate,40-44,40.3
AO,Angola,2006,2006-07 MIS,female,illiterate,45-49,53.6
AO,Angola,2011,2011 MIS,female,illiterate,15-19,28.0
AO,Angola,2011,2011 MIS,female,illiterate,20-24,36.5
AO,Angola,2011,2011 MIS,female,illiterate,25-29,42.8
AO,Angola,2011,2011 MIS,female,illiterate,30-34,48.5
AO,Angola,2011,2011 MIS,female,illiterate,35-39,49.6
AO,Angola,2011,2011 MIS,female,illiterate,40-44,48.6
AO,Angola,2011,2011 MIS,female,illiterate,45-49,54.0
AO,Angola,2015,2015-16 DHS,female,illiterate,15-19,29.1
AO,Angola,2015,2015-16 DHS,female,illiterate,20-24,35.9
AO,Angola,2015,2015-16 DHS,female,illiterate,25-29,41.3
AO,Angola,2015,2015-16 DHS,female,illiterate,30-34,48.8
AO,Angola,2015,2015-16 DHS,female,illiterate,35-39,53.8
AO,Angola,2015,2015-16 DHS,female,illiterate,40-44,56.1
AO,Angola,2015,2015-16 DHS,female,illiterate,45-49,52.1
BD,Bangladesh,2007,2007 DHS,male,illiterate,15-19,NA
BD,Bangladesh,2007,2007 DHS,male,illiterate,20-24,36.8
BD,Bangladesh,2007,2007 DHS,male,illiterate,25-29,38.3
BD,Bangladesh,2007,2007 DHS,male,illiterate,30-34,41.5
BD,Bangladesh,2007,2007 DHS,male,illiterate,35-39,44.2
BD,Bangladesh,2007,2007 DHS,male,illiterate,40-44,47.7
BD,Bangladesh,2007,2007 DHS,male,illiterate,45-49,45.6
BD,Bangladesh,2011,2011 DHS,male,illiterate,15-19,NA
BD,Bangladesh,2011,2011 DHS,male,illiterate,20-24,31.1
BD,Bangladesh,2011,2011 DHS,male,illiterate,25-29,28.9
BD,Bangladesh,2011,2011 DHS,male,illiterate,30-34,36.4
BD,Bangladesh,2011,2011 DHS,male,illiterate,35-39,37.2
BD,Bangladesh,2011,2011 DHS,male,illiterate,40-44,38.6
BD,Bangladesh,2011,2011 DHS,male,illiterate,45-49,47.8
BD,Bangladesh,2014,2014 DHS,male,illiterate,15-19,NA
BD,Bangladesh,2014,2014 DHS,male,illiterate,20-24,NA
BD,Bangladesh,2014,2014 DHS,male,illiterate,25-29,NA
BD,Bangladesh,2014,2014 DHS,male,illiterate,30-34,NA
BD,Bangladesh,2014,2014 DHS,male,illiterate,35-39,NA
BD,Bangladesh,2014,2014 DHS,male,illiterate,40-44,NA
BD,Bangladesh,2014,2014 DHS,male,illiterate,45-49,NA
BD,Bangladesh,2007,2007 DHS,female,illiterate,15-19,21.3
BD,Bangladesh,2007,2007 DHS,female,illiterate,20-24,27.8
BD,Bangladesh,2007,2007 DHS,female,illiterate,25-29,41.3
BD,Bangladesh,2007,2007 DHS,female,illiterate,30-34,53.3
BD,Bangladesh,2007,2007 DHS,female,illiterate,35-39,57.8
BD,Bangladesh,2007,2007 DHS,female,illiterate,40-44,65.1
BD,Bangladesh,2007,2007 DHS,female,illiterate,45-49,69.0
BD,Bangladesh,2011,2011 DHS,female,illiterate,15-19,16.2
BD,Bangladesh,2011,2011 DHS,female,illiterate,20-24,18.9
BD,Bangladesh,2011,2011 DHS,female,illiterate,25-29,28.0
BD,Bangladesh,2011,2011 DHS,female,illiterate,30-34,40.4
BD,Bangladesh,2011,2011 DHS,female,illiterate,35-39,50.8
BD,Bangladesh,2011,2011 DHS,female,illiterate,40-44,58.3
BD,Bangladesh,2011,2011 DHS,female,illiterate,45-49,63.7
BD,Bangladesh,2014,2014 DHS,female,illiterate,15-19,11.8
BD,Bangladesh,2014,2014 DHS,female,illiterate,20-24,15.6
BD,Bangladesh,2014,2014 DHS,female,illiterate,25-29,22.9
BD,Bangladesh,2014,2014 DHS,female,illiterate,30-34,36.9
BD,Bangladesh,2014,2014 DHS,female,illiterate,35-39,47.1
BD,Bangladesh,2014,2014 DHS,female,illiterate,40-44,57.3
BD,Bangladesh,2014,2014 DHS,female,illiterate,45-49,60.8
BJ,Benin,2001,2001 DHS,male,illiterate,15-19,32.1
BJ,Benin,2001,2001 DHS,male,illiterate,20-24,47.0
BJ,Benin,2001,2001 DHS,male,illiterate,25-29,55.2
BJ,Benin,2001,2001 DHS,male,illiterate,30-34,49.2
BJ,Benin,2001,2001 DHS,male,illiterate,35-39,48.2
BJ,Benin,2001,2001 DHS,male,illiterate,40-44,65.5
BJ,Benin,2001,2001 DHS,male,illiterate,45-49,63.6
BJ,Benin,2006,2006 DHS,male,illiterate,15-19,24.8
BJ,Benin,2006,2006 DHS,male,illiterate,20-24,30.5
BJ,Benin,2006,2006 DHS,male,illiterate,25-29,46.6
BJ,Benin,2006,2006 DHS,male,illiterate,30-34,45.3
BJ,Benin,2006,2006 DHS,male,illiterate,35-39,48.7
BJ,Benin,2006,2006 DHS,male,illiterate,40-44,54.7
BJ,Benin,2006,2006 DHS,male,illiterate,45-49,56.2
BJ,Benin,2012,2011-12 DHS,male,illiterate,15-19,21.2
BJ,Benin,2012,2011-12 DHS,male,illiterate,20-24,26.8
BJ,Benin,2012,2011-12 DHS,male,illiterate,25-29,39.4
BJ,Benin,2012,2011-12 DHS,male,illiterate,30-34,47.1
BJ,Benin,2012,2011-12 DHS,male,illiterate,35-39,49.4
BJ,Benin,2012,2011-12 DHS,male,illiterate,40-44,51.8
BJ,Benin,2012,2011-12 DHS,male,illiterate,45-49,52.3
BJ,Benin,2017,2017-18 DHS,male,illiterate,15-19,31.2
BJ,Benin,2017,2017-18 DHS,male,illiterate,20-24,34.5
BJ,Benin,2017,2017-18 DHS,male,illiterate,25-29,45.1
BJ,Benin,2017,2017-18 DHS,male,illiterate,30-34,46.6
BJ,Benin,2017,2017-18 DHS,male,illiterate,35-39,58.7
BJ,Benin,2017,2017-18 DHS,male,illiterate,40-44,57.9
BJ,Benin,2017,2017-18 DHS,male,illiterate,45-49,54.5
BJ,Benin,2001,2001 DHS,female,illiterate,15-19,61.8
BJ,Benin,2001,2001 DHS,female,illiterate,20-24,74.6
BJ,Benin,2001,2001 DHS,female,illiterate,25-29,77.0
BJ,Benin,2001,2001 DHS,female,illiterate,30-34,73.3
BJ,Benin,2001,2001 DHS,female,illiterate,35-39,79.8
BJ,Benin,2001,2001 DHS,female,illiterate,40-44,82.3
BJ,Benin,2001,2001 DHS,female,illiterate,45-49,84.6
BJ,Benin,2006,2006 DHS,female,illiterate,15-19,46.1
BJ,Benin,2006,2006 DHS,female,illiterate,20-24,64.9
BJ,Benin,2006,2006 DHS,female,illiterate,25-29,73.6
BJ,Benin,2006,2006 DHS,female,illiterate,30-34,74.7
BJ,Benin,2006,2006 DHS,female,illiterate,35-39,75.1
BJ,Benin,2006,2006 DHS,female,illiterate,40-44,77.5
BJ,Benin,2006,2006 DHS,female,illiterate,45-49,83.9
BJ,Benin,2012,2011-12 DHS,female,illiterate,15-19,34.4
BJ,Benin,2012,2011-12 DHS,female,illiterate,20-24,57.0
BJ,Benin,2012,2011-12 DHS,female,illiterate,25-29,70.2
BJ,Benin,2012,2011-12 DHS,female,illiterate,30-34,77.4
BJ,Benin,2012,2011-12 DHS,female,illiterate,35-39,76.4
BJ,Benin,2012,2011-12 DHS,female,illiterate,40-44,76.4
BJ,Benin,2012,2011-12 DHS,female,illiterate,45-49,77.2
BJ,Benin,2017,2017-18 DHS,female,illiterate,15-19,42.8
BJ,Benin,2017,2017-18 DHS,female,illiterate,20-24,55.5
BJ,Benin,2017,2017-18 DHS,female,illiterate,25-29,69.5
BJ,Benin,2017,2017-18 DHS,female,illiterate,30-34,75.4
BJ,Benin,2017,2017-18 DHS,female,illiterate,35-39,79.6
BJ,Benin,2017,2017-18 DHS,female,illiterate,40-44,83.3
BJ,Benin,2017,2017-18 DHS,female,illiterate,45-49,82.1
BO,Bolivia,2003,2003 DHS,male,illiterate,15-19,0.3
BO,Bolivia,2003,2003 DHS,male,illiterate,20-24,0.7
BO,Bolivia,2003,2003 DHS,male,illiterate,25-29,1.5
BO,Bolivia,2003,2003 DHS,male,illiterate,30-34,2.1
BO,Bolivia,2003,2003 DHS,male,illiterate,35-39,1.7
BO,Bolivia,2003,2003 DHS,male,illiterate,40-44,4.9
BO,Bolivia,2003,2003 DHS,male,illiterate,45-49,5.2
BO,Bolivia,2008,2008 DHS,male,illiterate,15-19,0.1
BO,Bolivia,2008,2008 DHS,male,illiterate,20-24,0.5
BO,Bolivia,2008,2008 DHS,male,illiterate,25-29,0.9
BO,Bolivia,2008,2008 DHS,male,illiterate,30-34,1.3
BO,Bolivia,2008,2008 DHS,male,illiterate,35-39,3.2
BO,Bolivia,2008,2008 DHS,male,illiterate,40-44,1.6
BO,Bolivia,2008,2008 DHS,male,illiterate,45-49,2.6
BO,Bolivia,2003,2003 DHS,female,illiterate,15-19,1.0
BO,Bolivia,2003,2003 DHS,female,illiterate,20-24,3.8
BO,Bolivia,2003,2003 DHS,female,illiterate,25-29,7.0
BO,Bolivia,2003,2003 DHS,female,illiterate,30-34,7.9
BO,Bolivia,2003,2003 DHS,female,illiterate,35-39,12.5
BO,Bolivia,2003,2003 DHS,female,illiterate,40-44,19.6
BO,Bolivia,2003,2003 DHS,female,illiterate,45-49,25.8
BO,Bolivia,2008,2008 DHS,female,illiterate,15-19,0.6
BO,Bolivia,2008,2008 DHS,female,illiterate,20-24,1.8
BO,Bolivia,2008,2008 DHS,female,illiterate,25-29,5.2
BO,Bolivia,2008,2008 DHS,female,illiterate,30-34,8.3
BO,Bolivia,2008,2008 DHS,female,illiterate,35-39,10.1
BO,Bolivia,2008,2008 DHS,female,illiterate,40-44,12.7
BO,Bolivia,2008,2008 DHS,female,illiterate,45-49,20.6
BF,Burkina Faso,2003,2003 DHS,male,illiterate,15-19,62.5
BF,Burkina Faso,2003,2003 DHS,male,illiterate,20-24,60.2
BF,Burkina Faso,2003,2003 DHS,male,illiterate,25-29,66.9
BF,Burkina Faso,2003,2003 DHS,male,illiterate,30-34,65.1
BF,Burkina Faso,2003,2003 DHS,male,illiterate,35-39,68.5
BF,Burkina Faso,2003,2003 DHS,male,illiterate,40-44,80.5
BF,Burkina Faso,2003,2003 DHS,male,illiterate,45-49,76.5
BF,Burkina Faso,2010,2010 DHS,male,illiterate,15-19,51.0
BF,Burkina Faso,2010,2010 DHS,male,illiterate,20-24,50.9
BF,Burkina Faso,2010,2010 DHS,male,illiterate,25-29,56.8
BF,Burkina Faso,2010,2010 DHS,male,illiterate,30-34,62.3
BF,Burkina Faso,2010,2010 DHS,male,illiterate,35-39,64.6
BF,Burkina Faso,2010,2010 DHS,male,illiterate,40-44,74.6
BF,Burkina Faso,2010,2010 DHS,male,illiterate,45-49,78.2
BF,Burkina Faso,2014,2014 MIS,male,illiterate,15-19,NA
BF,Burkina Faso,2014,2014 MIS,male,illiterate,20-24,NA
BF,Burkina Faso,2014,2014 MIS,male,illiterate,25-29,NA
BF,Burkina Faso,2014,2014 MIS,male,illiterate,30-34,NA
BF,Burkina Faso,2014,2014 MIS,male,illiterate,35-39,NA
BF,Burkina Faso,2014,2014 MIS,male,illiterate,40-44,NA
BF,Burkina Faso,2014,2014 MIS,male,illiterate,45-49,NA
BF,Burkina Faso,2017,2017-18 MIS,male,illiterate,15-19,NA
BF,Burkina Faso,2017,2017-18 MIS,male,illiterate,20-24,NA
BF,Burkina Faso,2017,2017-18 MIS,male,illiterate,25-29,NA
BF,Burkina Faso,2017,2017-18 MIS,male,illiterate,30-34,NA
BF,Burkina Faso,2017,2017-18 MIS,male,illiterate,35-39,NA
BF,Burkina Faso,2017,2017-18 MIS,male,illiterate,40-44,NA
BF,Burkina Faso,2017,2017-18 MIS,male,illiterate,45-49,NA
BF,Burkina Faso,2003,2003 DHS,female,illiterate,15-19,73.7
BF,Burkina Faso,2003,2003 DHS,female,illiterate,20-24,78.1
BF,Burkina Faso,2003,2003 DHS,female,illiterate,25-29,84.7
BF,Burkina Faso,2003,2003 DHS,female,illiterate,30-34,88.9
BF,Burkina Faso,2003,2003 DHS,female,illiterate,35-39,91.5
BF,Burkina Faso,2003,2003 DHS,female,illiterate,40-44,92.7
BF,Burkina Faso,2003,2003 DHS,female,illiterate,45-49,93.2
BF,Burkina Faso,2010,2010 DHS,female,illiterate,15-19,60.6
BF,Burkina Faso,2010,2010 DHS,female,illiterate,20-24,70.9
BF,Burkina Faso,2010,2010 DHS,female,illiterate,25-29,78.4
BF,Burkina Faso,2010,2010 DHS,female,illiterate,30-34,80.7
BF,Burkina Faso,2010,2010 DHS,female,illiterate,35-39,85.8
BF,Burkina Faso,2010,2010 DHS,female,illiterate,40-44,87.2
BF,Burkina Faso,2010,2010 DHS,female,illiterate,45-49,89.4
BF,Burkina Faso,2014,2014 MIS,female,illiterate,15-19,46.1
BF,Burkina Faso,2014,2014 MIS,female,illiterate,20-24,65.8
BF,Burkina Faso,2014,2014 MIS,female,illiterate,25-29,72.3
BF,Burkina Faso,2014,2014 MIS,female,illiterate,30-34,77.4
BF,Burkina Faso,2014,2014 MIS,female,illiterate,35-39,81.8
BF,Burkina Faso,2014,2014 MIS,female,illiterate,40-44,84.9
BF,Burkina Faso,2014,2014 MIS,female,illiterate,45-49,89.0
BF,Burkina Faso,2017,2017-18 MIS,female,illiterate,15-19,38.0
BF,Burkina Faso,2017,2017-18 MIS,female,illiterate,20-24,59.9
BF,Burkina Faso,2017,2017-18 MIS,female,illiterate,25-29,72.8
BF,Burkina Faso,2017,2017-18 MIS,female,illiterate,30-34,80.6
BF,Burkina Faso,2017,2017-18 MIS,female,illiterate,35-39,82.4
BF,Burkina Faso,2017,2017-18 MIS,female,illiterate,40-44,85.7
BF,Burkina Faso,2017,2017-18 MIS,female,illiterate,45-49,93.1
BU,Burundi,2010,2010 DHS,male,illiterate,15-19,12.3
BU,Burundi,2010,2010 DHS,male,illiterate,20-24,19.9
BU,Burundi,2010,2010 DHS,male,illiterate,25-29,24.2
BU,Burundi,2010,2010 DHS,male,illiterate,30-34,18.6
BU,Burundi,2010,2010 DHS,male,illiterate,35-39,23.3
BU,Burundi,2010,2010 DHS,male,illiterate,40-44,31.8
BU,Burundi,2010,2010 DHS,male,illiterate,45-49,30.2
BU,Burundi,2012,2012 MIS,male,illiterate,15-19,NA
BU,Burundi,2012,2012 MIS,male,illiterate,20-24,NA
BU,Burundi,2012,2012 MIS,male,illiterate,25-29,NA
BU,Burundi,2012,2012 MIS,male,illiterate,30-34,NA
BU,Burundi,2012,2012 MIS,male,illiterate,35-39,NA
BU,Burundi,2012,2012 MIS,male,illiterate,40-44,NA
BU,Burundi,2012,2012 MIS,male,illiterate,45-49,NA
BU,Burundi,2016,2016-17 DHS,male,illiterate,15-19,11.8
BU,Burundi,2016,2016-17 DHS,male,illiterate,20-24,15.5
BU,Burundi,2016,2016-17 DHS,male,illiterate,25-29,22.5
BU,Burundi,2016,2016-17 DHS,male,illiterate,30-34,25.6
BU,Burundi,2016,2016-17 DHS,male,illiterate,35-39,28.7
BU,Burundi,2016,2016-17 DHS,male,illiterate,40-44,28.0
BU,Burundi,2016,2016-17 DHS,male,illiterate,45-49,31.3
BU,Burundi,2010,2010 DHS,female,illiterate,15-19,25.1
BU,Burundi,2010,2010 DHS,female,illiterate,20-24,37.6
BU,Burundi,2010,2010 DHS,female,illiterate,25-29,37.1
BU,Burundi,2010,2010 DHS,female,illiterate,30-34,32.6
BU,Burundi,2010,2010 DHS,female,illiterate,35-39,43.4
BU,Burundi,2010,2010 DHS,female,illiterate,40-44,55.8
BU,Burundi,2010,2010 DHS,female,illiterate,45-49,66.4
BU,Burundi,2012,2012 MIS,female,illiterate,15-19,18.4
BU,Burundi,2012,2012 MIS,female,illiterate,20-24,35.8
BU,Burundi,2012,2012 MIS,female,illiterate,25-29,39.2
BU,Burundi,2012,2012 MIS,female,illiterate,30-34,34.4
BU,Burundi,2012,2012 MIS,female,illiterate,35-39,41.2
BU,Burundi,2012,2012 MIS,female,illiterate,40-44,49.8
BU,Burundi,2012,2012 MIS,female,illiterate,45-49,54.4
BU,Burundi,2016,2016-17 DHS,female,illiterate,15-19,11.6
BU,Burundi,2016,2016-17 DHS,female,illiterate,20-24,25.0
BU,Burundi,2016,2016-17 DHS,female,illiterate,25-29,38.3
BU,Burundi,2016,2016-17 DHS,female,illiterate,30-34,39.1
BU,Burundi,2016,2016-17 DHS,female,illiterate,35-39,36.8
BU,Burundi,2016,2016-17 DHS,female,illiterate,40-44,48.6
BU,Burundi,2016,2016-17 DHS,female,illiterate,45-49,55.9
KH,Cambodia,2000,2000 DHS,male,illiterate,15-19,NA
KH,Cambodia,2000,2000 DHS,male,illiterate,20-24,NA
KH,Cambodia,2000,2000 DHS,male,illiterate,25-29,NA
KH,Cambodia,2000,2000 DHS,male,illiterate,30-34,NA
KH,Cambodia,2000,2000 DHS,male,illiterate,35-39,NA
KH,Cambodia,2000,2000 DHS,male,illiterate,40-44,NA
KH,Cambodia,2000,2000 DHS,male,illiterate,45-49,NA
KH,Cambodia,2005,2005 DHS,male,illiterate,15-19,NA
KH,Cambodia,2005,2005 DHS,male,illiterate,20-24,NA
KH,Cambodia,2005,2005 DHS,male,illiterate,25-29,NA
KH,Cambodia,2005,2005 DHS,male,illiterate,30-34,NA
KH,Cambodia,2005,2005 DHS,male,illiterate,35-39,NA
KH,Cambodia,2005,2005 DHS,male,illiterate,40-44,NA
KH,Cambodia,2005,2005 DHS,male,illiterate,45-49,NA
KH,Cambodia,2010,2010 DHS,male,illiterate,15-19,10.8
KH,Cambodia,2010,2010 DHS,male,illiterate,20-24,12.9
KH,Cambodia,2010,2010 DHS,male,illiterate,25-29,17.0
KH,Cambodia,2010,2010 DHS,male,illiterate,30-34,22.9
KH,Cambodia,2010,2010 DHS,male,illiterate,35-39,21.2
KH,Cambodia,2010,2010 DHS,male,illiterate,40-44,18.2
KH,Cambodia,2010,2010 DHS,male,illiterate,45-49,25.4
KH,Cambodia,2014,2014 DHS,male,illiterate,15-19,11.0
KH,Cambodia,2014,2014 DHS,male,illiterate,20-24,12.7
KH,Cambodia,2014,2014 DHS,male,illiterate,25-29,13.0
KH,Cambodia,2014,2014 DHS,male,illiterate,30-34,19.3
KH,Cambodia,2014,2014 DHS,male,illiterate,35-39,23.6
KH,Cambodia,2014,2014 DHS,male,illiterate,40-44,17.2
KH,Cambodia,2014,2014 DHS,male,illiterate,45-49,16.9
KH,Cambodia,2000,2000 DHS,female,illiterate,15-19,24.8
KH,Cambodia,2000,2000 DHS,female,illiterate,20-24,34.4
KH,Cambodia,2000,2000 DHS,female,illiterate,25-29,27.3
KH,Cambodia,2000,2000 DHS,female,illiterate,30-34,30.5
KH,Cambodia,2000,2000 DHS,female,illiterate,35-39,43.0
KH,Cambodia,2000,2000 DHS,female,illiterate,40-44,37.4
KH,Cambodia,2000,2000 DHS,female,illiterate,45-49,37.1
KH,Cambodia,2005,2005 DHS,female,illiterate,15-19,15.5
KH,Cambodia,2005,2005 DHS,female,illiterate,20-24,29.4
KH,Cambodia,2005,2005 DHS,female,illiterate,25-29,36.6
KH,Cambodia,2005,2005 DHS,female,illiterate,30-34,31.1
KH,Cambodia,2005,2005 DHS,female,illiterate,35-39,29.8
KH,Cambodia,2005,2005 DHS,female,illiterate,40-44,44.4
KH,Cambodia,2005,2005 DHS,female,illiterate,45-49,37.9
KH,Cambodia,2010,2010 DHS,female,illiterate,15-19,10.1
KH,Cambodia,2010,2010 DHS,female,illiterate,20-24,16.9
KH,Cambodia,2010,2010 DHS,female,illiterate,25-29,27.4
KH,Cambodia,2010,2010 DHS,female,illiterate,30-34,35.4
KH,Cambodia,2010,2010 DHS,female,illiterate,35-39,31.6
KH,Cambodia,2010,2010 DHS,female,illiterate,40-44,33.6
KH,Cambodia,2010,2010 DHS,female,illiterate,45-49,44.2
KH,Cambodia,2014,2014 DHS,female,illiterate,15-19,10.1
KH,Cambodia,2014,2014 DHS,female,illiterate,20-24,13.3
KH,Cambodia,2014,2014 DHS,female,illiterate,25-29,20.2
KH,Cambodia,2014,2014 DHS,female,illiterate,30-34,31.5
KH,Cambodia,2014,2014 DHS,female,illiterate,35-39,34.6
KH,Cambodia,2014,2014 DHS,female,illiterate,40-44,29.8
KH,Cambodia,2014,2014 DHS,female,illiterate,45-49,37.9
CM,Cameroon,2004,2004 DHS,male,illiterate,15-19,15.4
CM,Cameroon,2004,2004 DHS,male,illiterate,20-24,16.1
CM,Cameroon,2004,2004 DHS,male,illiterate,25-29,16.1
CM,Cameroon,2004,2004 DHS,male,illiterate,30-34,21.0
CM,Cameroon,2004,2004 DHS,male,illiterate,35-39,21.0
CM,Cameroon,2004,2004 DHS,male,illiterate,40-44,21.6
CM,Cameroon,2004,2004 DHS,male,illiterate,45-49,22.6
CM,Cameroon,2011,2011 DHS,male,illiterate,15-19,12.9
CM,Cameroon,2011,2011 DHS,male,illiterate,20-24,12.8
CM,Cameroon,2011,2011 DHS,male,illiterate,25-29,17.1
CM,Cameroon,2011,2011 DHS,male,illiterate,30-34,16.1
CM,Cameroon,2011,2011 DHS,male,illiterate,35-39,18.0
CM,Cameroon,2011,2011 DHS,male,illiterate,40-44,22.6
CM,Cameroon,2011,2011 DHS,male,illiterate,45-49,27.2
CM,Cameroon,2004,2004 DHS,female,illiterate,15-19,26.0
CM,Cameroon,2004,2004 DHS,female,illiterate,20-24,31.6
CM,Cameroon,2004,2004 DHS,female,illiterate,25-29,33.7
CM,Cameroon,2004,2004 DHS,female,illiterate,30-34,38.4
CM,Cameroon,2004,2004 DHS,female,illiterate,35-39,39.8
CM,Cameroon,2004,2004 DHS,female,illiterate,40-44,45.3
CM,Cameroon,2004,2004 DHS,female,illiterate,45-49,51.2
CM,Cameroon,2011,2011 DHS,female,illiterate,15-19,19.5
CM,Cameroon,2011,2011 DHS,female,illiterate,20-24,23.2
CM,Cameroon,2011,2011 DHS,female,illiterate,25-29,30.3
CM,Cameroon,2011,2011 DHS,female,illiterate,30-34,31.6
CM,Cameroon,2011,2011 DHS,female,illiterate,35-39,36.0
CM,Cameroon,2011,2011 DHS,female,illiterate,40-44,40.7
CM,Cameroon,2011,2011 DHS,female,illiterate,45-49,44.3
TD,Chad,2004,2004 DHS,male,illiterate,15-19,63.7
TD,Chad,2004,2004 DHS,male,illiterate,20-24,52.6
TD,Chad,2004,2004 DHS,male,illiterate,25-29,55.4
TD,Chad,2004,2004 DHS,male,illiterate,30-34,63.1
TD,Chad,2004,2004 DHS,male,illiterate,35-39,70.3
TD,Chad,2004,2004 DHS,male,illiterate,40-44,74.1
TD,Chad,2004,2004 DHS,male,illiterate,45-49,74.7
TD,Chad,2014,2014-15 DHS,male,illiterate,15-19,35.1
TD,Chad,2014,2014-15 DHS,male,illiterate,20-24,33.4
TD,Chad,2014,2014-15 DHS,male,illiterate,25-29,43.0
TD,Chad,2014,2014-15 DHS,male,illiterate,30-34,49.5
TD,Chad,2014,2014-15 DHS,male,illiterate,35-39,52.4
TD,Chad,2014,2014-15 DHS,male,illiterate,40-44,60.5
TD,Chad,2014,2014-15 DHS,male,illiterate,45-49,63.7
TD,Chad,2004,2004 DHS,female,illiterate,15-19,79.5
