age,year,educ,ageing,sex
30,1970,1,1.107115611,1
35,1970,1,1.086649497,1
40,1970,1,1.03501362,1
45,1970,1,1.04248044,1
50,1970,1,1.04122916,1
55,1970,1,1.043492356,1
60,1970,1,1.049336589,1
15,2010,1,1,2
20,2010,1,1.032975581,2
25,2010,1,1.03410005,2
30,2010,1,1.035303915,2
35,2010,1,1.006878078,2
40,2010,1,1.006925713,2
45,2010,1,1.006974014,2
50,2010,1,1.005314529,2
55,2010,1,1.005342924,2
60,2010,1,1.005371624,2
15,2005,1,1,2
20,2005,1,1.032975581,2
25,2005,1,1.069362913,2
30,2005,1,1.071854197,2
35,2005,1,1.013803464,2
40,2005,1,1.013899392,2
45,2005,1,1.013996664,2
50,2005,1,1.010657302,2
55,2005,1,1.010714395,2
60,2005,1,1.010772103,2
15,2000,1,1,2
20,2000,1,1.032975581,2
25,2000,1,1.069362913,2
30,2000,1,1.107115611,2
35,2000,1,1.079226494,2
40,2000,1,1.020824776,2
45,2000,1,1.020970341,2
50,2000,1,1.019385579,2
55,2000,1,1.016057168,2
60,2000,1,1.016143574,2
15,1995,1,1,2
20,1995,1,1.032975581,2
25,1995,1,1.069362913,2
30,1995,1,1.107115611,2
35,1995,1,1.086649497,2
40,1995,1,1.027894716,2
45,1995,1,1.028090601,2
50,1995,1,1.024803133,2
55,1995,1,1.021485884,2
60,1995,1,1.021601915,2
15,1990,1,1,2
20,1990,1,1.032975581,2
25,1990,1,1.069362913,2
30,1990,1,1.107115611,2
35,1990,1,1.086649497,2
40,1990,1,1.03501362,2
45,1990,1,1.035260519,2
50,1990,1,1.030249479,2
55,1990,1,1.026943606,2
60,1990,1,1.027089577,2
15,1985,1,1,2
20,1985,1,1.032975581,2
25,1985,1,1.069362913,2
30,1985,1,1.107115611,2
35,1985,1,1.086649497,2
40,1985,1,1.03501362,2
45,1985,1,1.04248044,2
50,1985,1,1.03572477,2
55,1985,1,1.032430488,2
60,1985,1,1.032606716,2
15,1980,1,1,2
20,1980,1,1.032975581,2
25,1980,1,1.069362913,2
30,1980,1,1.107115611,2
35,1980,1,1.086649497,2
40,1980,1,1.03501362,2
45,1980,1,1.04248044,2
50,1980,1,1.04122916,2
55,1980,1,1.037946686,2
60,1980,1,1.038153492,2
15,1975,1,1,2
20,1975,1,1.032975581,2
25,1975,1,1.069362913,2
30,1975,1,1.107115611,2
35,1975,1,1.086649497,2
40,1975,1,1.03501362,2
45,1975,1,1.04248044,2
50,1975,1,1.04122916,2
55,1975,1,1.043492356,2
60,1975,1,1.043730063,2
15,1970,1,1,2
20,1970,1,1.032975581,2
25,1970,1,1.069362913,2
30,1970,1,1.107115611,2
35,1970,1,1.086649497,2
40,1970,1,1.03501362,2
45,1970,1,1.04248044,2
50,1970,1,1.04122916,2
55,1970,1,1.043492356,2
60,1970,1,1.049336589,2
15,2010,3,1,1
20,2010,3,1.002421263,1
25,2010,3,1.002427139,1
30,2010,3,1.002433045,1
35,2010,3,1.014913461,1
40,2010,3,1.01513924,1
45,2010,3,1.015371959,1
50,2010,3,1.012883603,1
55,2010,3,1.013051757,1
60,2010,3,1.013224358,1
15,2005,3,1,1
20,2005,3,1.002421263,1
25,2005,3,1.00486017,1
30,2005,3,1.004872009,1
35,2005,3,1.030049334,1
40,2005,3,1.030507676,1
45,2005,3,1.030980216,1
50,2005,3,1.025933193,1
55,2005,3,1.026273862,1
60,2005,3,1.026623599,1
15,2000,3,1,1
20,2000,3,1.002421263,1
25,2000,3,1.00486017,1
30,2000,3,1.007305039,1
35,2000,3,1.019858129,1
40,2000,3,1.045643498,1
45,2000,3,1.046348598,1
50,2000,3,1.044262956,1
55,2000,3,1.039323424,1
60,2000,3,1.039845675,1
15,1995,3,1,1
20,1995,3,1.002421263,1
25,1995,3,1.00486017,1
30,1995,3,1.007305039,1
35,1995,3,1.035067743,1
40,1995,3,1.061473745,1
45,1995,3,1.062433027,1
50,1995,3,1.057716826,1
55,1995,3,1.052888421,1
60,1995,3,1.053596966,1
15,1990,3,1,1
20,1990,3,1.002421263,1
25,1990,3,1.00486017,1
30,1990,3,1.007305039,1
35,1990,3,1.035067743,1
40,1990,3,1.077543651,1
45,1990,3,1.078764704,1
50,1990,3,1.071344029,1
55,1990,3,1.066630464,1
60,1990,3,1.067530109,1
15,1985,3,1,1
20,1985,3,1.002421263,1
25,1985,3,1.00486017,1
30,1985,3,1.007305039,1
35,1985,3,1.035067743,1
40,1985,3,1.077543651,1
45,1985,3,1.095347431,1
50,1985,3,1.085146801,1
55,1985,3,1.080551866,1
60,1985,3,1.08164751,1
15,1980,3,1,1
20,1980,3,1.002421263,1
25,1980,3,1.00486017,1
30,1980,3,1.007305039,1
35,1980,3,1.035067743,1
40,1980,3,1.077543651,1
45,1980,3,1.095347431,1
50,1980,3,1.099127401,1
55,1980,3,1.094654966,1
60,1980,3,1.095951603,1
15,1975,3,1,1
20,1975,3,1.002421263,1
25,1975,3,1.00486017,1
30,1975,3,1.007305039,1
35,1975,3,1.035067743,1
40,1975,3,1.077543651,1
45,1975,3,1.095347431,1
50,1975,3,1.099127401,1
55,1975,3,1.108942136,1
60,1975,3,1.11044486,1
15,1970,3,1,1
20,1970,3,1.002421263,1
25,1970,3,1.00486017,1
30,1970,3,1.007305039,1
35,1970,3,1.035067743,1
40,1970,3,1.077543651,1
45,1970,3,1.095347431,1
50,1970,3,1.099127401,1
55,1970,3,1.108942136,1
60,1970,3,1.12512978,1
15,2010,3,1,2
20,2010,3,1.002421263,2
25,2010,3,1.002427139,2
30,2010,3,1.002433045,2
35,2010,3,1.014913461,2
40,2010,3,1.01513924,2
45,2010,3,1.015371959,2
50,2010,3,1.012883603,2
55,2010,3,1.013051757,2
60,2010,3,1.013224358,2
15,2005,3,1,2
20,2005,3,1.002421263,2
25,2005,3,1.00486017,2
30,2005,3,1.004872009,2
35,2005,3,1.030049334,2
40,2005,3,1.030507676,2
45,2005,3,1.030980216,2
50,2005,3,1.025933193,2
55,2005,3,1.026273862,2
60,2005,3,1.026623599,2
15,2000,3,1,2
20,2000,3,1.002421263,2
25,2000,3,1.00486017,2
30,2000,3,1.007305039,2
35,2000,3,1.019858129,2
40,2000,3,1.045643498,2
45,2000,3,1.046348598,2
50,2000,3,1.044262956,2
55,2000,3,1.039323424,2
60,2000,3,1.039845675,2
15,1995,3,1,2
20,1995,3,1.002421263,2
25,1995,3,1.00486017,2
30,1995,3,1.007305039,2
35,1995,3,1.035067743,2
40,1995,3,1.061473745,2
45,1995,3,1.062433027,2
50,1995,3,1.057716826,2
55,1995,3,1.052888421,2
60,1995,3,1.053596966,2
15,1990,3,1,2
20,1990,3,1.002421263,2
25,1990,3,1.00486017,2
30,1990,3,1.007305039,2
35,1990,3,1.035067743,2
40,1990,3,1.077543651,2
45,1990,3,1.078764704,2
50,1990,3,1.071344029,2
55,1990,3,1.066630464,2
60,1990,3,1.067530109,2
15,1985,3,1,2
20,1985,3,1.002421263,2
25,1985,3,1.00486017,2
30,1985,3,1.007305039,2
35,1985,3,1.035067743,2
40,1985,3,1.077543651,2
45,1985,3,1.095347431,2
50,1985,3,1.085146801,2
55,1985,3,1.080551866,2
60,1985,3,1.08164751,2
15,1980,3,1,2
20,1980,3,1.002421263,2
25,1980,3,1.00486017,2
30,1980,3,1.007305039,2
35,1980,3,1.035067743,2
40,1980,3,1.077543651,2
45,1980,3,1.095347431,2
50,1980,3,1.099127401,2
55,1980,3,1.094654966,2
60,1980,3,1.095951603,2
15,1975,3,1,2
20,1975,3,1.002421263,2
25,1975,3,1.00486017,2
30,1975,3,1.007305039,2
35,1975,3,1.035067743,2
40,1975,3,1.077543651,2
45,1975,3,1.095347431,2
50,1975,3,1.099127401,2
55,1975,3,1.108942136,2
60,1975,3,1.11044486,2
15,1970,3,1,2
20,1970,3,1.002421263,2
25,1970,3,1.00486017,2
30,1970,3,1.007305039,2
35,1970,3,1.035067743,2
40,1970,3,1.077543651,2
45,1970,3,1.095347431,2
50,1970,3,1.099127401,2
55,1970,3,1.108942136,2
60,1970,3,1.12512978,2
15,2010,2,1,1
20,2010,2,1.032975581,1
25,2010,2,1.03410005,1
30,2010,2,1.035303915,1
35,2010,2,1.006878078,1
40,2010,2,1.006925713,1
45,2010,2,1.006974014,1
50,2010,2,1.005314529,1
55,2010,2,1.005342924,1
60,2010,2,1.005371624,1
15,2005,2,1,1
20,2005,2,1.032975581,1
25,2005,2,1.069362913,1
30,2005,2,1.071854197,1
35,2005,2,1.013803464,1
40,2005,2,1.013899392,1
45,2005,2,1.013996664,1
50,2005,2,1.010657302,1
55,2005,2,1.010714395,1
60,2005,2,1.010772103,1
15,2000,2,1,1
20,2000,2,1.032975581,1
25,2000,2,1.069362913,1
30,2000,2,1.107115611,1
35,2000,2,1.079226494,1
40,2000,2,1.020824776,1
45,2000,2,1.020970341,1
50,2000,2,1.019385579,1
55,2000,2,1.016057168,1
60,2000,2,1.016143574,1
15,1995,2,1,1
20,1995,2,1.032975581,1
25,1995,2,1.069362913,1
30,1995,2,1.107115611,1
35,1995,2,1.086649497,1
40,1995,2,1.027894716,1
45,1995,2,1.028090601,1
50,1995,2,1.024803133,1
55,1995,2,1.021485884,1
60,1995,2,1.021601915,1
15,1990,2,1,1
20,1990,2,1.032975581,1
25,1990,2,1.069362913,1
30,1990,2,1.107115611,1
35,1990,2,1.086649497,1
40,1990,2,1.03501362,1
45,1990,2,1.035260519,1
50,1990,2,1.030249479,1
55,1990,2,1.026943606,1
60,1990,2,1.027089577,1
15,1985,2,1,1
20,1985,2,1.032975581,1
25,1985,2,1.069362913,1
30,1985,2,1.107115611,1
35,1985,2,1.086649497,1
40,1985,2,1.03501362,1
45,1985,2,1.04248044,1
50,1985,2,1.03572477,1
55,1985,2,1.032430488,1
60,1985,2,1.032606716,1
15,1980,2,1,1
20,1980,2,1.032975581,1
25,1980,2,1.069362913,1
30,1980,2,1.107115611,1
35,1980,2,1.086649497,1
40,1980,2,1.03501362,1
45,1980,2,1.04248044,1
50,1980,2,1.04122916,1
55,1980,2,1.037946686,1
60,1980,2,1.038153492,1
15,1975,2,1,1
20,1975,2,1.032975581,1
25,1975,2,1.069362913,1
30,1975,2,1.107115611,1
35,1975,2,1.086649497,1
40,1975,2,1.03501362,1
45,1975,2,1.04248044,1
50,1975,2,1.04122916,1
55,1975,2,1.043492356,1
60,1975,2,1.043730063,1
15,1970,2,1,1
20,1970,2,1.032975581,1
25,1970,2,1.069362913,1
30,1970,2,1.107115611,1
35,1970,2,1.086649497,1
40,1970,2,1.03501362,1
45,1970,2,1.04248044,1
50,1970,2,1.04122916,1
55,1970,2,1.043492356,1
60,1970,2,1.049336589,1
15,2010,2,1,2
20,2010,2,1.032975581,2
25,2010,2,1.03410005,2
30,2010,2,1.035303915,2
35,2010,2,1.006878078,2
40,2010,2,1.006925713,2
45,2010,2,1.006974014,2
50,2010,2,1.005314529,2
55,2010,2,1.005342924,2
60,2010,2,1.005371624,2
15,2005,2,1,2
20,2005,2,1.032975581,2
25,2005,2,1.069362913,2
30,2005,2,1.071854197,2
35,2005,2,1.013803464,2
40,2005,2,1.013899392,2
45,2005,2,1.013996664,2
50,2005,2,1.010657302,2
55,2005,2,1.010714395,2
60,2005,2,1.010772103,2
15,2000,2,1,2
20,2000,2,1.032975581,2
25,2000,2,1.069362913,2
30,2000,2,1.107115611,2
35,2000,2,1.079226494,2
40,2000,2,1.020824776,2
45,2000,2,1.020970341,2
50,2000,2,1.019385579,2
55,2000,2,1.016057168,2
60,2000,2,1.016143574,2
15,1995,2,1,2
20,1995,2,1.032975581,2
25,1995,2,1.069362913,2
30,1995,2,1.107115611,2
35,1995,2,1.086649497,2
40,1995,2,1.027894716,2
45,1995,2,1.028090601,2
50,1995,2,1.024803133,2
55,1995,2,1.021485884,2
60,1995,2,1.021601915,2
15,1990,2,1,2
20,1990,2,1.032975581,2
25,1990,2,1.069362913,2
30,1990,2,1.107115611,2
35,1990,2,1.086649497,2
40,1990,2,1.03501362,2
45,1990,2,1.035260519,2
50,1990,2,1.030249479,2
55,1990,2,1.026943606,2
60,1990,2,1.027089577,2
15,1985,2,1,2
20,1985,2,1.032975581,2
25,1985,2,1.069362913,2
30,1985,2,1.107115611,2
35,1985,2,1.086649497,2
40,1985,2,1.03501362,2
45,1985,2,1.04248044,2
50,1985,2,1.03572477,2
55,1985,2,1.032430488,2
60,1985,2,1.032606716,2
15,1980,2,1,2
20,1980,2,1.032975581,2
25,1980,2,1.069362913,2
30,1980,2,1.107115611,2
35,1980,2,1.086649497,2
40,1980,2,1.03501362,2
45,1980,2,1.04248044,2
50,1980,2,1.04122916,2
55,1980,2,1.037946686,2
60,1980,2,1.038153492,2
15,1975,2,1,2
20,1975,2,1.032975581,2
25,1975,2,1.069362913,2
30,1975,2,1.107115611,2
35,1975,2,1.086649497,2
40,1975,2,1.03501362,2
45,1975,2,1.04248044,2
50,1975,2,1.04122916,2
55,1975,2,1.043492356,2
60,1975,2,1.043730063,2
15,1970,2,1,2
20,1970,2,1.032975581,2
25,1970,2,1.069362913,2
30,1970,2,1.107115611,2
35,1970,2,1.086649497,2
40,1970,2,1.03501362,2
45,1970,2,1.04248044,2
50,1970,2,1.04122916,2
55,1970,2,1.043492356,2
60,1970,2,1.049336589,2
15,2010,4,1,1
20,2010,4,1.002421263,1
25,2010,4,1.002427139,1
30,2010,4,1.002433045,1
35,2010,4,1.014913461,1
40,2010,4,1.01513924,1
45,2010,4,1.015371959,1
50,2010,4,1.012883603,1
55,2010,4,1.013051757,1
60,2010,4,1.013224358,1
15,2005,4,1,1
20,2005,4,1.002421263,1
25,2005,4,1.00486017,1
30,2005,4,1.004872009,1
35,2005,4,1.030049334,1
40,2005,4,1.030507676,1
45,2005,4,1.030980216,1
50,2005,4,1.025933193,1
55,2005,4,1.026273862,1
60,2005,4,1.026623599,1
15,2000,4,1,1
20,2000,4,1.002421263,1
25,2000,4,1.00486017,1
30,2000,4,1.007305039,1
35,2000,4,1.019858129,1
40,2000,4,1.045643498,1
45,2000,4,1.046348598,1
50,2000,4,1.044262956,1
55,2000,4,1.039323424,1
60,2000,4,1.039845675,1
15,1995,4,1,1
20,1995,4,1.002421263,1
25,1995,4,1.00486017,1
30,1995,4,1.007305039,1
35,1995,4,1.035067743,1
40,1995,4,1.061473745,1
45,1995,4,1.062433027,1
50,1995,4,1.057716826,1
55,1995,4,1.052888421,1
60,1995,4,1.053596966,1
15,1990,4,1,1
20,1990,4,1.002421263,1
25,1990,4,1.00486017,1
30,1990,4,1.007305039,1
35,1990,4,1.035067743,1
40,1990,4,1.077543651,1
45,1990,4,1.078764704,1
50,1990,4,1.071344029,1
55,1990,4,1.066630464,1
60,1990,4,1.067530109,1
15,1985,4,1,1
20,1985,4,1.002421263,1
25,1985,4,1.00486017,1
30,1985,4,1.007305039,1
35,1985,4,1.035067743,1
40,1985,4,1.077543651,1
45,1985,4,1.095347431,1
50,1985,4,1.085146801,1
55,1985,4,1.080551866,1
60,1985,4,1.08164751,1
15,1980,4,1,1
20,1980,4,1.002421263,1
25,1980,4,1.00486017,1
30,1980,4,1.007305039,1
35,1980,4,1.035067743,1
40,1980,4,1.077543651,1
45,1980,4,1.095347431,1
50,1980,4,1.099127401,1
55,1980,4,1.094654966,1
60,1980,4,1.095951603,1
15,1975,4,1,1
20,1975,4,1.002421263,1
25,1975,4,1.00486017,1
30,1975,4,1.007305039,1
35,1975,4,1.035067743,1
40,1975,4,1.077543651,1
45,1975,4,1.095347431,1
50,1975,4,1.099127401,1
55,1975,4,1.108942136,1
60,1975,4,1.11044486,1
15,1970,4,1,1
20,1970,4,1.002421263,1
25,1970,4,1.00486017,1
30,1970,4,1.007305039,1
35,1970,4,1.035067743,1
40,1970,4,1.077543651,1
45,1970,4,1.095347431,1
50,1970,4,1.099127401,1
55,1970,4,1.108942136,1
60,1970,4,1.12512978,1
15,2010,4,1,2
20,2010,4,1.002421263,2
25,2010,4,1.002427139,2
30,2010,4,1.002433045,2
35,2010,4,1.014913461,2
40,2010,4,1.01513924,2
45,2010,4,1.015371959,2
50,2010,4,1.012883603,2
55,2010,4,1.013051757,2
60,2010,4,1.013224358,2
15,2005,4,1,2
20,2005,4,1.002421263,2
25,2005,4,1.00486017,2
30,2005,4,1.004872009,2
35,2005,4,1.030049334,2
40,2005,4,1.030507676,2
45,2005,4,1.030980216,2
50,2005,4,1.025933193,2
55,2005,4,1.026273862,2
60,2005,4,1.026623599,2
15,2000,4,1,2
20,2000,4,1.002421263,2
25,2000,4,1.00486017,2
30,2000,4,1.007305039,2
35,2000,4,1.019858129,2
40,2000,4,1.045643498,2
45,2000,4,1.046348598,2
50,2000,4,1.044262956,2
55,2000,4,1.039323424,2
60,2000,4,1.039845675,2
15,1995,4,1,2
20,1995,4,1.002421263,2
25,1995,4,1.00486017,2
30,1995,4,1.007305039,2
35,1995,4,1.035067743,2
40,1995,4,1.061473745,2
45,1995,4,1.062433027,2
50,1995,4,1.057716826,2
55,1995,4,1.052888421,2
60,1995,4,1.053596966,2
15,1990,4,1,2
20,1990,4,1.002421263,2
25,1990,4,1.00486017,2
30,1990,4,1.007305039,2
35,1990,4,1.035067743,2
40,1990,4,1.077543651,2
45,1990,4,1.078764704,2
50,1990,4,1.071344029,2
55,1990,4,1.066630464,2
60,1990,4,1.067530109,2
15,1985,4,1,2
20,1985,4,1.002421263,2
25,1985,4,1.00486017,2
30,1985,4,1.007305039,2
35,1985,4,1.035067743,2
40,1985,4,1.077543651,2
45,1985,4,1.095347431,2
50,1985,4,1.085146801,2
55,1985,4,1.080551866,2
60,1985,4,1.08164751,2
15,1980,4,1,2
20,1980,4,1.002421263,2
25,1980,4,1.00486017,2
30,1980,4,1.007305039,2
35,1980,4,1.035067743,2
40,1980,4,1.077543651,2
45,1980,4,1.095347431,2
50,1980,4,1.099127401,2
55,1980,4,1.094654966,2
60,1980,4,1.095951603,2
15,1975,4,1,2
20,1975,4,1.002421263,2
25,1975,4,1.00486017,2
30,1975,4,1.007305039,2
35,1975,4,1.035067743,2
40,1975,4,1.077543651,2
45,1975,4,1.095347431,2
50,1975,4,1.099127401,2
55,1975,4,1.108942136,2
60,1975,4,1.11044486,2
15,1970,4,1,2
20,1970,4,1.002421263,2
25,1970,4,1.00486017,2
30,1970,4,1.007305039,2
35,1970,4,1.035067743,2
40,1970,4,1.077543651,2
45,1970,4,1.095347431,2
50,1970,4,1.099127401,2
55,1970,4,1.108942136,2
60,1970,4,1.12512978,2
