"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2013","2013",55.59499,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2014","2014",56.97715,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2017","2017",59.13205,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ZWE","Zimbabwe","1982","1982",71.85393,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ZWE","Zimbabwe","1992","1992",78.51702,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ZWE","Zimbabwe","2011","2011",80.06566,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ZWE","Zimbabwe","2014","2014",88.28383,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2001","2001",79.78523,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2007","2007",83.74603,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2010","2010",84.78901,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2011","2011",85.34128,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2012","2012",85.6962,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2013","2013",85.66837,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2014","2014",87.39595,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2015","2015",87.92208,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2016","2016",89.04894,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2018","2018",87.13764,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","AGO","Angola","2001","2001",82.91987,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","AGO","Angola","2014","2014",79.97415,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","1994","1994",71.70639,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","2002","2002",75.41558,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","2012","2012",84.84873,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","2013","2013",82.72068,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","2014","2014",86.75616,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","1980","1980",74.58673,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2000","2000",86.36788,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2004","2004",88.61624,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2006","2006",89.61523,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2007","2007",90.00937,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2008","2008",90.03662,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2009","2009",90.29821,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2010","2010",90.37918,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2011","2011",91.41124,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2012","2012",91.33785,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2013","2013",91.48424,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2014","2014",91.72943,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2015","2015",92.0479,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2016","2016",92.80844,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2017","2017",93.07582,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2018","2018",93.2275,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","CAF","Central African Republic","1975","1975",8.39958,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","CAF","Central African Republic","1988","1988",20.33688,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","CAF","Central African Republic","2000","2000",35.2909,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","CAF","Central African Republic","2010","2010",24.35549,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","CAF","Central African Republic","2018","2018",25.75638,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","1981","1981",92.80977,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","1991","1991",96.49497,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2004","2004",97.16512,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2005","2005",97.75069,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2007","2007",97.93884,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2008","2008",97.63061,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2009","2009",97.67927,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2010","2010",97.7489,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2011","2011",97.78375,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2012","2012",97.89454,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2013","2013",98.07913,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2014","2014",98.09372,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2015","2015",98.14326,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2016","2016",98.25051,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2018","2018",98.4365,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MKD","North Macedonia","1994","1994",97.23235,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MKD","North Macedonia","2002","2002",98.21278,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MKD","North Macedonia","2014","2014",98.81,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","COM","Comoros","1980","1980",40.31762,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","COM","Comoros","2000","2000",63.45902,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","COM","Comoros","2012","2012",42.63729,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","COM","Comoros","2018","2018",52.95639,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","DZA","Algeria","1987","1987",49.63088,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","DZA","Algeria","2002","2002",69.8735,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","DZA","Algeria","2006","2006",72.64868,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","DZA","Algeria","2008","2008",75.13605,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","DZA","Algeria","2018","2018",81.40784,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","REU","Réunion","1982","1982",76.53086,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SUR","Suriname","2004","2004",87.19744,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SUR","Suriname","2008","2008",93.76537,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SUR","Suriname","2010","2010",94.00354,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SUR","Suriname","2012","2012",90.99791,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SUR","Suriname","2018","2018",92.71206,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","MLT","Malta","1985","1985",86.92984,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","MLT","Malta","1995","1995",87.8687,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","MLT","Malta","2005","2005",92.36309,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","MLT","Malta","2011","2011",93.30736,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","MLT","Malta","2018","2018",94.50319,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","1988","1988",17.86327,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2002","2002",29.24734,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2006","2006",32.98758,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2009","2009",38.66625,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2011","2011",40.42492,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2013","2013",33.5966,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2017","2017",39.79856,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","LSO","Lesotho","2000","2000",86.25443,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","LSO","Lesotho","2009","2009",75.8002,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","LSO","Lesotho","2014","2014",76.6352,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TCD","Chad","1993","1993",18.2606,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TCD","Chad","2000","2000",40.82706,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TCD","Chad","2004","2004",39.36825,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TCD","Chad","2015","2015",38.9182,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TCD","Chad","2016","2016",31.32879,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","1981","1981",90.14353,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","1993","1993",92.85101,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2004","2004",93.4607,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2005","2005",93.71831,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2006","2006",94.22582,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2007","2007",94.85703,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2012","2012",96.95013,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2014","2014",96.94898,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2015","2015",97.10638,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2016","2016",97.18846,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2017","2017",97.03974,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2018","2018",97.12137,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","1980","1980",92.21296,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2000","2000",94.90157,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2005","2005",95.60024,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2010","2010",96.43502,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2013","2013",95.25126,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2015","2015",94.65912,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2018","2018",95.20239,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","COG","Congo","2011","2011",86.43431,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","COG","Congo","2018","2018",86.07651,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","1999","1999",98.7918,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2007","2007",99.60191,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2009","2009",99.75984,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2010","2010",99.77114,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2011","2011",99.77863,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2012","2012",99.77577,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2013","2013",99.78936,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2014","2014",99.78899,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2015","2015",99.78806,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2016","2016",99.79006,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2017","2017",99.79123,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","GUM","Guam","1980","1980",96.46308,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","GUM","Guam","1990","1990",99.3085,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2003","2003",86.86234,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2008","2008",89.99932,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2010","2010",90.24303,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2014","2014",94.99074,"+","National Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2015","2015",96.63287,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2016","2016",96.63083,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2017","2017",97.02387,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2018","2018",96.98942,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","REU","Réunion","1982","1982",78.60954,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","1988","1988",44.36354,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","1998","1998",43.94642,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","2000","2000",60.86066,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","2012","2012",51.59267,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","2014","2014",50.7019,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","2018","2018",53.65694,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","1982","1982",75.85298,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","1992","1992",88.55871,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2007","2007",93.45327,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2008","2008",92.49443,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2009","2009",93.14401,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2010","2010",92.92574,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2012","2012",93.58785,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2013","2013",94.46626,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2014","2014",94.2148,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2015","2015",94.87442,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2016","2016",93.83505,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2018","2018",93.53171,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","1976","1976",75.84289,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","1992","1992",88.15559,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2001","2001",93.05747,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2007","2007",96.03626,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2008","2008",94.95543,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2009","2009",95.80364,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2011","2011",96.60105,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2012","2012",97.10705,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2015","2015",96.52275,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ARM","Armenia","1989","1989",98.15014,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ARM","Armenia","2001","2001",99.16107,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ARM","Armenia","2011","2011",99.69035,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ARM","Armenia","2017","2017",99.67716,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TTO","Trinidad and Tobago","1980","1980",93.46417,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TTO","Trinidad and Tobago","1990","1990",95.66179,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TTO","Trinidad and Tobago","2000","2000",97.1,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TTO","Trinidad and Tobago","2010","2010",98.3,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","SRB","Serbia","2011","2011",97.96241,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","SRB","Serbia","2016","2016",98.84151,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ERI","Eritrea","2002","2002",40.22442,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ERI","Eritrea","2008","2008",54.80107,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ERI","Eritrea","2018","2018",68.94619,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MYS","Malaysia","1980","1980",78.14633,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MYS","Malaysia","1991","1991",88.56299,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MYS","Malaysia","2000","2000",91.96924,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MYS","Malaysia","2010","2010",95.43375,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MYS","Malaysia","2016","2016",96.297,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MYS","Malaysia","2017","2017",96.49912,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MYS","Malaysia","2018","2018",96.12305,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","1975","1975",48.01521,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","1980","1980",59.1105,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","1985","1985",68.84937,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","1995","1995",74.14872,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2005","2005",91.0425,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2006","2006",90.82863,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2007","2007",91.50349,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2008","2008",91.77865,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2010","2010",92.68094,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2012","2012",94.96525,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2013","2013",94.30116,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2015","2015",94.47005,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2017","2017",94.82577,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KWT","Kuwait","2018","2018",94.90516,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","KHM","Cambodia","1998","1998",67.33503,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","KHM","Cambodia","2004","2004",73.60995,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","KHM","Cambodia","2008","2008",77.58654,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","KHM","Cambodia","2009","2009",73.90003,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","KHM","Cambodia","2014","2014",78.05509,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","KHM","Cambodia","2015","2015",80.52649,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","TJK","Tajikistan","1989","1989",97.69402,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","TJK","Tajikistan","2000","2000",99.45068,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","TJK","Tajikistan","2014","2014",99.8,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","SSD","South Sudan","2008","2008",26.83128,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","SSD","South Sudan","2018","2018",34.52276,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","1975","1975",94.30452,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","1985","1985",95.88154,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","1996","1996",97.27096,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","2006","2006",98.08436,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","2007","2007",98.24193,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","2008","2008",98.46366,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","2009","2009",98.53372,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","2010","2010",98.49095,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","2011","2011",98.61908,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","2012","2012",98.66055,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","2013","2013",98.63643,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","URY","Uruguay","2014","2014",98.80905,,
